Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
1	67317	SOX2	None	Neuronal Progenitor cell	None	1.7012155999462594e-17	5.001411455786448e-28	0.00034037354465208503	1.5004234366918235e-27
2	53653	CTNNB1	None	Embryonic Stem Cell	None	2.5415319791030705e-18	4.105769052172139e-26	0.3812250003951389	1.2317306957534004e-25
3	45228	KDM4A	H1	Embryonic Stem Cell	Embryo	0.10089245169180494	0.00017235646928478307	6.998468646202078e-21	2.0995405938606236e-20
4	8816	KDM4A	H1	Embryonic Stem Cell	Embryo	0.10089245169180494	0.00017235646928478307	6.998468646202078e-21	2.0995405938606236e-20
5	70095	TET2	293T	None	None	0.8682331708088441	0.2502551468445018	8.200804536186095e-21	2.4602413608558287e-20
6	77299	TRIM25	BT-549	None	Breast	3.463077882483647e-05	9.347727730167705e-08	1.0779819766569197e-20	3.2339459299703856e-20
7	77300	TRIM25	BT-549	None	Breast	0.00015868060809975275	1.7374528985943763e-07	4.281460338473056e-20	1.2844381015416002e-19
8	41788	EZH2	None	iPSC	None	0.01747636561509687	2.3181301205272726e-05	6.363312250799443e-20	1.9089936752398275e-19
9	41797	JARID2	None	iPSC	None	1.8333349343129e-12	1.8774378875977174e-13	3.351180820425034e-19	1.0053522678225407e-18
10	58083	KDM2B	None	Stem cell	Blood	0.0002090368111193699	4.2195455946415877e-08	3.589760554186836e-19	1.0769281662468872e-18
11	67318	SOX2	None	hESC	None	5.689367306317798e-12	1.0127974875965218e-18	0.9606548796296588	3.0383919219103817e-18
12	33459	ERG	None	Hematopoietic Cell	None	9.514990235379459e-07	2.611900695202197e-10	2.305229488970387e-18	6.915688405857443e-18
13	70093	TET2	293T	None	None	0.9065451613153093	0.2946543481105254	5.140669255645433e-17	1.5422007766936304e-16
14	76964	CNOT3	HCT-116	Colorectal cancer cell line	None	0.00011880783122265415	1.0864728245038808e-08	6.92237291528786e-17	2.0767118613535478e-16
15	46164	RAD21	H1	Embryonic Stem Cell	Embryo	0.13898490353218595	1.150664279946149e-16	0.6488921366135286	3.3306690738754696e-16
16	41817	EZH2	None	iPSC	None	1.3035997260056124e-14	1.6715334839183877e-14	6.648434983818859e-12	2.19824158875781e-14
17	50987	CTCF	H1	Embryonic Stem Cell	Embryo	0.00735128580759248	8.095320674687124e-15	0.1745904064934482	2.4480417692984702e-14
18	50988	CTCF	H1	Embryonic Stem Cell	Embryo	0.0034109825711075552	9.99997811993739e-15	0.08691875014976602	2.9976021664879227e-14
19	56819	TFAP2A	None	Neural crest cell	Cranial	9.427460187048256e-05	1.3418353180576523e-14	1.8329541644568656e-10	4.035660694512444e-14
20	1006	EOMES	H9	Embryonic Stem Cell	Embryo	5.181148765175908e-05	1.539217686922075e-14	0.1357690875823656	4.629630012686903e-14
21	37604	CBFB	ME-1	Leukemia Cell	None	0.003632755078691286	2.2079959408258452e-06	2.4694648302972058e-14	7.427392034742297e-14
22	51522	OTX2	HUES64	Embryonic Stem Cell	Embryo	7.95926245714313e-06	2.6540538060457152e-14	0.011040765589681666	7.960299086562372e-14
23	41825	EZH2	None	iPSC	None	7.532261086452987e-13	5.870687390939602e-14	3.122997926316183e-10	1.634803403760543e-13
24	49949	KLF9	GBM1A	Glioblastoma Stem Cell	None	0.037286368820137736	2.3540827446316744e-05	5.740267291122077e-14	1.7225110227059304e-13
25	65146	ZBTB14	HEK293	Epithelium	Embryonic Kidney	0.0009178575565003397	3.606781262328546e-06	9.236923607405183e-14	2.772226892489016e-13
26	56820	TFAP2A	None	Neural crest cell	Cranial	0.0007476264017972625	9.961236925261727e-14	2.53685060698984e-10	2.9870550477539837e-13
27	33458	ERG	None	Hematopoietic Cell	None	0.25368731896083413	8.902836758735689e-05	1.0342475744523222e-13	3.1030733538273125e-13
28	65204	YY1	HEK293	Epithelium	Embryonic Kidney	0.30242703741460186	3.7197867170799717e-06	1.7894003246135813e-13	5.367373212550319e-13
29	75562	BRD4	None	None	Retina	0.4288660135958679	0.01872233008041852	2.338878894585685e-13	7.017164627143302e-13
30	73715	KMT2A	SEM	B Lymphocyte	None	0.29640198722523736	0.0012952184920238235	2.8532077189802644e-13	8.56037463137227e-13
31	41809	EZH2	None	iPSC	None	1.8940535877487256e-11	4.388747269488163e-13	2.1216437254976282e-11	1.261268867125409e-12
32	64633	SMARCA4	None	Neuron	None	0.012593899595435543	7.402992310690147e-13	0.2034051525656157	2.2209456496113944e-12
33	74907	POLR3D	THP-1	Macrophage	None	0.08102738080980343	0.0001350863964902025	1.2371444961871937e-12	3.711364549019436e-12
34	45490	EZH2	NHEK	Keratinocyte	Skin	5.030733348495838e-12	1.81788864434096e-12	4.496005504089334e-09	4.004796494427865e-12
35	45466	EZH2	NHDF-Ad	Fibroblast	Skin	2.6198607551920445e-11	2.986474545305758e-11	1.6426647956514004e-12	4.409195231147578e-12
36	46180	MAX	H1	Embryonic Stem Cell	Embryo	0.009655622857059027	3.606964635698169e-12	4.5741349212395255e-12	6.050049350392328e-12
37	50991	CTCF	H1	Embryonic Stem Cell	Embryo	0.04493277720774837	2.1604281579656746e-12	0.3556246936316992	6.481426506610433e-12
38	58506	WDR5	BE2-C	Neuroblast	Brain	0.9843109634118204	0.7080184280420441	2.406725791445457e-12	7.2203354406497056e-12
39	52432	WDR5	HEK293	Epithelium	Embryonic Kidney	0.9266941024100702	0.06672243564332414	3.4177139856886448e-12	1.0253131677018246e-11
40	8807	CHD1	H1	Embryonic Stem Cell	Embryo	0.02569541838480709	0.0009078019916104861	3.870078063098189e-12	1.16103793246225e-11
41	63407	POLR2AphosphoS5	None	iPSC	None	0.8114852113326139	0.3023027270854347	3.960101296212598e-12	1.18804965865138e-11
42	45230	CTCF	H1	Embryonic Stem Cell	Embryo	0.059491099628265834	5.107138486543282e-12	0.9847900428047718	1.532146631788578e-11
43	35846	CTCF	H1	Embryonic Stem Cell	Embryo	0.010364431768212905	5.86042504034827e-12	0.2769736654229568	1.7581325284510285e-11
44	8086	CTCF	H1	Embryonic Stem Cell	Embryo	0.010364431768212905	5.86042504034827e-12	0.2769736654229568	1.7581325284510285e-11
45	41794	EZH2	None	iPSC	None	3.3356639281204803e-07	3.3952264659834925e-09	5.970278345461444e-12	1.787903158856352e-11
46	51524	OTX2	HUES64	Embryonic Stem Cell	Embryo	9.169268040931156e-08	6.503132741170179e-12	0.8366594429466856	1.950795081029355e-11
47	52436	WDR5	HEK293	Epithelium	Embryonic Kidney	0.9630058806958325	0.30035777778430506	1.1217604429990837e-11	3.365285827783282e-11
48	50990	CTCF	H1	Embryonic Stem Cell	Embryo	0.02915510538503976	1.4108933819172061e-11	0.2167089909273932	4.2326919746926706e-11
49	74906	POLR3D	THP-1	Macrophage	None	0.02511392920870371	0.00038807626442772885	1.4778021291557692e-11	4.4334036441995295e-11
50	49467	598-SKD	MCF-7	Epithelium	Breast	0.0043868454816406565	3.351052854110088e-07	1.7320953280689626e-11	5.1960213909296726e-11
51	4932	NANOG	H1	Embryonic Stem Cell	Embryo	4.379876208073713e-09	1.7925797969932586e-11	0.551997428067087	5.355804688633725e-11
52	56821	TFAP2A	None	Neural crest cell	Cranial	0.03013427364597257	2.0982951150480373e-11	6.283869015409864e-06	6.294875731782668e-11
53	56817	NR2F1	None	Neural crest cell	Cranial	0.04861300055767233	2.2917270327778833e-11	0.011309746314298078	6.875200408984483e-11
54	276	SMAD3	BG03	Embryonic Stem Cell	Embryo	0.0020068779621280216	5.6609075185326244e-11	4.3385991160302036e-11	7.36848915217081e-11
55	41808	JARID2	None	iPSC	None	4.925410400370099e-11	5.0345479135425597e-11	2.7927517654794077e-08	7.462414020054098e-11
56	832	CTCF	H1	Embryonic Stem Cell	Embryo	0.07766817587169728	3.034877000743289e-11	0.9915727394526137	9.10463926473426e-11
57	51513	NANOG	HUES64	Embryonic Stem Cell	Embryo	5.161442764662033e-09	4.834253824371096e-11	0.8533235868316335	1.4368184420021635e-10
58	51516	NANOG	HUES64	Embryonic Stem Cell	Embryo	2.00800994029847e-09	5.230440817999345e-11	0.7869549901826238	1.5292961341728528e-10
59	4933	NANOG	H1	Embryonic Stem Cell	Embryo	1.2654268324942898e-08	6.918472489679533e-11	0.9495352125757514	2.0642554332539476e-10
60	65186	EGR3	HEK293	Epithelium	Embryonic Kidney	0.01926245335233038	1.1216348755150582e-05	7.015975684801402e-11	2.104780794098815e-10
61	36632	CTCF	H1	Embryonic Stem Cell	Embryo	0.09515913924614589	8.000904992877128e-11	0.9949779576008226	2.4002722032179236e-10
62	40334	MBD2	HeLa	Epithelium	Cervix	1.0758967864741333e-09	9.343960236476334e-11	6.029314873496245e-09	2.542930310767133e-10
63	41813	EZH2	None	iPSC	None	7.121212796028723e-10	1.6805781815970426e-10	4.5420336486387223e-07	4.0778663779050817e-10
64	51520	NANOG	HUES64	Embryonic Stem Cell	Embryo	3.2255448732851875e-09	1.5329262652259144e-10	0.9635050485488041	4.390139363152912e-10
65	75559	BRD4	None	None	Retina	0.6936438064010194	0.09273975007643254	1.5212432556268914e-10	4.563729949502715e-10
66	71283	SMAD3	None	hESC	None	1.3265616898651198e-09	1.786899542360778e-10	0.08792177357389991	4.724324265126256e-10
67	64634	SMARCA4	None	Neuron	None	0.002844845950610883	1.8974196641477557e-10	0.9449500399317614	5.692257776246379e-10
68	34102	NANOG	HUES64	Embryonic Stem Cell	Embryo	1.543685723638255e-08	1.926373989992472e-10	0.8932465002195143	5.7078941573252e-10
69	34089	NANOG	HUES64	Embryonic Stem Cell	Embryo	7.872035020436244e-09	2.2856435989511341e-10	0.6821915552346984	6.663457008393436e-10
70	65120	ZBTB26	HEK293	Epithelium	Embryonic Kidney	0.13900521093806595	0.0056235140942106	2.4814263898753854e-10	7.444279082058358e-10
71	64048	CTCF	None	Neuron	None	0.15632464212550506	2.6951826271544615e-10	0.3039146628866315	8.085547231750922e-10
72	34012	SMAD3	BG03	Embryonic Stem Cell	Embryo	1.679424173578961e-08	2.7400306771706496e-10	0.727909101148638	8.088130720729225e-10
73	37633	ERG	MCF-7	Epithelium	Breast	0.2172419023362414	0.0013013849925844398	2.719384136492048e-10	8.158150821557797e-10
74	8820	RBBP5	H1	Embryonic Stem Cell	Embryo	0.32056283815260855	0.011863326931001124	3.0871748674990546e-10	9.261524880344041e-10
75	46196	TAF1	H1	Embryonic Stem Cell	Embryo	0.5350902676483018	0.0026813612670071848	3.6041289981422045e-10	1.08123854314357e-09
76	55289	5MC	BicR	Epithelium	Prostate	0.13600644040025045	0.8840654149002491	3.7912897029261336e-10	1.137387017902114e-09
77	51591	SRF	HUES64	Embryonic Stem Cell	Embryo	0.0006975619039225259	9.02943179754247e-10	8.533630821161883e-10	1.3161791101445885e-09
78	70815	SP1	HCT-116	Colon cancer cell	Colon	0.053070746439638855	0.00034814504978751483	7.935648181326239e-10	2.380688923775409e-09
79	51450	FOXA1	HUES64	Embryonic Stem Cell	Embryo	0.0007160443141063362	1.0581800079220177e-09	0.9997790227294178	3.1745505668645535e-09
80	48551	SOX2	None	iPSC	None	7.806980463989853e-05	1.0757981183493003e-09	0.7442766259388819	3.2273498318247107e-09
81	70141	AR	MDA-MB-453	None	Breast	0.0002628722193634917	1.209605267120779e-09	0.999193394631197	3.628804479127723e-09
82	45689	RAD21	H1	Embryonic Stem Cell	Embryo	0.5558155015092116	1.2575144596239254e-09	0.9999383535732262	3.772620438269314e-09
83	41824	JARID2	None	iPSC	None	4.070378130988668e-09	2.086156952725099e-09	1.0875821209214586e-07	4.085955185306744e-09
84	38163	SUZ12	None	None	Bone Marrow	2.9859190919167068e-09	4.88182729036918e-09	8.763681782454082e-09	4.588181112819001e-09
85	1010	FOXH1	H9	Embryonic Stem Cell	Embryo	8.864525803635905e-05	1.874861308728288e-09	0.9944642633658033	5.624466836717801e-09
86	57092	HEXIM1	HCT-116	None	Colon	0.03098292860163782	1.535512975907887e-06	1.963362990408522e-09	5.882566933568256e-09
87	52785	CIITA	Raji	B Lymphocyte	Blood	4.272158736843479e-09	6.362537215307971e-09	0.9997770329062432	7.667942947264805e-09
88	65084	SP2	HEK293	Epithelium	Embryonic Kidney	0.7342989512993922	0.07794884247818769	2.574651631512069e-09	7.72395486459132e-09
89	45239	PHF8	H1	Embryonic Stem Cell	Embryo	0.996658314346384	0.9045412089827704	3.5553836028892282e-09	1.0666162675310176e-08
90	8818	PHF8	H1	Embryonic Stem Cell	Embryo	0.996658314346384	0.9045412089827704	3.5553836028892282e-09	1.0666162675310176e-08
91	34016	SMAD3	BG03	Embryonic Stem Cell	Embryo	6.494721153074488e-08	6.345151856555497e-09	0.004712874406046991	1.7341243552237984e-08
92	55287	5MC	BicR	Epithelium	Prostate	0.0799303963262325	0.7339589008049241	8.607442947693707e-09	2.5822326665814188e-08
93	33035	AHR	MCF-7	Epithelium	Breast	0.04041202692975984	8.769295795505042e-09	0.9992790450725365	2.630820183924243e-08
94	41790	JARID2	None	iPSC	None	6.093415177752798e-07	1.0414335999673187e-08	0.0005607178143573902	3.071744175686675e-08
95	69201	TRIM24	LNCaP	Epithelium	Prostate	0.9371248023081612	0.14595610942751497	1.0764799159055223e-08	3.229440070917633e-08
96	51438	CTCF	HUES64	Embryonic Stem Cell	Embryo	0.19429486664099943	1.1497438944608636e-08	0.9236362594168964	3.4492320111212393e-08
97	58086	KDM2B	None	Myeloid Cell	None	0.0002452253265555503	1.5752824930091468e-07	1.2705379877864732e-08	3.5269652198799406e-08
98	63295	ZNF335	HEK293	Epithelium	Embryonic Kidney	0.8124812967185542	0.042362747408708545	1.2205350241709098e-08	3.661604242033434e-08
99	33219	SOX2	ReN-VM	Neural Stem Cell	None	2.5147834006514545e-07	1.3025574333292832e-08	0.6649629508782235	3.715237884005518e-08
100	52786	CIITA	Raji	B Lymphocyte	Blood	2.1981826831307965e-08	4.788359174277877e-08	0.9990945538927384	4.5197739828584105e-08
101	46047	CTCF	WERI-Rb-1	None	Eye	0.2588555209341241	2.4904029241593704e-08	0.8016332370227308	7.471209018117264e-08
102	58176	SOX2	None	Neural Progenitor Cell	None	2.8965479491981407e-07	3.028412434013584e-08	0.24556449314446682	8.225264747085959e-08
103	64047	CTCF	None	Neuron	None	0.2243966870697438	2.9427138788320412e-08	0.42484011886865936	8.82814047975522e-08
104	76965	CNOT3	None	None	Snap-frozen tissue	0.4011057583537368	0.0013651410777950426	3.080454571372295e-08	9.241154896866277e-08
