Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
1	54126	CEBPB	None	Mesenchymal Stem Cell	None	1.3283149489639335e-18	1.2305065015318166e-37	5.131559004511357e-17	3.6915195045954503e-37
2	54127	CEBPB	None	Mesenchymal Stem Cell	None	7.320928278010043e-20	3.205956350286171e-33	6.444991348180999e-17	9.617869050858092e-33
3	46358	PBX3	SK-N-SH	Neuroblastoma cell	Brain	1.2712713736795477e-20	4.611559161020653e-32	8.133620728013916e-18	1.3834677483011695e-31
4	54125	CEBPB	None	Mesenchymal Stem Cell	None	1.3541204574313675e-18	5.549090959390532e-32	4.029309863241589e-16	1.6647272878170912e-31
5	46362	TCF12	SK-N-SH	Neuroblastoma cell	Brain	2.4953442686487254e-17	3.6444883521071547e-31	1.0124432878227102e-14	1.0933465056321307e-30
6	45861	CEBPB	IMR90	Fibroblast	Lung	1.251539751497186e-15	7.120961637727734e-30	1.6601272901492276e-12	2.1362884913183084e-29
7	46346	FOSL2	SK-N-SH	Neuroblastoma cell	Brain	9.441579355496958e-20	2.7537367204255826e-29	1.684867657400366e-15	8.261210158867147e-29
8	40217	BRD4	U87	None	Brain	2.906625020209338e-20	5.183802907150567e-29	3.80419097022723e-14	1.5551408693716613e-28
9	55895	T	None	Fibroblast	None	7.907196793898777e-22	1.4729073642210172e-28	5.756931196162319e-18	4.41872126945589e-28
10	49977	BRD4	90-8TL	Schwann Cell	Brain	4.898834938521505e-17	6.377216569669137e-28	3.898283170525059e-16	1.9131649708727065e-27
11	36075	MYOD1	None	Myoblast	None	2.650215845810482e-22	7.171399147405952e-28	1.6051035024386403e-18	2.1514139216034355e-27
12	46361	GATA3	SK-N-SH	Neuroblastoma cell	Brain	2.2343291843133377e-17	7.264888089405887e-28	2.682530546392181e-14	2.1794664267508425e-27
13	33197	MAX	U87	None	Brain	8.110791843187209e-16	2.0055609652108377e-27	3.672402698795138e-15	6.01668289561437e-27
14	44435	TAL1	None	None	Cord blood	1.984866109841616e-18	2.843959235469816e-27	2.2582283868815903e-13	8.531877694184681e-27
15	40221	BRD4	U87	None	Brain	6.63914804992521e-19	7.30317352332036e-27	1.2295874888780702e-14	2.1909520328939718e-26
16	49980	BRD4	90-8TL	Schwann Cell	Brain	7.002231904591438e-17	1.9312553004666392e-26	7.739040022268104e-15	5.793765899787476e-26
17	44433	TAL1	None	None	Cord blood	1.0001131013406393e-18	2.701098737209539e-25	9.993423991067753e-16	8.103294020906198e-25
18	46349	MAX	SK-N-SH	Neuroblastoma cell	Brain	3.512066386843437e-15	3.2776732930636523e-25	1.2531347816790967e-14	9.833019878008335e-25
19	54675	YAP1	NCI-H2052	Epithelium	Lung	3.439467958432001e-17	7.367242618986781e-25	1.9240455634995305e-10	2.2101727383547537e-24
20	68229	NR3C1	BEAS-2B	Epithelium	Lung	5.592230984921787e-17	3.326200691216689e-24	3.71193968180014e-14	9.978601479239248e-24
21	33198	MED1	U87	None	Brain	1.3576731262218732e-15	4.778105434451644e-24	8.525093211829859e-13	1.4334316253002064e-23
22	71242	CEBPB	None	Osteoblast	None	2.0438258484890525e-14	7.563979262742838e-24	2.0480330486087674e-13	2.269193777899535e-23
23	76812	NEUROG2	None	Fibroblast	Fetal Lung	2.0334527703969034e-19	9.985111788181223e-24	1.1583689700229606e-18	2.9953606316642126e-23
24	71243	CEBPB	None	Osteoblast	None	3.258062569955075e-15	1.2360813469711137e-23	2.602562765235151e-14	3.7082440251380715e-23
25	54676	YAP1	NCI-H2052	Epithelium	Lung	4.6909931712080596e-15	1.373819694295381e-23	2.927645510911639e-09	4.1214590709783175e-23
26	68711	BRD4	IMR90	None	None	2.6596297264755413e-15	7.161751984605357e-23	1.6268818816767041e-13	2.148525537557835e-22
27	67806	BRD4	HCC1395	None	None	1.438419100209337e-14	8.507837941624808e-23	2.9574584554325678e-12	2.55235136729987e-22
28	39025	BRD4	U87	None	Brain	8.161332752346783e-16	9.671753653616905e-23	3.199486274762679e-13	2.9015257513568413e-22
29	46351	JUND	SK-N-SH	Neuroblastoma cell	Brain	1.7773068536567397e-15	1.263996972183135e-22	2.595814009479179e-11	3.7919906482322132e-22
30	52496	TCF21	None	None	Coronary artery smooth muscle	5.24991855843386e-16	2.5243492050620623e-22	4.9751908945633076e-14	7.5730439353900345e-22
31	55299	JUN	MDA-MB-231	Epithelium	Breast	1.2652729079257877e-15	3.257719753805265e-22	2.415063749315233e-10	9.773156796597151e-22
32	73510	BRD4	SUM159PT	mammary carcinoma cell line	Breast	4.553025033602176e-13	3.8266612669710246e-22	2.3466725856880215e-10	1.147998379124648e-21
33	45866	MXI1	IMR90	Fibroblast	Lung	1.3335488772875063e-12	4.0294582029790325e-22	5.544333860384249e-14	1.2088374517523491e-21
34	45867	MAZ	IMR90	Fibroblast	Lung	6.254263273165473e-14	4.790558964011278e-22	7.202423486092208e-13	1.4371676772442221e-21
35	75043	E2F1	MDA-MB-231	None	Breast	4.4939266700692947e-14	8.620134562183602e-22	1.0437606504474417e-10	2.5860403190643306e-21
36	52092	TP53	IMR90	Fibroblast	Lung	1.5051576522411114e-16	8.738018237932454e-22	5.048187586228901e-18	2.6209365921925578e-21
37	52091	TP53	IMR90	Fibroblast	Lung	2.1447754849699121e-16	1.4658201803245208e-21	2.3687562752104982e-17	4.397158386705625e-21
38	46036	JUND	SK-N-SH	Neuroblastoma cell	Brain	1.463932094543125e-14	1.8932986207247695e-21	5.960316776472673e-12	5.6798951263287064e-21
39	57808	BRD4	LX2	Hepatic Stellate Cell	None	7.570059591927468e-13	2.2753787477747014e-21	1.082851607944277e-08	6.826136222804547e-21
40	46348	TEAD4	SK-N-SH	Neuroblastoma cell	Brain	1.0009941891489837e-15	2.7797708433374026e-21	2.75677455243854e-13	8.339289471304042e-21
41	74545	CBFB	Saos-2	Osteosarcoma cell	None	1.735257195986603e-18	2.796453372720461e-21	3.6922652070121587e-16	8.375798664818027e-21
42	45853	FOS	None	Endothelial Cell	Umbilical Vein	4.5812617729139595e-14	3.545899897061127e-21	1.5811140325714023e-08	1.0637698867945622e-20
43	52495	TCF21	None	None	Coronary artery smooth muscle	2.771850620111387e-16	3.677783739504585e-21	1.3040328340502163e-14	1.103320172762321e-20
44	1740	FOS	None	Endothelial Cell	Umbilical Vein	4.9204756987817485e-15	5.739553153956268e-21	7.055899862751547e-09	1.7218639565158235e-20
