Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
1	54126	CEBPB	None	Mesenchymal Stem Cell	None	6.288413062050554e-34	1.839119092648081e-63	7.390768626695088e-27	5.517357277944243e-63
2	54127	CEBPB	None	Mesenchymal Stem Cell	None	1.7722075168268185e-37	8.425679782699489e-63	1.9553691511285121e-31	2.5277039348098467e-62
3	67496	SMARCA4	MDA-MB-231	Epithelium	Mammary Gland	6.01040769569145e-40	1.651914932560662e-56	2.9711686611571026e-38	4.955744797681986e-56
4	33197	MAX	U87	None	Brain	5.049630426549617e-24	4.966334614582843e-55	2.0732433314133813e-22	1.489900384374853e-54
5	54125	CEBPB	None	Mesenchymal Stem Cell	None	2.05945292601927e-30	7.833841498397194e-51	5.2627124664584936e-27	2.3501524495191586e-50
6	54243	FOXO1	None	Stromal Cell	Endometrium	2.938321252326007e-27	2.189619372662572e-49	4.299696598923238e-22	6.568858117987717e-49
7	56670	AR	LHSAR	Epithelium	Prostate	4.0827916339037515e-36	3.313812150883101e-49	1.6741160947383137e-31	9.941436452648496e-49
8	54241	FOSL2	None	Stromal Cell	Endometrium	9.042028206628959e-32	7.33815278874807e-49	1.617140956199867e-27	2.2014458366244216e-48
9	71243	CEBPB	None	Osteoblast	None	2.805724675656791e-35	1.0915949147715576e-47	1.0706286403720955e-30	3.2747847443133994e-47
10	71242	CEBPB	None	Osteoblast	None	2.040195582101765e-34	4.626903982180966e-47	1.081430570645204e-31	1.3880711946539746e-46
11	50412	KLF11	hMADS-3	Adipocyte	Adipose	7.022024503206476e-22	8.038959136028081e-47	1.2684294871363186e-21	2.4116877408084242e-46
12	56669	AR	LHSAR	Epithelium	Prostate	1.3091000516983868e-31	2.1369222386280923e-46	7.121381028184977e-25	6.410766715884267e-46
13	45861	CEBPB	IMR90	Fibroblast	Lung	8.777952535758802e-23	1.016190652572061e-45	2.466113132814492e-17	3.048571957716183e-45
14	68711	BRD4	IMR90	None	None	1.832596040590748e-23	1.1641474193785952e-44	2.1817452072677453e-21	3.4924422581357857e-44
15	53598	RELA	None	Adipocyte	None	3.979927814745442e-29	1.3358371165230173e-44	7.814101421877509e-25	4.007511349569051e-44
16	54104	DAXX	PC-3	Epithelium	Prostate	4.3805428672082374e-24	1.545814596401782e-44	9.738862688981718e-20	4.637443789205347e-44
17	40217	BRD4	U87	None	Brain	6.712661129579016e-17	2.832475780787008e-44	3.1610179197693963e-12	8.497427342361025e-44
18	54676	YAP1	NCI-H2052	Epithelium	Lung	1.0797919117926345e-28	3.590091597748931e-44	2.4777253628634517e-22	1.077027479324679e-43
19	56666	HOXB13	LHSAR	Epithelium	Prostate	8.088874614582858e-28	3.653679441504273e-44	2.848913265323398e-26	1.0961038324512818e-43
20	40221	BRD4	U87	None	Brain	2.3311959577421424e-19	4.2207782776573115e-44	3.4727015742752916e-16	1.2662334832971937e-43
21	48089	AR	HEK293	Epithelium	Embryonic Kidney	2.239460344085317e-28	5.527618716617639e-44	1.0078236780651994e-26	1.6582856149852913e-43
22	73510	BRD4	SUM159PT	mammary carcinoma cell line	Breast	3.1778390046994924e-19	1.288471990044744e-43	4.231736205650882e-15	3.865415970134232e-43
23	54675	YAP1	NCI-H2052	Epithelium	Lung	2.4685759676976042e-23	5.241583002895347e-43	2.850786162682773e-17	1.5724749008686042e-42
24	45853	FOS	None	Endothelial Cell	Umbilical Vein	4.261897406247594e-26	1.0028290097310724e-42	1.0149508716678576e-21	3.008487029193217e-42
25	48085	AR	HEK293	Epithelium	Embryonic Kidney	1.153418045428808e-25	1.148897717466124e-41	4.1062728588312766e-26	3.446693152398371e-41
26	76812	NEUROG2	None	Fibroblast	Fetal Lung	9.72438463188657e-29	2.0841416200782203e-41	8.89425689029289e-29	6.252424860231857e-41
27	46358	PBX3	SK-N-SH	Neuroblastoma cell	Brain	4.774548371893074e-19	2.456680798054824e-41	3.5676470845074305e-15	7.370042394164473e-41
