Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
1	49977	BRD4	90-8TL	Schwann Cell	Brain	3.677950630956406e-39	3.7931885707796815e-138	1.5264942786995535e-117	1.1379565712339043e-137
2	51750	FOXP1	LNCaP	Epithelium	Prostate	1.2687844397171199e-24	2.021628519059239e-127	2.0964915184460773e-122	6.064827074578244e-127
3	70755	MYC	LNCaP	None	LNCaP cells	1.9657931113140318e-11	6.153873946166337e-124	2.5250324104826793e-112	1.846162183845402e-123
4	70756	MYC	LNCaP	None	LNCaP cells	2.839868119872101e-14	7.018259620187021e-120	3.508320719040051e-114	2.1054736741376274e-119
5	46077	TAF1	A549	Epithelium	Lung	3.938806085285909e-94	5.9043382385542866e-117	1.1589880451952165e-108	1.7713014625425837e-116
6	67454	E2F1	None	Mesenchymal Stem Cell	Umbilical Cord	1.3307008471350459e-100	1.8749575564181044e-116	2.065535715863977e-111	5.624821610820891e-116
7	36356	POLR2B	IMR90	Fibroblast	Lung	7.269045182662141e-80	1.5886102180846236e-115	2.1667753713188767e-115	2.7497800797478325e-115
8	45866	MXI1	IMR90	Fibroblast	Lung	4.950743648601123e-74	6.462050706600704e-96	1.0397112838281506e-113	3.119133851484452e-113
9	67457	E2F1	None	Mesenchymal Stem Cell	Umbilical Cord	8.143646221007657e-87	1.9526015685431795e-113	2.0522699874496736e-110	5.852236682613154e-113
10	45752	E2F4	HeLa-S3	Epithelium	Cervix	7.697184755674698e-83	2.78035209531435e-113	7.257348481751801e-110	8.337861979911779e-113
11	56961	GTF2B	HeLa	Epithelium	Cervix	6.826128712958013e-85	8.362994745712748e-113	4.0787916991170916e-111	2.458490497471382e-112
12	67455	E2F1	None	Mesenchymal Stem Cell	Umbilical Cord	3.3054814393039244e-84	3.2129366930288405e-112	7.648071665589801e-105	9.638809674162422e-112
13	67456	E2F1	None	Mesenchymal Stem Cell	Umbilical Cord	1.6606529265508619e-84	5.0659554207264815e-111	3.9927416880357212e-109	1.5007453022528622e-110
14	1212	E2F1	HeLa	Epithelium	Cervix	3.5411891384282726e-72	4.978333016628224e-110	4.5970884943082764e-104	1.4934982876317763e-109
15	9216	POLR2B	HeLa	Epithelium	Cervix	1.2099538064635672e-84	3.035161978056469e-109	6.619312439296894e-104	9.105444182857272e-109
16	46345	TAF1	SK-N-SH	Neuroblastoma cell	Brain	2.476799490687964e-65	2.6741340669019806e-108	5.890555997867996e-106	7.986147509085863e-108
17	56252	E2F1	None	Epithelium	Mammary Gland	5.6324821122565595e-80	2.3138886035036416e-107	2.892799372844776e-104	6.936117757651591e-107
18	50876	SPI1	None	None	None	2.1707638954774475e-73	4.7994390420549705e-107	2.6271807998389765e-105	1.41400019114948e-106
19	1874	RBL2	IMR90	Fibroblast	Lung	3.8533351504983975e-73	5.2135764671074345e-107	2.9500438879738743e-99	1.5640729124905609e-106
20	2684	PHF8	SH-SY5Y	None	Bone Marrow	4.020520011767172e-92	1.7812698198407434e-103	1.3281810486576995e-106	3.981574336016269e-106
21	70962	E2F1	Raji	B Lymphocyte	Blood	2.167088103410665e-76	1.4633093648515428e-106	4.143712269460474e-102	4.389773074233926e-106
22	56978	GTF2B	HeLa	Epithelium	Cervix	4.4095537490815487e-75	7.3596455356413095e-106	6.573185102813768e-101	2.2078689403588928e-105
23	55666	PAF1	HCT-116	None	Colon	8.153330611359413e-81	2.508213364677448e-105	5.153783040251844e-100	7.524603473726737e-105
24	93	PHF8	HEK293T	Epithelium	Embryonic Kidney	8.681195438823278e-91	1.1334094494751783e-101	1.1999151344145146e-104	3.595938463935464e-104
25	74209	BRD2	SF8628	None	Pontine	3.8296919062989865e-83	3.24604400156945e-104	1.1341950364703293e-99	9.737853309252046e-104
26	43763	BRD4	DND-41	T Lymphocyte	Blood	6.923765578687204e-68	8.318196857132318e-104	6.362432037908496e-99	2.495426432118035e-103
27	41481	E2F1	OCI-Ly1	B cell lymphoma	Bone Marrow	8.178176590195789e-78	9.560346448418677e-104	6.66290179349353e-101	2.863994496856411e-103
28	67458	E2F1	None	Mesenchymal Stem Cell	Umbilical Cord	7.759019593126496e-87	4.557221241968884e-103	3.5224769437044455e-101	1.3497045065628899e-102
29	69813	NELFE	MCF-7	Human Breast Cancer Cell	Breast	1.8036174733223087e-89	4.855913925916721e-103	9.191013778733435e-99	1.4566972156849859e-102
30	74838	JMJD6	None	3565 cells	None	4.78585235958783e-82	7.348443307731821e-103	1.0078934427595929e-101	2.054725176975192e-102
31	67459	E2F1	None	Mesenchymal Stem Cell	Umbilical Cord	2.6891043935354173e-83	1.0780999955085235e-102	6.218964336970974e-102	2.7564504511410295e-102
32	46162	TAF1	GM12892	Lymphoblastoid	Blood	3.3210718484604e-73	5.314173847568454e-98	1.4650806659762226e-102	4.395120827512838e-102
33	49266	SCML2	293T-Rex	None	None	1.0488621288656818e-15	1.4727829280230036e-102	1.1764646637543251e-95	4.418348230948459e-102
34	70752	MYC	LNCaP	None	LNCaP cells	5.8250533654249725e-12	3.1009902575775927e-102	9.300705780253192e-99	9.299870061116087e-102
35	33174	MYC	U87	None	Brain	1.8565509817869996e-73	5.935221045428791e-102	4.437691452405672e-101	1.5705165008387423e-101
36	49480	E2F4	None	Retinal pigment cell	None	7.420028206300236e-87	1.5917404538335574e-101	1.6458324743274756e-101	2.427501885903202e-101
37	69816	NELFE	MCF-7	Human Breast Cancer Cell	Breast	1.202474554516238e-83	1.6195047713051565e-101	4.623177006564828e-96	4.8584972945378017e-101
38	1314	PHF8	HeLa	Epithelium	Cervix	1.3785543058671673e-90	7.724355803431143e-99	2.5966266745488632e-101	7.763781223892536e-101
39	70964	MYC	Raji	B Lymphocyte	Blood	3.749698564193442e-68	4.351745213835995e-101	1.503674945414519e-100	1.0124989627501728e-100
40	59170	SETD1A	SEM	Pre-B Lymphocyte	None	6.798126859140619e-94	3.154803358805835e-86	4.3627724636411893e-101	1.3088316550966483e-100
41	50894	SPI1	None	None	None	1.3922059319625948e-73	5.96608797442021e-100	2.0481499844205698e-94	1.7898211787280884e-99
42	50878	SPI1	None	None	None	2.0619707375342183e-69	4.654967935390195e-92	7.590005345273177e-100	2.277001566455051e-99
43	46108	TAF1	GM12878	B Lymphocyte	Blood	7.379722119359885e-59	2.7169682406606157e-93	8.704665432686835e-100	2.6113987931620123e-99
44	46154	TAF1	GM12891	Lymphoblastoid	Blood	5.067390202112334e-67	2.581321321063266e-98	1.0234856432503315e-99	2.95335725952222e-99
45	68635	KMT2D	None	patient derived xenograft cells	None	6.792597799445349e-89	2.01500100625893e-99	2.0313197633296745e-98	5.499473692133816e-99
46	53346	CDK9	HeLa	Epithelium	Cervix	3.188347987692955e-84	2.4921143598757603e-99	1.9157620479863684e-97	7.380336157792298e-99
47	53347	CDK9	HeLa	Epithelium	Cervix	4.320173696538539e-86	3.772099936711243e-95	7.84941125476709e-99	2.354333460153098e-98
48	36807	E2F4	MCF-7	Epithelium	Breast	3.5515394230932916e-54	7.953819217854354e-99	3.299684552428717e-94	2.386088249208109e-98
49	49481	RPE	None	Retinal pigment cell	None	1.2891887563363875e-75	3.8552620702217967e-98	2.9754670977177293e-98	5.038058966031744e-98
50	46282	TAF1	K562	Erythroblast	Bone Marrow	8.871918894375795e-72	1.374660823562458e-93	1.956405094706829e-98	5.869131755157774e-98
51	70953	E2F1	Raji	B Lymphocyte	Blood	3.5799085294225983e-72	3.326319112795902e-98	3.272715398567979e-91	9.97895632414757e-98
52	43756	BRD4	DND-41	T Lymphocyte	Blood	1.4617955415606036e-70	9.472915118937672e-98	1.9710430770943577e-97	1.9194019598237935e-97
53	55465	NELFA	HeLa	Epithelium	Cervix	1.4477438111139302e-85	2.686983930225283e-97	1.0131272653124431e-97	2.207168815182556e-97
54	36230	TTF2	HEK293	Epithelium	Embryonic Kidney	1.736129642620561e-76	1.5776153347048012e-92	1.0615948379956752e-97	3.18476308336338e-97
