Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
E2F1,67458;2.15E-12,70860;1.69E-10,44325;5.09E-10,67457;1.02E-09,44321;3.08E-09
E2F4,45752;3.85E-12,3225;6.16E-12,46000;1.66E-08,542;2.41E-08,45617;3.05E-08
EGR3,65186;2.17E-09,,,,
RBL2,1874;3.58E-09,1880;1.42E-08,1878;4.48E-08,1876;2.30E-03,1875;1.26E-02
KDM2B,58074;4.59E-09,58081;2.79E-06,73701;4.39E-06,58086;1.42E-04,58083;3.01E-04
TRIM28,57090;5.36E-09,49606;2.93E-04,52087;1.46E-03,46305;1.47E-02,2781;2.38E-02
NRF1,58936;5.67E-09,58940;2.77E-08,58937;8.60E-08,58939;2.08E-07,64621;1.77E-06
ERG,33459;7.47E-09,37583;1.93E-06,37635;4.32E-06,72359;1.57E-05,37633;1.70E-05
PAF1,73697;1.17E-08,55667;1.72E-05,55664;8.58E-05,55668;3.95E-03,55665;4.52E-03
SETD1A,59170;1.80E-08,76519;6.99E-05,,,
YAP1,56537;2.91E-08,54609;1.16E-03,54608;2.96E-03,54675;5.84E-02,55513;9.42E-02
EBNA3A,52218;2.98E-08,52217;8.38E-03,52219;3.05E-01,67833;3.66E-01,
ZNF202,73970;4.47E-08,62488;3.02E-01,62487;5.45E-01,,
KDM4C,43684;4.54E-08,58138;3.17E-01,43685;3.31E-01,58137;3.33E-01,
ZBTB26,65120;4.81E-08,65121;5.79E-01,,,
TRIM24,69202;5.42E-08,69203;4.26E-06,69201;1.00E-04,64820;1.09E-02,2405;5.20E-02
TBP,37584;5.91E-08,45881;5.19E-06,45684;1.22E-05,45781;3.43E-05,45791;1.44E-03
NELFA,55465;6.16E-08,55466;7.18E-06,55468;1.27E-04,43451;2.20E-02,55467;1.29E-01
ASXL1,76682;1.20E-07,,,,
PATZ1,64981;1.79E-07,64982;2.47E-07,65119;9.98E-02,38668;2.23E-01,
MYH11,37608;1.93E-07,37589;9.05E-04,37623;9.30E-04,37625;1.02E-02,
CBFB,37607;2.61E-07,37604;5.79E-07,37621;3.96E-05,37640;7.13E-05,37606;1.29E-04
SP2,65084;2.66E-07,64559;3.25E-05,64560;1.22E-04,46287;5.33E-03,46176;4.59E-02
TFDP1,77535;2.68E-07,62550;7.74E-06,77534;8.27E-06,62551;8.50E-06,38731;8.32E-04
WDR5,52432;2.99E-07,52436;3.48E-06,58506;1.86E-04,49877;1.36E-03,49852;2.81E-03
CNOT3,76964;3.15E-07,76965;1.36E-05,76966;3.17E-01,,
MYC,34318;3.31E-07,70810;3.34E-07,70809;5.11E-07,70805;8.46E-07,36844;1.33E-06
POLR2B,36356;3.58E-07,9216;2.43E-03,,,
PHF8,1314;3.90E-07,8789;5.08E-06,8790;1.77E-05,45411;3.36E-05,93;1.20E-04
ZBTB14,65146;4.14E-07,,,,
AFF4,69873;4.34E-07,69872;1.81E-04,38227;3.60E-04,48999;3.32E-03,48998;4.36E-03
SIN3A,46360;5.88E-07,46327;6.84E-06,46329;7.61E-06,46236;2.47E-05,46208;3.21E-05
KLF15,65197;6.82E-07,65072;7.55E-05,65198;1.81E-02,42729;1.05E-01,
EGR1,46214;6.89E-07,46126;1.94E-06,46298;1.96E-06,46086;2.25E-03,46169;1.81E-02
BRD4,69870;6.92E-07,56357;2.24E-06,36299;2.46E-06,75559;4.19E-06,43066;6.34E-06
HOXA4,42720;8.30E-07,,,,
MBD2,48827;9.04E-07,48824;1.09E-05,48825;2.41E-05,63028;1.01E-04,48826;1.46E-03
TAL1,37596;9.31E-07,72356;1.92E-05,4610;4.79E-05,4611;1.62E-04,43447;7.45E-04
ZFP2,63525;9.47E-07,63524;9.05E-03,,,
KMT2A,73716;1.08E-06,73715;8.06E-06,77486;1.15E-04,73708;2.54E-04,34962;5.90E-04
T,73453;1.13E-06,73454;1.32E-05,53302;8.53E-05,55895;1.54E-04,69884;5.96E-04
FLI1,37057;1.15E-06,72360;1.83E-06,37056;2.19E-06,35309;1.71E-04,37579;1.17E-03
RUNX1,72352;1.16E-06,37638;6.83E-06,72358;9.15E-06,59416;1.20E-05,54234;1.20E-05
AFF1,73713;1.16E-06,73709;5.52E-05,73714;2.13E-04,72089;1.12E-03,73712;1.20E-02
MAZ,45661;1.18E-06,45761;1.18E-05,45867;2.35E-05,65115;2.86E-05,45924;1.16E-04
SP1,5395;1.34E-06,70815;2.15E-06,70816;9.93E-06,65151;1.72E-05,70811;6.22E-05
AR,36845;1.36E-06,52251;1.76E-04,56267;2.92E-04,56122;3.39E-04,56265;5.36E-04
USF1,68456;1.44E-06,46365;6.73E-03,46347;8.90E-03,46205;1.15E-02,46124;1.29E-02
CREB1,67711;1.54E-06,37349;6.43E-06,56048;6.91E-06,67720;1.69E-05,67714;1.99E-05
FOXM1,53256;1.57E-06,46350;2.06E-05,53254;2.28E-05,35011;2.45E-05,39460;2.92E-05
SPI1,55393;1.60E-06,50877;4.98E-06,50876;1.58E-05,53298;1.73E-05,50878;2.40E-05
NFE2,67768;1.61E-06,39357;3.45E-06,50381;9.04E-05,45906;4.16E-03,67767;6.35E-02
TCF7L2,45714;1.69E-06,36841;1.06E-04,45751;2.12E-03,36843;2.50E-03,46022;2.94E-03
SP4,65111;1.76E-06,65110;2.10E-04,46179;9.72E-02,65112;4.60E-01,
POLR2AphosphoS5,64761;1.77E-06,64760;3.22E-06,63407;4.63E-05,63406;9.21E-04,
NFIC,46343;1.98E-06,46101;4.81E-04,46111;3.33E-02,46240;4.19E-02,
598-SKD,49466;2.10E-06,49461;5.33E-06,49467;2.36E-05,49468;1.82E-04,49462;9.00E-02
TP63,36141;2.20E-06,36140;1.05E-05,72220;9.26E-04,44225;4.95E-03,44231;5.66E-03
ESR1,35046;2.28E-06,36825;9.48E-05,33525;1.96E-04,36819;2.05E-04,71859;5.42E-04
MXI1,45866;2.28E-06,46038;3.26E-05,45774;6.33E-05,45810;7.94E-05,45633;2.53E-04
EGR2,65147;2.34E-06,65179;4.64E-06,64860;1.21E-02,64861;4.48E-02,34563;6.26E-02
