,0,TF
MC00203|RFX3,7.498579076666442e-20,RFX3
MS00173|RUNX2,1.8370219423658502e-19,RUNX2
MS00323|ZBTB7C,7.333854282896806e-19,ZBTB7C
M01248|NR0B1,7.119486959262152e-18,NR0B1
MC00144|Rfx1,8.990219783264732e-18,Rfx1
MS00207|TBX21,1.0547512709178135e-17,TBX21
MS00135|KLF14,4.7719400767055365e-17,KLF14
M00736|E2F1::TFDP1,5.416456720351246e-17,E2F1::TFDP1
MC00523|E2F4,6.797360201855959e-17,E2F4
UP00001|E2F2,1.7619316036350056e-16,E2F2
MC00319|EGR2,2.739798786188243e-16,EGR2
UP00003|E2F3,3.7053567315548217e-16,E2F3
MC00376|ZBTB7A,1.013865559979394e-15,ZBTB7A
M00373|PAX4,1.3640819566505813e-15,PAX4
M00737|E2F1::TFDP2,1.4294039467599808e-15,E2F1::TFDP2
MC00158|E2f4,1.4374237926229916e-15,E2f4
MS00312|ZBTB7B,1.5288274689707892e-15,ZBTB7B
MC00510|E2f3,1.6290360220704677e-15,E2f3
MS00223|SP3,2.0051801629275823e-15,SP3
MC00502|HMGN1,2.288546328724388e-15,HMGN1
MS00235|SP4,2.668610205777499e-15,SP4
UP00084|Gmeb1,3.5009285748168093e-15,Gmeb1
UP00006|Zic3,3.963931223966579e-15,Zic3
UP00330|XBP1,4.868137159504185e-15,XBP1
UP00088|PLAGL1,5.146379604464112e-15,PLAGL1
M00448|ZIC1,8.421468507456554e-15,ZIC1
MC00418|ZBTB33,9.140524373669415e-15,ZBTB33
M01243|MTF1,1.1995295069549522e-14,MTF1
M01009|HES1,1.6372650437145074e-14,HES1
MA0163|PLAG1,1.7541397801739354e-14,PLAG1
MC00427|ETV1,1.789526207095554e-14,ETV1
MC00183|Snai1,2.280623295520849e-14,Snai1
MS00035|GLIS2,2.5539114765685806e-14,GLIS2
UP00035|HIC1,3.608378505900945e-14,HIC1
MS00256|HES7,4.167099006351263e-14,HES7
M00332|FOXN1,4.4484961940685107e-14,FOXN1
MS00357|ZIC4,5.0387114710393904e-14,ZIC4
MS00567|EGR3,5.171774715835312e-14,EGR3
MS00678|EGR4,5.19881806169227e-14,EGR4
M01002|DEAF1,5.320188852822914e-14,DEAF1
MC00320|EGR1,6.101874235298258e-14,EGR1
MC00509|NR2C2,6.544185202522086e-14,NR2C2
M00717|PAX8,6.976692877655292e-14,PAX8
UP00057|ZIC2,7.464299422428112e-14,ZIC2
MS00212|SP1,7.913676484344896e-14,SP1
M00792|SMAD1,8.404599231562304e-14,SMAD1
M00143|PAX5,8.686142626256423e-14,PAX5
UP00093|Klf7,9.88996014792927e-14,Klf7
UP00087|Tcfap2c,1.1596685227726416e-13,Tcfap2c
UP00065|Zfp161,1.5236306649746504e-13,Zfp161
UP00031|Zbtb3,1.6100375598905856e-13,Zbtb3
MS00146|KLF16,1.6347920778866082e-13,KLF16
MS00048|GCM1,1.6588300400912018e-13,GCM1
MS00346|ZIC3,2.2670956200558013e-13,ZIC3
MC00125|Rest,2.6766135850209365e-13,Rest
UP00024|Glis2,3.0357164180455403e-13,Glis2
UP00021|Zfp281,3.4054774408225196e-13,Zfp281
M01118|WT1,5.515296423540322e-13,WT1
UP00028|Tcfap2e,5.736575109835153e-13,Tcfap2e
M00733|SMAD4,6.395432828384042e-13,SMAD4
MS00246|SP8,7.236431653039637e-13,SP8
M01742|Zscan10,7.913306213095978e-13,Zscan10
M01104|Ovol2,1.0554203669336067e-12,Ovol2
MC00316|HIF1A,1.1916289903826175e-12,HIF1A
MC00182|E2F1,1.2849053565319579e-12,E2F1
M00327|PAX3,1.4607823831684842e-12,PAX3
M01783|SP2,1.8392597369960582e-12,SP2
M00139|AHR,2.0876190945855684e-12,AHR
MS00258|HEY1,2.0938555891782974e-12,HEY1
MS00534|CENPB,2.0948443833583678e-12,CENPB
MC00254|E2F6,2.269936719313085e-12,E2F6
MS00211|TBX2,2.3251498589431383e-12,TBX2
MS00260|HEY2,2.6803128899693332e-12,HEY2
MS00789|Egr3,2.9289927461475113e-12,Egr3
MS00079|HINFP1,3.1404214766812924e-12,HINFP1
M00695|TEAD2,3.22681323202605e-12,TEAD2
M01744|ZFP42,3.2693302704982504e-12,ZFP42
M01122|ZNF219,3.2899046127633094e-12,ZNF219
MS00240|Tcfap2a,4.112665529284184e-12,Tcfap2a
MA0145|Tcfcp2l1,4.234696636925711e-12,Tcfcp2l1
MC00461|Max,4.239963723453073e-12,Max
MC00430|Egr2,4.300597456007115e-12,Egr2
MC00328|Zfx,4.395325842560692e-12,Zfx
MC00391|ZNF143,4.9976214382654356e-12,ZNF143
MC00252|Rara,5.015408871646097e-12,Rara
MS00024|GLIS1,5.240546948870339e-12,GLIS1
MC00187|Ctcf,5.834906692303325e-12,Ctcf
UP00010|Tcfap2b,5.943960539529471e-12,Tcfap2b
MS00027|FLI1,6.4195885277710555e-12,FLI1
MC00532|Mycn,6.460044927919368e-12,Mycn
MC00377|Trp53,7.22714586750161e-12,Trp53
M01592|TFCP2L1,7.300208279140409e-12,TFCP2L1
MC00299|BRCA1,7.312902024721304e-12,BRCA1
MS00285|TCF4,1.0082222891550353e-11,TCF4
MC00221|Tbx3,1.0114011069729739e-11,Tbx3
M00491|PATZ1,1.1649244904572488e-11,PATZ1
MS00848|ERG,1.2382476719054351e-11,ERG
MC00412|VDR,1.3784106719190707e-11,VDR
M01177|SREBF2,1.7273928173681263e-11,SREBF2
MC00224|EPAS1,2.2923270180396114e-11,EPAS1
MS00512|Zfp740,2.5090937923798186e-11,Zfp740
MS00115|NFIX,3.113144817234928e-11,NFIX
MS00843|GLI2,3.144518202364602e-11,GLI2
UP00418|Etv6,3.468978023178209e-11,Etv6
MS00445|ZNF740,3.605010410955588e-11,ZNF740
UP00000|SMAD3,4.12794734289592e-11,SMAD3
MC00109|Klf4,4.1427957571954683e-11,Klf4
MC00262|ARNT,5.6651257353251456e-11,ARNT
MC00394|MYC,5.7377490729992085e-11,MYC
MS00229|TFAP2B,6.080616852277329e-11,TFAP2B
MS00227|TFAP2A,7.498475064521522e-11,TFAP2A
MC00128|CTCF,8.1827036419211e-11,CTCF
MS00046|GLIS3,1.53544994924736e-10,GLIS3
MA0131|HINFP,1.5475418810325393e-10,HINFP
M01714|KLF15,1.7697412224465262e-10,KLF15
MC00257|Pax5,1.7768801870958607e-10,Pax5
M00649|MAZ,2.374046436060622e-10,MAZ
MC00207|ELK4,2.807884387796884e-10,ELK4
MC00373|Mxi1,2.9266384640969166e-10,Mxi1
MS00111|NFKB2,3.1047189585985624e-10,NFKB2
M00647|NR1H3,3.535182872164362e-10,NR1H3
MS00050|GCM2,5.549555637630246e-10,GCM2
MC00110|Klf1,7.231559683520254e-10,Klf1
MS00183|GMEB2,8.586096048545858e-10,GMEB2
M00468|KLF12,9.916658945312642e-10,KLF12
M00467|ZNF423,1.1313771451431317e-09,ZNF423
MS00331|MAFK,1.1819779763962239e-09,MAFK
M00341|GABPB1,1.769194257761843e-09,GABPB1
MS00255|HES5,1.8097663886309661e-09,HES5
MS00335|Mafb,1.856805082680595e-09,Mafb
UP00056|RFX4,2.2259740243046173e-09,RFX4
MS00727|ZBTB49,2.5123354234463276e-09,ZBTB49
MC00475|Nfic,2.7340769186572845e-09,Nfic
MC00386|BCL6,2.825888849087768e-09,BCL6
MC00278|ETS1,2.8640338897590206e-09,ETS1
MS00101|Hic1,3.0716035785130492e-09,Hic1
MC00174|REST,3.5562242779712324e-09,REST
MC00477|ZNF711,4.17741589239698e-09,ZNF711
MS00118|PAX2,5.212720325069357e-09,PAX2
UP00404|ELF2,5.9447401399319186e-09,ELF2
MC00367|GABPA,6.696492229682158e-09,GABPA
UP00066|HNF4A,7.181471769364444e-09,HNF4A
MS00274|NHLH1,8.957300281197019e-09,NHLH1
MS00739|E2F8,9.78357211622605e-09,E2F8
MS00100|MYBL1,9.826850783714976e-09,MYBL1
MC00192|ZNF263,1.0552559818493096e-08,ZNF263
UP00038|Spdef,1.118827665814985e-08,Spdef
MS00117|PAX1,1.1465343238266893e-08,PAX1
MS00022|Elf5,1.1465525716498664e-08,Elf5
M01241|GTF2IRD1,1.276944463920032e-08,GTF2IRD1
MS00157|Klf12,1.3059988774422269e-08,Klf12
MC00518|Tfcp2,1.4172919357876838e-08,Tfcp2
M00644|UBP1,1.429414077936946e-08,UBP1
MS00264|MESP1,1.8095209326113453e-08,MESP1
MC00359|TP53,2.309304250312487e-08,TP53
MS00401|ZNF306,2.4687588913972366e-08,ZNF306
MS00290|ZBED1,3.651167592946463e-08,ZBED1
M01037|GLI1,4.320369543528118e-08,GLI1
M00514|ATF4,4.6882694134411766e-08,ATF4
MS00114|NFIB,5.6025823549528806e-08,NFIB
MS00383|FOXO4,5.658165580033708e-08,FOXO4
MC00132|TP73,6.734613539200308e-08,TP73
MS00327|MAFG,7.614217771223628e-08,MAFG
MS00533|LBX2,9.76024686040433e-08,LBX2
M01733|MZF1,1.0074130427584456e-07,MZF1
MC00191|Nfya,1.0351705860762724e-07,Nfya
MC00473|ATF3,1.344971103102902e-07,ATF3
MS00171|Rfx2,1.5192898603429444e-07,Rfx2
MC00333|ESR2,1.5460777784398314e-07,ESR2
M01334|Nkx1-1,1.7459742158273207e-07,Nkx1-1
MA0155|INSM1,1.942226281436343e-07,INSM1
MS00248|BHLHB3,2.1513085381819073e-07,BHLHB3
MS00124|KLF13,2.562884224043553e-07,KLF13
MS00711|THRB,2.911524861492464e-07,THRB
MC00439|TP63,3.0388139286324263e-07,TP63
MC00457|ELF1,4.324658432064282e-07,ELF1
M00085|ZBTB6,4.4890628112245743e-07,ZBTB6
MS00021|ETV6,4.609283058571666e-07,ETV6
M00518|PPARG::RXRA,4.982368911094123e-07,PPARG::RXRA
MC00281|PBX3,5.155557116387778e-07,PBX3
UP00094|Zfp128,6.131450617329629e-07,Zfp128
UP00092|MYB,6.39884732498948e-07,MYB
MS00311|Creb3l2,6.972130420969759e-07,Creb3l2
MC00362|Arntl,6.972758371051834e-07,Arntl
MS00834|ELF4,7.320266796205053e-07,ELF4
MS00057|HIC2,7.972168958870328e-07,HIC2
MS00838|ELF5,8.407007005481098e-07,ELF5
MC00160|ETV3,9.686146074473997e-07,ETV3
MS00247|BHLHB2,9.84792231809361e-07,BHLHB2
M01067|GFI1,1.2263511984592545e-06,GFI1
MS00110|NFKB1,1.2272340479402187e-06,NFKB1
M00115|CNTN2::CREB1,1.2527546831733228e-06,CNTN2::CREB1
MS00844|ELK3,1.3169351415177139e-06,ELK3
M00072|TFCP2,1.4706512461537334e-06,TFCP2
MA0161|NFIC,1.7333120533298727e-06,NFIC
UP00412|Etv5,1.74107408144246e-06,Etv5
MC00364|NFYA,2.2295321239984026e-06,NFYA
MC00206|ELK1,2.249170569289396e-06,ELK1
UP00423|Gm5454,2.5084122035024132e-06,Gm5454
MA0116|Zfp423,2.525938095658734e-06,Zfp423
MS00694|RXRG,2.9859135331250567e-06,RXRG
UP00081|Mybl1,3.3881770349877195e-06,Mybl1
MC00142|PPARG,3.518932266539419e-06,PPARG
M01105|ZNF350,3.6119536172368974e-06,ZNF350
MS00288|TFE3,3.656486681366299e-06,TFE3
MS00638|ESRRG,4.086560180070733e-06,ESRRG
MC00342|YY1,4.585686048997642e-06,YY1
MC00140|Stat3,4.618093053819376e-06,Stat3
MC00468|AR,6.904897192265715e-06,AR
MS00128|PAX9,7.109076809878114e-06,PAX9
M01109|ZNF589,8.012619349354298e-06,ZNF589
MS00304|CREB3L1,8.703723079265046e-06,CREB3L1
MS00386|FOXO6,1.014246958230704e-05,FOXO6
MS00019|ETV5,1.0428919061484163e-05,ETV5
MS00162|RFX2,1.080547764795943e-05,RFX2
MS00308|CREB3,1.0810411852686923e-05,CREB3
MS00018|ETV4,1.2771417918470873e-05,ETV4
MC00372|Yy1,1.2962434067160649e-05,Yy1
MS00160|PROX1,1.7560925099523883e-05,PROX1
UP00020|ATF1,1.87246587339573e-05,ATF1
MS00267|MNT,1.9966412506173142e-05,MNT
MS00190|SCRT2,2.0633496758284732e-05,SCRT2
UP00413|Elf4,2.7709019546897726e-05,Elf4
MC00374|TFAP2C,3.61659728393833e-05,TFAP2C
UP00095|Zfp691,4.319439660065163e-05,Zfp691
UP00018|Irf4,6.047282874988218e-05,Irf4
MC00289|HSF1,6.584394875273604e-05,HSF1
MC00130|Pparg,6.627582568675039e-05,Pparg
MS00252|Bhlhb2,8.335853410043698e-05,Bhlhb2
