,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
70093|TET2,2.4760874668308068e-34,Homo sapiens,TET2,cr,293T,None,None,1,TET2
1312|PHF8,3.6405534592217837e-34,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0,PHF8
74347|NEUROD1,4.390152684335953e-33,Homo sapiens,NEUROD1,tf,D-341,None,None,1,NEUROD1
52091|TP53,4.44589378946985e-33,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
42744|RELA,1.377716978455961e-32,Homo sapiens,RELA,tf,LoVo,None,Colon,1,RELA
45973|MYC,2.9874372684466276e-32,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1,MYC
69813|NELFE,3.0500679680840166e-32,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,NELFE
45849|MAX,4.790871668046978e-32,Homo sapiens,MAX,tf,None,Endothelial Cell,Umbilical Vein,1,MAX
55666|PAF1,6.292909311649059e-32,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
45969|IRF1,3.90290817795216e-31,Homo sapiens,IRF1,tf,K562,Erythroblast,Bone Marrow,1,IRF1
74686|KLF10,4.115130463303889e-31,Homo sapiens,KLF10,tf,HepG2,Epithelium,Liver,1,KLF10
53076|RBP2,1.4111413592860316e-30,Homo sapiens,RBP2,other,U937,None,Pleura,1,RBP2
58506|WDR5,2.3629253756291357e-30,Homo sapiens,WDR5,cr,BE2-C,Neuroblast,Brain,1,WDR5
43105|RBPJ,7.305115672602912e-30,Homo sapiens,RBPJ,tf,CUTLL1,T Lymphocyte,Blood,1,RBPJ
63824|ETS1,8.669636500723344e-30,Homo sapiens,ETS1,tf,None,iPSC,None,1,ETS1
43684|KDM4C,8.914541192132171e-30,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
50569|MYB,1.3421913627026123e-29,Homo sapiens,MYB,tf,Jurkat,T Lymphocyte,Blood,1,MYB
44028|BRCA1,1.3636555810747492e-29,Homo sapiens,BRCA1,predicted chromatin regulator,MCF-10A,Epithelium,Breast,1,BRCA1
46365|USF1,1.3745150653714623e-29,Homo sapiens,USF1,tf,SK-N-SH_RA,Neuron,Brain,1,USF1
38804|E2F8,1.4529720231974202e-29,Homo sapiens,E2F8,tf,LoVo,None,Colon,1,E2F8
43099|RUNX1,1.655928768523485e-29,Homo sapiens,RUNX1,tf,CUTLL1,T Lymphocyte,Blood,1,RUNX1
5570|POLR2M,2.201582745731625e-29,Homo sapiens,POLR2M,tf,HeLa,Epithelium,Cervix,1,POLR2M
9216|POLR2B,2.3452287110523856e-29,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1,POLR2B
63975|GATA4,2.7899950261791865e-29,Homo sapiens,GATA4,tf,HepG2,Epithelium,Liver,1,GATA4
68635|KMT2D,3.228078374957551e-29,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
46162|TAF1,4.63581371569818e-29,Homo sapiens,TAF1,tf,GM12892,Lymphoblastoid,Blood,1,TAF1
55466|NELFA,5.663261698919998e-29,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,0,NELFA
69755|BRD4,7.108421923131407e-29,Homo sapiens,BRD4,cr,MV4;11,Leukemia Cell,Blood,1,BRD4
56961|GTF2B,8.678006221646139e-29,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
9198|TCF12,9.531194297091137e-29,Homo sapiens,TCF12,tf,RPMI-8402,T cell leukemia,Blood,1,TCF12
63362|C11orf30,9.643531480682871e-29,Homo sapiens,C11orf30,,K562,Erythroblast,Bone Marrow,1,C11orf30
63883|BCL3,9.681268314895983e-29,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
43045|BRD2,1.223502222277079e-28,Homo sapiens,BRD2,predicted chromatin regulator,MM1.S,B Lymphocyte,Blood,1,BRD2
392|NOTCH1,1.4981903438420014e-28,Homo sapiens,NOTCH1,both predicted transcription factor and chromatin regulator,CUTLL1,T Lymphocyte,Blood,1,NOTCH1
38658|SOX2,1.9667627113176436e-28,Homo sapiens,SOX2,tf,LoVo,None,Colon,1,SOX2
73701|KDM2B,2.3059734694393703e-28,Homo sapiens,KDM2B,cr,SEM,B Lymphocyte,None,1,KDM2B
46195|TAF7,2.8648007634318176e-28,Homo sapiens,TAF7,predicted transcription factor,H1,Embryonic Stem Cell,Embryo,1,TAF7
56044|GABPA,3.3057444094023317e-28,Homo sapiens,GABPA,tf,HepG2,Epithelium,Liver,1,GABPA
45791|TBP,5.417544303609376e-28,Homo sapiens,TBP,tf,HepG2,Epithelium,Liver,1,TBP
46208|SIN3A,8.050185205720795e-28,Homo sapiens,SIN3A,tf,HCT-116,None,Colon,1,SIN3A
51750|FOXP1,9.752153069293713e-28,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
42774|NFYC,1.1366875115539571e-27,Homo sapiens,NFYC,tf,LoVo,None,Colon,1,NFYC
38585|TAF3,1.3710019125653221e-27,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
