,0,TF
UP00404|ELF2,7.391900578114387e-38,ELF2
UP00413|Elf4,2.5590000853901627e-30,Elf4
UP00084|Gmeb1,1.7796588513584587e-27,Gmeb1
MS00022|Elf5,1.9876515100403343e-27,Elf5
MS00018|ETV4,1.101127212287102e-26,ETV4
UP00065|Zfp161,2.2180791917636615e-26,Zfp161
MC00457|ELF1,3.2377034602778273e-26,ELF1
MC00206|ELK1,8.602378357807416e-26,ELK1
MS00834|ELF4,3.8524805225151116e-25,ELF4
MC00182|E2F1,5.017164414662879e-25,E2F1
UP00418|Etv6,5.168784159502225e-25,Etv6
MS00019|ETV5,5.410500044031325e-25,ETV5
MC00509|NR2C2,6.692852501385705e-25,NR2C2
MS00183|GMEB2,8.000238176829743e-25,GMEB2
UP00003|E2F3,1.5155761901732103e-24,E2F3
MS00021|ETV6,2.1416365239963042e-24,ETV6
M00373|PAX4,2.4484376088044903e-24,PAX4
MS00851|ETS1,3.2868592751506402e-24,ETS1
MC00367|GABPA,3.31895601406417e-24,GABPA
UP00412|Etv5,5.068169400477201e-24,Etv5
MS00023|Elk3,6.947663778095593e-24,Elk3
MS00789|Egr3,7.524538843800354e-24,Egr3
M01002|DEAF1,8.930834470146703e-24,DEAF1
M00737|E2F1::TFDP2,1.2417351773940888e-23,E2F1::TFDP2
M00332|FOXN1,1.4657210069211725e-23,FOXN1
UP00085|Sfpi1,1.730263251746027e-23,Sfpi1
MC00158|E2f4,2.0801288029622528e-23,E2f4
MC00523|E2F4,2.6932198047460364e-23,E2F4
MS00846|ERF,3.118018978696012e-23,ERF
MS00079|HINFP1,3.425694171104412e-23,HINFP1
MS00567|EGR3,4.6009652836923654e-23,EGR3
MC00160|ETV3,4.7848749053010236e-23,ETV3
MS00678|EGR4,7.21303403554628e-23,EGR4
MS00838|ELF5,7.96747577327048e-23,ELF5
MC00427|ETV1,1.0421427784038283e-22,ETV1
MS00778|EHF,1.2889631869733732e-22,EHF
MC00257|Pax5,1.0404463123105323e-21,Pax5
M00695|TEAD2,1.1376293843761432e-21,TEAD2
UP00001|E2F2,1.5294093405238091e-21,E2F2
UP00038|Spdef,1.6984317379614894e-21,Spdef
MS00844|ELK3,3.1109370098781512e-21,ELK3
UP00093|Klf7,3.1542633974047226e-21,Klf7
MS00025|FEV,3.490685169791712e-21,FEV
MC00510|E2f3,4.116038873303457e-21,E2f3
MC00502|HMGN1,5.169805742853978e-21,HMGN1
M00717|PAX8,7.610820697631085e-21,PAX8
UP00423|Gm5454,1.224690217859392e-20,Gm5454
MS00534|CENPB,1.586783455255424e-20,CENPB
MC00337|Ikzf3,2.73697063585549e-20,Ikzf3
M00143|PAX5,2.888977108391525e-20,PAX5
M00736|E2F1::TFDP1,3.68286670118545e-20,E2F1::TFDP1
MC00129|Fli1,7.989623074568511e-20,Fli1
MC00299|BRCA1,8.347121264717131e-20,BRCA1
M00341|GABPB1,1.8242928958698082e-19,GABPB1
UP00081|Mybl1,2.4125022970186284e-19,Mybl1
MS00100|MYBL1,3.0656739091312194e-19,MYBL1
MC00518|Tfcp2,3.426325907914046e-19,Tfcp2
MC00386|BCL6,6.036556614496437e-19,BCL6
MA0131|HINFP,8.953039396916737e-19,HINFP
MC00418|ZBTB33,9.894502810703882e-19,ZBTB33
M00139|AHR,1.0685993270110177e-18,AHR
MC00254|E2F6,1.1629478245527901e-18,E2F6
MC00376|ZBTB7A,1.815403117432817e-18,ZBTB7A
MC00207|ELK4,2.7367567400387435e-18,ELK4
MS00812|ELF3,3.812810616017961e-18,ELF3
M01592|TFCP2L1,4.51727933691427e-18,TFCP2L1
MC00221|Tbx3,5.479983585881628e-18,Tbx3
MC00168|ERG,5.930633441576688e-18,ERG
M00327|PAX3,8.898345470008088e-18,PAX3
M01118|WT1,9.383348805308131e-18,WT1
MS00346|ZIC3,9.620628347076473e-18,ZIC3
UP00088|PLAGL1,9.870985204919381e-18,PLAGL1
MS00124|KLF13,1.7375670035744263e-17,KLF13
MS00027|FLI1,2.015171602878471e-17,FLI1
MS00212|SP1,2.668543856725912e-17,SP1
