,0,TF
M01714|KLF15,3.80371395440883e-09,KLF15
MC00332|PAX5,2.841219846394511e-08,PAX5
M01002|DEAF1,3.331016591464278e-08,DEAF1
MC00299|BRCA1,5.139822186711811e-08,BRCA1
M00449|ZIC2,7.638643530559635e-08,ZIC2
MC00182|E2F1,1.0529100722049604e-07,E2F1
MC00510|E2f3,1.455899117242832e-07,E2f3
MC00160|ETV3,1.7818935985489372e-07,ETV3
MS00346|ZIC3,2.3150989674802221e-07,ZIC3
MS00789|Egr3,2.336992570285665e-07,Egr3
MS00312|ZBTB7B,2.3482909991518435e-07,ZBTB7B
MC00418|ZBTB33,2.478216159407884e-07,ZBTB33
MS00090|HINFP1,2.710423701773155e-07,HINFP1
M00717|PAX8,2.7888800983787875e-07,PAX8
MS00124|KLF13,2.8263853126422876e-07,KLF13
UP00087|Tcfap2c,2.882815956534907e-07,Tcfap2c
MC00427|ETV1,2.9599543234853643e-07,ETV1
MS00239|Tcfap2a,3.4916222290745805e-07,Tcfap2a
M00448|ZIC1,5.590703671539149e-07,ZIC1
MS00228|TFAP2B,5.930821858044414e-07,TFAP2B
MC00391|ZNF143,6.070268522378814e-07,ZNF143
UP00010|Tcfap2b,6.451735375965738e-07,Tcfap2b
MC00158|E2f4,9.097285486532563e-07,E2f4
UP00330|XBP1,9.55352469707233e-07,XBP1
M00695|TEAD2,1.0015267905098086e-06,TEAD2
M00373|PAX4,1.0671962876093272e-06,PAX4
M00327|PAX3,1.197971136780357e-06,PAX3
M01109|ZNF589,1.5416773383224218e-06,ZNF589
MS00523|Zic3,1.5634099381859597e-06,Zic3
M00341|GABPB1,1.670742051803974e-06,GABPB1
MS00135|KLF14,1.7385989819639787e-06,KLF14
MC00374|TFAP2C,1.9050682308339147e-06,TFAP2C
M00085|ZBTB6,2.2052266441046197e-06,ZBTB6
MS00567|EGR3,2.205491874279658e-06,EGR3
UP00065|Zfp161,2.5303043193108813e-06,Zfp161
UP00001|E2F2,2.5441973131051973e-06,E2F2
M00737|E2F1::TFDP2,2.5916926437510427e-06,E2F1::TFDP2
UP00088|PLAGL1,2.9039921623354104e-06,PLAGL1
MS00678|EGR4,3.2447468849147963e-06,EGR4
M01742|Zscan10,3.3777951103311805e-06,Zscan10
MC00477|ZNF711,3.4177732959516474e-06,ZNF711
MC00207|ELK4,3.4403798621465347e-06,ELK4
MC00320|EGR1,3.6363805917702312e-06,EGR1
M01104|Ovol2,3.63700766522225e-06,Ovol2
MS00323|ZBTB7C,3.844053717075342e-06,ZBTB7C
MC00523|E2F4,3.959013972782753e-06,E2F4
M01122|ZNF219,4.502371698677511e-06,ZNF219
UP00028|Tcfap2e,4.687961578395579e-06,Tcfap2e
MS00173|RUNX2,4.689356654582995e-06,RUNX2
M00665|SP3,5.398303033222246e-06,SP3
MS00246|SP8,5.730071263984453e-06,SP8
MS00021|ETV6,5.92811032429451e-06,ETV6
M00491|PATZ1,6.171589562210325e-06,PATZ1
MA0163|PLAG1,6.231144670095229e-06,PLAG1
M01177|SREBF2,6.957091723078393e-06,SREBF2
UP00093|Klf7,8.392479839966757e-06,Klf7
M00736|E2F1::TFDP1,8.65003235555065e-06,E2F1::TFDP1
UP00418|Etv6,8.81664196800964e-06,Etv6
MS00227|TFAP2A,9.027030605166254e-06,TFAP2A
M00139|AHR,9.994561584928528e-06,AHR
M01783|SP2,1.0256748611603447e-05,SP2
MC00509|NR2C2,1.0901716692295201e-05,NR2C2
MC00144|Rfx1,1.1565775032548796e-05,Rfx1
MC00319|EGR2,1.1961885784017749e-05,EGR2
MC00376|ZBTB7A,1.2522069541316805e-05,ZBTB7A
M01118|WT1,1.2939334261603296e-05,WT1
MS00357|ZIC4,1.351179107301626e-05,ZIC4
MS00171|Rfx2,1.3725220634349073e-05,Rfx2
M01334|Nkx1-1,1.3945356799450302e-05,Nkx1-1
UP00003|E2F3,1.4024006669601049e-05,E2F3
MS00103|MYBL2,1.4091183728623421e-05,MYBL2
MA0073|RREB1,1.4093740311549787e-05,RREB1
MS00048|GCM1,1.4924254093509117e-05,GCM1
MC00457|ELF1,1.674664766683611e-05,ELF1
MC00252|Rara,1.8327855423209558e-05,Rara
MC00221|Tbx3,1.833293863526575e-05,Tbx3
UP00038|Spdef,1.879561637519156e-05,Spdef
MC00203|RFX3,2.0010347435201414e-05,RFX3
M00332|FOXN1,2.0359640261684995e-05,FOXN1
M01592|TFCP2L1,2.1488066653496204e-05,TFCP2L1
MS00157|Klf12,2.167973977804506e-05,Klf12
MC00518|Tfcp2,2.170841889362086e-05,Tfcp2
MS00019|ETV5,2.5226428788911792e-05,ETV5
MC00430|Egr2,2.773058519996111e-05,Egr2
MS00235|SP4,3.032678357130691e-05,SP4
MS00035|GLIS2,3.0698106975230476e-05,GLIS2
M00500|STAT6,3.8442753350268346e-05,STAT6
UP00052|Osr2,3.9998620183572675e-05,Osr2
UP00031|Zbtb3,4.137798513533255e-05,Zbtb3
MC00367|GABPA,4.17114103708833e-05,GABPA
MS00027|FLI1,4.337262652716111e-05,FLI1
MA0067|PAX2,4.678085758957654e-05,PAX2
MS00111|NFKB2,4.744742407980304e-05,NFKB2
MC00254|E2F6,4.846822835746807e-05,E2F6
MS00834|ELF4,5.157594992665781e-05,ELF4
