,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
51750|FOXP1,0.000000000000000000000000000000000000000000000000000000000089347802019915729227193996035558190767532996499568828137920139494094049959672621818451984907497412427803064651218000783791848447172414595399084762542069995741933305499110636948591225503772473119153311,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
49977|BRD4,0.00000000000000000000000000000000000000000000000000000000047093766749390938267548405600114928619843087171587762614274957416403395419918687760685883692659927686395050055417191612415663471493228143432674304020964274661597168388429394392199890783370798990322221,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
55465|NELFA,0.000000000000000000000000000000000000000000000000000000045720054476144295219019920078862976949061345976921726116582877009414934680195531466756905517821897553403205222187133178280194643676747971930094635010008659776852027625064137167564056049957709555798295,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
46077|TAF1,0.0000000000000000000000000000000000000000000000000000045056011956660556841165136754960061162480201675677365716604918837485733090552599783946511339774871525909070291322716155580389036387827682886023604724610826122961231499567880967685810589359383458803583,Homo sapiens,TAF1,tf,A549,Epithelium,Lung,1,TAF1
45752|E2F4,0.000000000000000000000000000000000000000000000000000082495034750938908075996094432069144064940903968617110188657999444087890451597708458835396273750761289920268297981206983772545518591432168730772839223794296779564113914043799718701920864897585325911116,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1,E2F4
74347|NEUROD1,0.00000000000000000000000000000000000000000000000000045963214010067750735261026950502422859966894958695920494171995713737836059611809905902769103853559156956273897385810553304820891062274594897807993295498885967694070414752761830355471189477544963556105,Homo sapiens,NEUROD1,tf,D-341,None,None,1,NEUROD1
56961|GTF2B,0.0000000000000000000000000000000000000000000000000041031678891548734394865937778898242878855680596597865627244337494367861995491237846736545547736108478376822335164011178859232047078795607558012885712312349942452547343021703079337520486187272992530451,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
69456|TP53,0.000000000000000000000000000000000000000000000000015981951630435524187901503672071309249307940354407132379047291438381901101400568176626094913892423903153098334784844629852194609127215267238924315205192012528214160113312023941158495435517790270336879,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
55666|PAF1,0.000000000000000000000000000000000000000000000000025895969402327452923463461510752938080463504036183642221662150957333289480171144923295622488631520646407097587262395655242528003720296640998550997787867612992888926822912141750128182036430534772144302,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
69872|AFF4,0.000000000000000000000000000000000000000000000000058502017937913106185086012815286284656687815603316962803703642074512148142116347259296113855354025946698288578704443765590637531401241242538015574617474677153951593271709615476613442727953336557655133,Homo sapiens,AFF4,tf,None,Th1,None,1,AFF4
71936|MYC,0.00000000000000000000000000000000000000000000000033661103976163874590381644539642155497596647398536372589264434617877701841683425261731003748426480115865307040516227392188457803203850937406526274103053504700624092269693691566965573991408284157788863,Homo sapiens,MYC,tf,U2OS,None,Bone,1,MYC
53346|CDK9,0.00000000000000000000000000000000000000000000000036593747912031049112773612551342406012700696025796329129586730662099986602197120976541731356579629634415911770093769519903283814090289619401988010158792486384467172143900634817796137839910800101230578,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
41481|E2F1,0.00000000000000000000000000000000000000000000000037539113787828969506285230356183792731854577296881237191038490252212068003088888892476991346045929267596156966013233269460582630774880743249865462404031231121287056798322941750176086915599119602884967,Homo sapiens,E2F1,tf,OCI-Ly1,B cell lymphoma,Bone Marrow,1,E2F1
37623|MYH11,0.000000000000000000000000000000000000000000000024624718385914296600808360908369693347664215710978651177824184202725272574510954711557829492613377116495748663430707892994987229976500427430235335707717813401095223084544568054551314351361869489483309,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
75942|KDM1A,0.000000000000000000000000000000000000000000000030249096058514596733674708362304441236393904617014739281849805170431571333279379408472574310269967222779724214051229026126369575544720597390612475694523106907002350318005905766350392550147271802411238,Homo sapiens,KDM1A,cr,PC-3M-luc,None,Prostate,1,KDM1A
2684|PHF8,0.000000000000000000000000000000000000000000000052395548010582734227566187656188583961058403924432146180872466607094186904663855740492287307771389234181788614211326411631403885367994207685962687576803676785302233237845913019454733604660282976985927,Homo sapiens,PHF8,cr,SH-SY5Y,None,Bone Marrow,1,PHF8
72356|TAL1,0.00000000000000000000000000000000000000000000008353591272963743247434242646814013465663790178519180167297573573397548520502816033183470167289659564179573193048691742463319569187814836585788901203947395852609421041440482809109188261923382150558791,Homo sapiens,TAL1,tf,Kasumi-1,Acute myeloid leukemia,None,1,TAL1
