,0,TF
MA0131|HINFP,7.83645549276471e-42,HINFP
UP00001|E2F2,1.1464517088742708e-39,E2F2
UP00003|E2F3,5.799834355034165e-38,E2F3
M00736|E2F1::TFDP1,4.833318865313816e-37,E2F1::TFDP1
MS00173|RUNX2,6.820202945244162e-36,RUNX2
MS00815|E2F1,1.4211605631930591e-35,E2F1
MS00678|EGR4,4.0699324101236636e-35,EGR4
MS00183|GMEB2,5.2876090544641e-35,GMEB2
UP00330|XBP1,9.760127099819406e-35,XBP1
MS00789|Egr3,2.7490875702030167e-34,Egr3
UP00418|Etv6,2.9529902729716204e-34,Etv6
MC00207|ELK4,3.063491057726164e-34,ELK4
UP00084|Gmeb1,1.1488567515525494e-33,Gmeb1
MC00299|BRCA1,1.4188428966577194e-33,BRCA1
MS00534|CENPB,3.275631127279634e-33,CENPB
MS00247|BHLHB2,1.0668565068491281e-32,BHLHB2
MS00100|MYBL1,1.2418344959980758e-32,MYBL1
M01742|Zscan10,1.4979462096851662e-32,Zscan10
M00373|PAX4,1.621668646399353e-32,PAX4
MC00523|E2F4,2.169298611236456e-32,E2F4
UP00065|Zfp161,2.177806931499811e-32,Zfp161
M00737|E2F1::TFDP2,3.688933413879734e-32,E2F1::TFDP2
MC00158|E2f4,3.771299540909301e-32,E2f4
MS00258|HEY1,4.096910138967283e-32,HEY1
MC00510|E2f3,4.7233676463825633e-32,E2f3
MS00260|HEY2,5.215891981734778e-32,HEY2
MS00567|EGR3,1.1215515541422226e-31,EGR3
M01009|HES1,1.5933422457665776e-31,HES1
MC00461|Max,1.8319370287253362e-31,Max
MC00367|GABPA,2.4043406528885423e-31,GABPA
MC00221|Tbx3,2.774775280880092e-31,Tbx3
MS00248|BHLHB3,3.9405773977443914e-31,BHLHB3
MC00502|HMGN1,4.1440417032035296e-31,HMGN1
MS00079|HINFP1,5.0325887485658265e-31,HINFP1
M01002|DEAF1,7.010539641813387e-31,DEAF1
UP00088|PLAGL1,7.253128559004344e-31,PLAGL1
MC00332|PAX5,7.443739137682146e-31,PAX5
MS00268|YY2,1.134858790037021e-30,YY2
MC00509|NR2C2,1.4647728254901698e-30,NR2C2
UP00094|Zfp128,1.6639086425689033e-30,Zfp128
M00139|AHR,2.5524778886488233e-30,AHR
UP00423|Gm5454,3.3570391694616964e-30,Gm5454
M01714|KLF15,4.6754624415789625e-30,KLF15
M00327|PAX3,5.172399255184374e-30,PAX3
MC00427|ETV1,5.713920439973893e-30,ETV1
M00647|NR1H3,6.327479016611555e-30,NR1H3
MS00252|Bhlhb2,8.197709348244403e-30,Bhlhb2
MC00160|ETV3,1.0081710303592416e-29,ETV3
MC00394|MYC,1.5059695174996422e-29,MYC
MC00418|ZBTB33,1.5678916485532515e-29,ZBTB33
MS00035|GLIS2,2.1459031306986522e-29,GLIS2
UP00092|MYB,2.537752635465279e-29,MYB
MS00267|MNT,3.4311095811630206e-29,MNT
M00695|TEAD2,4.2022086282411446e-29,TEAD2
MC00254|E2F6,5.104468427695258e-29,E2F6
UP00412|Etv5,5.268402991142439e-29,Etv5
M01243|MTF1,7.274228989953447e-29,MTF1
UP00081|Mybl1,8.482684559255975e-29,Mybl1
MC00124|MAX,8.783366262857365e-29,MAX
MS00019|ETV5,1.1354742158086614e-28,ETV5
MC00333|ESR2,1.1982687080219137e-28,ESR2
M00332|FOXN1,1.2504236085436772e-28,FOXN1
MC00430|Egr2,1.3991378216242019e-28,Egr2
MC00473|ATF3,2.2045661016693334e-28,ATF3
MS00843|GLI2,3.38533383108862e-28,GLI2
M00514|ATF4,5.6332913790791e-28,ATF4
MS00301|ZBTB7A,5.67376286760496e-28,ZBTB7A
MS00346|ZIC3,1.134538587297013e-27,ZIC3
MC00257|Pax5,1.166164688820731e-27,Pax5
MC00457|ELF1,1.3600743690530852e-27,ELF1
M01744|ZFP42,1.5235743736570084e-27,ZFP42
MC00113|SP1,2.59230193284786e-27,SP1
UP00040|Irf5,4.465227308269505e-27,Irf5
MS00018|ETV4,5.2418936554755566e-27,ETV4
MC00319|EGR2,6.284838598572959e-27,EGR2
MS00235|SP4,6.500611149704559e-27,SP4
MC00206|ELK1,6.583389431649732e-27,ELK1
MC00532|Mycn,6.8309908872979e-27,Mycn
M00341|GABPB1,9.60613195277133e-27,GABPB1
MS00323|ZBTB7C,1.0218521640761528e-26,ZBTB7C
MC00373|Mxi1,3.75013089854271e-26,Mxi1
MS00050|GCM2,3.8269654639032654e-26,GCM2
MS00239|Tcfap2a,8.316254935262704e-26,Tcfap2a
MS00357|ZIC4,9.623802454626559e-26,ZIC4
MS00288|TFE3,1.1704813917649653e-25,TFE3
MS00025|FEV,1.7101964177175654e-25,FEV
UP00404|ELF2,1.7271237833182272e-25,ELF2
MS00135|KLF14,1.8120607590407364e-25,KLF14
MS00027|FLI1,2.2427308560486635e-25,FLI1
MC00407|Myc,2.6411385183412457e-25,Myc
MC00328|Zfx,3.3108584227578034e-25,Zfx
MC00252|Rara,3.392055980296677e-25,Rara
MC00168|ERG,3.983584970027745e-25,ERG
M01118|WT1,4.287607828348031e-25,WT1
MS00021|ETV6,4.737445230133692e-25,ETV6
MC00262|ARNT,5.750265876475108e-25,ARNT
MC00342|YY1,7.666234231983672e-25,YY1
MS00255|HES5,8.527621353951539e-25,HES5
M00717|PAX8,8.711142903762523e-25,PAX8
MC00320|EGR1,9.329151250078503e-25,EGR1
MC00391|ZNF143,1.026759711499984e-24,ZNF143
MS00334|ZIC1,1.0829948487674465e-24,ZIC1
MC00278|ETS1,1.498492092667973e-24,ETS1
MC00174|REST,1.9991963888201895e-24,REST
MS00256|HES7,2.3823321764879543e-24,HES7
MS00533|LBX2,3.75951065672131e-24,LBX2
MS00523|Zic3,4.358156882061441e-24,Zic3
MC00183|Snai1,4.653679823058999e-24,Snai1
MS00102|MYBL2,4.660365014120997e-24,MYBL2
UP00028|Tcfap2e,4.922751423184023e-24,Tcfap2e
MC00477|ZNF711,6.5125409683979555e-24,ZNF711
MA0067|PAX2,6.89248347546124e-24,PAX2
M00961|VDR,7.459266885088598e-24,VDR
MS00067|IRF5,7.790711893385803e-24,IRF5
UP00057|ZIC2,8.602067571377815e-24,ZIC2
M00733|SMAD4,9.847539056915726e-24,SMAD4
MC00144|Rfx1,1.2950830735772204e-23,Rfx1
UP00093|Klf7,1.3327456930870965e-23,Klf7
M00792|SMAD1,1.3682243790741144e-23,SMAD1
MS00157|Klf12,2.094746309279908e-23,Klf12
UP00086|IRF3,3.602136684970591e-23,IRF3
MS00229|TFAP2B,4.200697692958922e-23,TFAP2B
MS00023|Elk3,8.152916762014022e-23,Elk3
UP00087|Tcfap2c,8.775370340893317e-23,Tcfap2c
MC00203|RFX3,9.691772588317676e-23,RFX3
MC00191|Nfya,1.4719039880204655e-22,Nfya
MS00290|ZBED1,2.171159447405939e-22,ZBED1
UP00031|Zbtb3,2.250286720521238e-22,Zbtb3
MC00364|NFYA,2.308411420039471e-22,NFYA
MS00727|ZBTB49,2.6469370184849785e-22,ZBTB49
M01592|TFCP2L1,3.4410859234751876e-22,TFCP2L1
MC00362|Arntl,4.341574262526077e-22,Arntl
MC00187|Ctcf,4.41586185427362e-22,Ctcf
MS00844|ELK3,4.522630838708888e-22,ELK3
M01177|SREBF2,4.593535131842873e-22,SREBF2
MS00024|GLIS1,5.630668867956908e-22,GLIS1
MC00518|Tfcp2,8.525115420947611e-22,Tfcp2
MS00124|KLF13,9.287486202746794e-22,KLF13
MS00423|ZNF524,1.839617457848426e-21,ZNF524
MC00386|BCL6,2.045631533950419e-21,BCL6
MS00211|TBX2,2.05453927712367e-21,TBX2
MS00227|TFAP2A,2.433542488664907e-21,TFAP2A
M00518|PPARG::RXRA,2.6170948881688872e-21,PPARG::RXRA
MS00188|MGA,2.805138059099493e-21,MGA
UP00413|Elf4,3.418427250451397e-21,Elf4
UP00010|Tcfap2b,3.533648821164014e-21,Tcfap2b
UP00038|Spdef,3.7044149668622424e-21,Spdef
MC00128|CTCF,4.7590376954931925e-21,CTCF
M01783|SP2,8.716179452959703e-21,SP2
UP00011|IRF6,9.616763838048141e-21,IRF6
UP00000|SMAD3,1.361327045946772e-20,SMAD3
M00665|SP3,1.413620703962539e-20,SP3
MS00808|TFEC,1.5499864630765958e-20,TFEC
MC00372|Yy1,1.578226567384876e-20,Yy1
MS00022|Elf5,2.599643094121334e-20,Elf5
M01109|ZNF589,2.7361338094795004e-20,ZNF589
M00456|BPTF,2.881224551320801e-20,BPTF
MS00331|MAFK,3.08174648646557e-20,MAFK
MC00316|HIF1A,4.6230842659681586e-20,HIF1A
MS00016|ETV2,8.156763331202493e-20,ETV2
MC00142|PPARG,1.2586012001131536e-19,PPARG
MC00439|TP63,1.2844142599987019e-19,TP63
MS00312|ZBTB7B,2.232383547911648e-19,ZBTB7B
MS00308|CREB3,2.4944535022546143e-19,CREB3
M01122|ZNF219,2.6523989655147773e-19,ZNF219
UP00066|HNF4A,4.964495357779549e-19,HNF4A
M00085|ZBTB6,7.019308497491175e-19,ZBTB6
MA0145|Tcfcp2l1,7.608430033326714e-19,Tcfcp2l1
M01248|NR0B1,7.73836037029512e-19,NR0B1
M01105|ZNF350,7.813481179050492e-19,ZNF350
M01104|Ovol2,8.370946747428868e-19,Ovol2
MC00224|EPAS1,2.1601896613240577e-18,EPAS1
MC00140|Stat3,2.5631791765188952e-18,Stat3
MS00335|Mafb,2.806035655062295e-18,Mafb
M00115|CNTN2::CREB1,3.4570513684539755e-18,CNTN2::CREB1
MC00109|Klf4,3.745645828381154e-18,Klf4
UP00024|Glis2,3.8042321606507606e-18,Glis2
M00179|ATF2,3.854736815521425e-18,ATF2
MS00304|CREB3L1,4.216376982389127e-18,CREB3L1
MS00311|Creb3l2,4.276507911234058e-18,Creb3l2
MS00251|BHLHE41,4.813379229891796e-18,BHLHE41
MS00246|SP8,6.829838363368136e-18,SP8
MS00285|TCF4,7.459722426518588e-18,TCF4
UP00056|RFX4,8.533372591471094e-18,RFX4
MS00146|KLF16,8.59625077476444e-18,KLF16
UP00027|Osr1,9.222996811945166e-18,Osr1
MC00335|ESR1,2.275803103327404e-17,ESR1
MS00117|PAX1,2.3604653758049772e-17,PAX1
M01207|ETS2,2.878665710843553e-17,ETS2
MS00289|TFEB,3.6604851078269536e-17,TFEB
MS00270|Mlx,3.8034270925409055e-17,Mlx
UP00052|Osr2,5.6022968157425e-17,Osr2
MC00377|Trp53,6.821380469439607e-17,Trp53
MA0163|PLAG1,7.129994856904666e-17,PLAG1
UP00021|Zfp281,7.652407711363377e-17,Zfp281
MS00128|PAX9,1.0043995939713902e-16,PAX9
UP00035|HIC1,1.0885017034156192e-16,HIC1
MS00046|GLIS3,1.4559929872006447e-16,GLIS3
MC00248|USF1,2.317927909010679e-16,USF1
MS00047|GCM1,2.71936842744205e-16,GCM1
UP00018|Irf4,3.020212558893128e-16,Irf4
M00222|TCF3,3.2766890550199924e-16,TCF3
MC00475|Nfic,4.253348034662752e-16,Nfic
M01241|GTF2IRD1,4.696896588330391e-16,GTF2IRD1
