,0,TF
MC00158|E2f4,2.4520146841829582e-27,E2f4
M00327|PAX3,2.566286768871658e-27,PAX3
MC00182|E2F1,6.193595867373582e-27,E2F1
UP00001|E2F2,2.3567354325981383e-26,E2F2
M00736|E2F1::TFDP1,4.4647460303491073e-26,E2F1::TFDP1
MC00221|Tbx3,6.042599547263896e-26,Tbx3
MC00523|E2F4,1.5640458923144272e-25,E2F4
MC00532|Mycn,3.9581858717748873e-25,Mycn
M00737|E2F1::TFDP2,1.2918511961781269e-24,E2F1::TFDP2
UP00003|E2F3,1.5018754880507861e-24,E2F3
M00373|PAX4,1.928864358968325e-24,PAX4
MS00235|SP4,3.404335018556807e-24,SP4
MC00427|ETV1,3.742230119798595e-24,ETV1
UP00065|Zfp161,3.899922231906217e-24,Zfp161
MS00678|EGR4,4.45648982216675e-24,EGR4
MC00299|BRCA1,6.2573544898437584e-24,BRCA1
MC00373|Mxi1,1.131892889537713e-23,Mxi1
UP00088|PLAGL1,2.0458632555221238e-23,PLAGL1
MC00394|MYC,5.292682746223915e-23,MYC
MC00376|ZBTB7A,5.317811109858004e-23,ZBTB7A
M00332|FOXN1,7.688597079552865e-23,FOXN1
UP00084|Gmeb1,1.497717800073353e-22,Gmeb1
MC00319|EGR2,2.0250742056430967e-22,EGR2
UP00330|XBP1,2.5934457616520484e-22,XBP1
MS00567|EGR3,3.6507086817638226e-22,EGR3
MS00240|Tcfap2a,9.131661922662155e-22,Tcfap2a
MC00510|E2f3,1.2336968034793132e-21,E2f3
M00695|TEAD2,2.2131136287762025e-21,TEAD2
MC00418|ZBTB33,2.487698045248055e-21,ZBTB33
M01002|DEAF1,2.737414948993994e-21,DEAF1
M01742|Zscan10,3.396304209083802e-21,Zscan10
MS00227|TFAP2A,3.912930539906488e-21,TFAP2A
M01177|SREBF2,4.1549847974111465e-21,SREBF2
MS00346|ZIC3,7.641927739386283e-21,ZIC3
MS00789|Egr3,8.145379550910974e-21,Egr3
MC00254|E2F6,2.176915452344421e-20,E2F6
MC00187|Ctcf,2.6166220042997035e-20,Ctcf
MC00332|PAX5,2.7461541059650054e-20,PAX5
MS00090|HINFP1,3.1137048181345236e-20,HINFP1
M01118|WT1,3.189048735399933e-20,WT1
M01009|HES1,3.778728435484482e-20,HES1
MC00316|HIF1A,5.430491460134824e-20,HIF1A
UP00412|Etv5,5.734530969065239e-20,Etv5
MS00258|HEY1,7.228644063274037e-20,HEY1
UP00057|ZIC2,9.85887603748284e-20,ZIC2
MS00118|PAX2,1.1709146737206765e-19,PAX2
M00792|SMAD1,1.3722487578148143e-19,SMAD1
MS00288|TFE3,2.1439212660128947e-19,TFE3
M00139|AHR,2.3213316435291574e-19,AHR
MC00333|ESR2,2.546851703310416e-19,ESR2
MC00430|Egr2,2.6019471398032958e-19,Egr2
MC00128|CTCF,3.740074122964564e-19,CTCF
MC00412|VDR,4.168556847706961e-19,VDR
MC00207|ELK4,4.343748947071428e-19,ELK4
MC00144|Rfx1,5.353799194312626e-19,Rfx1
MC00320|EGR1,7.244988010161847e-19,EGR1
MC00124|MAX,8.098363997416921e-19,MAX
MC00461|Max,1.0151229317844737e-18,Max
MS00135|KLF14,1.050753150868063e-18,KLF14
MC00257|Pax5,1.1335020995841719e-18,Pax5
UP00006|Zic3,2.0977824747919064e-18,Zic3
MC00509|NR2C2,2.1950905632141245e-18,NR2C2
MC00362|Arntl,2.7980486616920134e-18,Arntl
M01744|ZFP42,3.484439235997854e-18,ZFP42
MS00230|TFAP2B,5.046715590936121e-18,TFAP2B
MC00328|Zfx,5.17371076619702e-18,Zfx
MC00407|Myc,7.00090247425027e-18,Myc
MC00367|GABPA,1.048495269661415e-17,GABPA
MS00035|GLIS2,1.2011556361201118e-17,GLIS2
MS00267|MNT,1.2144710841617987e-17,MNT
MS00173|RUNX2,1.6116766067281033e-17,RUNX2
M00514|ATF4,1.6504704433860342e-17,ATF4
M00717|PAX8,1.6725368581375344e-17,PAX8
UP00102|ZIC1,1.9373640921333398e-17,ZIC1
M01783|SP2,2.052122259547114e-17,SP2
MS00848|ERG,2.216283814826522e-17,ERG
MS00357|ZIC4,2.3378759938302284e-17,ZIC4
MS00311|Creb3l2,2.8836885288848364e-17,Creb3l2
MC00206|ELK1,3.2944422961512414e-17,ELK1
MS00260|HEY2,4.658127806758039e-17,HEY2
M00341|GABPB1,4.83009615999715e-17,GABPB1
MS00323|ZBTB7C,5.061259686816992e-17,ZBTB7C
UP00024|Glis2,7.682288736790414e-17,Glis2
MC00477|ZNF711,8.497761948044021e-17,ZNF711
UP00087|Tcfap2c,9.002336810345772e-17,Tcfap2c
M00179|ATF2,9.755771683467992e-17,ATF2
M01104|Ovol2,9.88604723412594e-17,Ovol2
UP00010|Tcfap2b,1.3956532294988486e-16,Tcfap2b
MC00262|ARNT,1.791968985619028e-16,ARNT
UP00404|ELF2,2.009127092370826e-16,ELF2
MS00046|GLIS3,2.807690549215377e-16,GLIS3
UP00028|Tcfap2e,2.918502223039048e-16,Tcfap2e
M01122|ZNF219,3.0412565149589427e-16,ZNF219
MS00247|BHLHB2,3.7750064891624376e-16,BHLHB2
UP00423|Gm5454,4.2236760836018323e-16,Gm5454
MC00391|ZNF143,4.2994049692431135e-16,ZNF143
MS00248|BHLHB3,4.7769709261311465e-16,BHLHB3
MS00312|ZBTB7B,6.260909677156799e-16,ZBTB7B
MC00160|ETV3,8.220263890907054e-16,ETV3
M00072|TFCP2,1.290041707144e-15,TFCP2
MS00128|PAX9,1.4710797990833666e-15,PAX9
UP00094|Zfp128,1.5068292808398862e-15,Zfp128
MC00342|YY1,1.7624192749223081e-15,YY1
MC00473|ATF3,1.9761566723819974e-15,ATF3
MA0131|HINFP,2.2848784999501196e-15,HINFP
MS00335|Mafb,3.5238293884341277e-15,Mafb
M00491|PATZ1,4.512149582931459e-15,PATZ1
MS00843|GLI2,5.0294013203497705e-15,GLI2
MS00027|FLI1,5.7586115318035416e-15,FLI1
MS00183|GMEB2,8.210377075531646e-15,GMEB2
MC00191|Nfya,9.586638642335185e-15,Nfya
M00468|KLF12,1.3427899059763778e-14,KLF12
M01248|NR0B1,1.5280479786360946e-14,NR0B1
MC00518|Tfcp2,1.631247203790256e-14,Tfcp2
M01714|KLF15,2.234221330395264e-14,KLF15
MS00207|TBX21,2.558413394246159e-14,TBX21
MS00246|SP8,2.679202603100084e-14,SP8
MS00268|YY2,3.794826720810779e-14,YY2
M01243|MTF1,4.516982133353704e-14,MTF1
MC00224|EPAS1,4.812947187252432e-14,EPAS1
MS00024|GLIS1,6.137679414193594e-14,GLIS1
MS00727|ZBTB49,9.460749878286822e-14,ZBTB49
MS00844|ELK3,9.695900280533936e-14,ELK3
