,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
34565|SPI1,2.511198377217221e-09,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,None,0,SPI1
52090|TP53,1.4305953487561453e-08,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
49977|BRD4,1.2315163268257406e-06,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
2121|RUNX1,1.324751974750309e-06,Homo sapiens,RUNX1,tf,K562,Erythroblast,Bone Marrow,1,RUNX1
76495|BRPF3,1.5577687286008998e-06,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1,BRPF3
37623|MYH11,2.170836199277414e-06,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
55730|GATA1,3.696440796686783e-06,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1,GATA1
52681|FOXA2,5.838510634875162e-06,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1,FOXA2
8770|CHD1,6.977022193336342e-06,Homo sapiens,CHD1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,CHD1
57092|HEXIM1,1.1331388008722054e-05,Homo sapiens,HEXIM1,other,HCT-116,None,Colon,1,HEXIM1
8482|KAT7,1.7056955480015035e-05,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1,KAT7
73714|AFF1,2.24113952442945e-05,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
47329|FOXA1,2.6872381323496372e-05,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
70812|SP1,2.7136036604950383e-05,Homo sapiens,SP1,predicted chromatin regulator,HCT-116,Colon cancer cell,Colon,1,SP1
68977|PR,3.4916455909622435e-05,Homo sapiens,PR,predicted transcription factor,T47D,None,Breast,1,PR
53301|FLI1,4.0902364661691776e-05,Homo sapiens,FLI1,tf,TSU-1621-MT,None,None,1,FLI1
56256|AR,4.414216120437839e-05,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1,AR
70093|TET2,4.606957627609089e-05,Homo sapiens,TET2,cr,293T,None,None,1,TET2
8818|PHF8,4.876333239690095e-05,Homo sapiens,PHF8,cr,H1,Embryonic Stem Cell,Embryo,1,PHF8
73716|KMT2A,4.945964159478165e-05,Homo sapiens,KMT2A,not sure,SEM,B Lymphocyte,None,1,KMT2A
48755|CBX8,5.3586056348329247e-05,Homo sapiens,CBX8,cr,PC-3,Epithelium,Prostate,1,CBX8
73699|MED1,5.968785351874991e-05,Homo sapiens,MED1,predicted transcription factor,SEM,B Lymphocyte,None,1,MED1
42637|CREBBP,6.024832148523991e-05,Homo sapiens,CREBBP,cr,HEK293,Epithelium,Embryonic Kidney,1,CREBBP
8800|SAP30,6.58259765687324e-05,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
1741|FOS,6.674993785567191e-05,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1,FOS
43684|KDM4C,6.706063083298767e-05,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
41574|BRD1,7.459400326883225e-05,Homo sapiens,BRD1,cr,RKO,Epithelium,Colon,1,BRD1
67748|GATA2,7.811192746769848e-05,Homo sapiens,GATA2,tf,LNCaP,Epithelium,Prostate,1,GATA2
55895|T,7.883399767347616e-05,Homo sapiens,T,tf,None,Fibroblast,None,1,T
70806|MYC,8.29189801336725e-05,Homo sapiens,MYC,tf,HCT-116,Colon cancer cell,Colon,0,MYC
48638|SPIB,8.680464928607917e-05,Homo sapiens,SPIB,tf,OCI-Ly3,B Lymphocyte,Bone Marrow,1,SPIB
72856|TRAF7,8.760205725071909e-05,Homo sapiens,TRAF7,other,None,None,meningioma,1,TRAF7
534|ETV1,0.00010042102140009436,Homo sapiens,ETV1,tf,GIST48,Mesenchymal Stem Cell,Stomach,1,ETV1
77300|TRIM25,0.00010042102140009436,Homo sapiens,TRIM25,,BT-549,None,Breast,1,TRIM25
37604|CBFB,0.00011866002993541896,Homo sapiens,CBFB,predicted transcription factor,ME-1,Leukemia Cell,None,1,CBFB
73183|GRHL2,0.00011919364737127456,Homo sapiens,GRHL2,tf,MCF-7,asynchonous cells,Breast,1,GRHL2
68051|NFKB1,0.00013997335825593124,Homo sapiens,NFKB1,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB1
8820|RBBP5,0.00014122196001671092,Homo sapiens,RBBP5,cr,H1,Embryonic Stem Cell,Embryo,1,RBBP5
75282|ZBTB48,0.00014122196001671092,Homo sapiens,ZBTB48,,HeLa,None,None,1,ZBTB48
64866|ZFX,0.00014122196001671092,Homo sapiens,ZFX,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZFX
57093|CDK9,0.00014375053493413578,Homo sapiens,CDK9,tf,HCT-116,None,Colon,1,CDK9
48994|AFF4,0.00014632147762933618,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
57091|LARP7,0.00015293851441952307,Homo sapiens,LARP7,predicted transcription factor,HCT-116,None,Colon,1,LARP7
74838|JMJD6,0.00015293851441952307,Homo sapiens,JMJD6,cr,None,3565 cells,None,1,JMJD6
46140|TCF7L1,0.0001707273473496846,Homo sapiens,TCF7L1,tf,GM12878,B Lymphocyte,Blood,1,TCF7L1
46052|NR3C1,0.00019378200132522572,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,0,NR3C1
57090|TRIM28,0.000201508595142731,Homo sapiens,TRIM28,cr,HCT-116,None,Colon,1,TRIM28
9508|TFAP2C,0.0002404895766211296,Homo sapiens,TFAP2C,predicted transcription factor,BT-474,Epithelium,Mammary Gland,1,TFAP2C
37936|ETS1,0.00025101030358970917,Homo sapiens,ETS1,tf,None,Endothelial Cell,Umbilical Vein,1,ETS1
73701|KDM2B,0.00025862844427368046,Homo sapiens,KDM2B,cr,SEM,B Lymphocyte,None,1,KDM2B
67518|GATA3,0.00025862844427368046,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1,GATA3
49861|ELF1,0.00026873997969316117,Homo sapiens,ELF1,tf,SK-N-MC,None,Brain,1,ELF1
76859|IRAK1,0.00027335119796501154,Homo sapiens,IRAK1,other,HEK293,Epithelium,Embryonic Kidney,1,IRAK1
