,coefficients,cell_line,cell_type,tissue
40697,1.2708474165968895,WI-38,Fibroblast,Embryonic Lung
40858,-1.2570103597413285,,Fibroblast,Foreskin
49078,1.1434412117486148,,Monocyte,Blood
63925,0.44621237746379877,A549,Epithelium,
50400,0.41780043055859944,hMADS-3,Adipocyte,Adipose
64337,0.18572091636859323,K562,Erythroblast,
44948,-0.1527222809932875,,Embryonic Fibroblast,Heart
63927,0.10805285361869063,A549,Epithelium,
49066,-0.06249652119480932,,Macrophage,Blood
63413,-0.0018627483711573093,,Dendritic Cell,
