,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
34565|SPI1,1.704521783407444e-09,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,None,0
69456|TP53,3.446705807321316e-08,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
46272|SPI1,1.4629811956350578e-07,Homo sapiens,SPI1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1
2121|RUNX1,2.0900712992808217e-07,Homo sapiens,RUNX1,tf,K562,Erythroblast,Bone Marrow,1
68823|SPI1,2.3144260251937178e-07,Homo sapiens,SPI1,predicted transcription factor,K562,Leukemia Cell,None,1
34929|SPI1,2.4424309183651e-07,Homo sapiens,SPI1,predicted transcription factor,None,Monocyte,None,1
52090|TP53,3.268318204969307e-07,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
55739|SPI1,1.0050471597862462e-06,Homo sapiens,SPI1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1
50367|SPI1,1.3099796719546212e-06,Homo sapiens,SPI1,predicted transcription factor,None,Monocyte,None,1
5884|SPI1,1.523436832411744e-06,Homo sapiens,SPI1,predicted transcription factor,THP-1,Monocyte,Blood,1
55738|SPI1,3.3733581715074877e-06,Homo sapiens,SPI1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1
49977|BRD4,3.3915903019175405e-06,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1
47328|FOXA1,4.983232841489187e-06,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1
55730|GATA1,6.691488214867338e-06,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1
55895|T,9.71830171787724e-06,Homo sapiens,T,tf,None,Fibroblast,None,1
49861|ELF1,1.2545041799545261e-05,Homo sapiens,ELF1,tf,SK-N-MC,None,Brain,1
47329|FOXA1,1.2737425142508214e-05,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1
47327|FOXA1,1.2998304868350518e-05,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1
44433|TAL1,1.3672918751174883e-05,Homo sapiens,TAL1,tf,None,None,Cord blood,1
67764|SPI1,1.7401237753148977e-05,Homo sapiens,SPI1,predicted transcription factor,None,Hematopoietic stem and progenitor cell,Bone Marrow,1
67928|SPI1,1.884549260773085e-05,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,Blood,1
52681|FOXA2,2.101805376988023e-05,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1
68051|NFKB1,2.1332103233428887e-05,Homo sapiens,NFKB1,tf,L1236,Hodgkin Lymphoma Cell,None,1
46259|SPI1,2.3542343831088254e-05,Homo sapiens,SPI1,predicted transcription factor,HL-60,Promyeloblast,Blood,1
69457|TP53,2.365836817979665e-05,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
