,coefficients,cell_line,cell_type,tissue
64548,0.8511255113652914,,,gastrocnemius medialis
61978,0.7523695834534584,IMR90,Fibroblast,Lung
64549,-0.5361078100680534,,,gastrocnemius medialis
61908,-0.3869241253693124,,patient derived xenograft cells,
62060,0.25493002823446054,LHCN-M2,Myoblast,Skeletal Muscle
34566,0.20430172460296647,,Macrophage,
49884,0.13392261299811622,A673,,
64922,0.05415154011703279,,,gastrocnemius medialis
38233,0.015666750764746096,,Mesenchymal Stem Cell,Bone Marrow
61907,-0.009468504743124061,,,
