,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
69456|TP53,1.1155187884526185e-11,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
41377|PR,1.5095590888414279e-09,Homo sapiens,PR,predicted transcription factor,None,Endothelial Cell,Umbilical Vein,0,PR
50393|TAL1,1.5095590888414279e-09,Homo sapiens,TAL1,tf,None,Hematopoietic stem and progenitor cell,Cord blood,0,TAL1
49882|FLI1,1.5095590888414279e-09,Homo sapiens,FLI1,tf,A673,Polygonal,Muscle,0,FLI1
34565|SPI1,2.30274616042081e-09,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,None,0,SPI1
56668|HOXB13,3.7088378868066485e-08,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
68051|NFKB1,5.7775716266750266e-08,Homo sapiens,NFKB1,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB1
46052|NR3C1,5.8713206574356747e-08,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,0,NR3C1
2121|RUNX1,8.675767743104856e-08,Homo sapiens,RUNX1,tf,K562,Erythroblast,Bone Marrow,1,RUNX1
47329|FOXA1,8.675988338868734e-08,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
49977|BRD4,9.153281232965327e-08,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
55895|T,1.0140234696365269e-07,Homo sapiens,T,tf,None,Fibroblast,None,1,T
68974|ESR1,1.3968145673448618e-07,Homo sapiens,ESR1,tf,T47D,None,Breast,1,ESR1
37623|MYH11,1.447021951150873e-07,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
64802|BCL3,1.579599177015112e-07,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
71748|SOX4,1.9161240771836674e-07,Homo sapiens,SOX4,tf,None,Fibroblast,Fetal Lung,1,SOX4
74571|MAZ,2.997900407364362e-07,Homo sapiens,MAZ,tf,T778,None,None,1,MAZ
45895|CCNT2,3.5028537181958086e-07,Homo sapiens,CCNT2,tf,K562,Erythroblast,Bone Marrow,1,CCNT2
45866|MXI1,4.153142704743651e-07,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1,MXI1
42637|CREBBP,4.227106972232164e-07,Homo sapiens,CREBBP,cr,HEK293,Epithelium,Embryonic Kidney,1,CREBBP
50163|TBP,4.862455537102406e-07,Homo sapiens,TBP,tf,K562,Erythroblast,Bone Marrow,1,TBP
1309|PHF8,7.074925496008966e-07,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,1,PHF8
46355|ELF1,7.852111151840369e-07,Homo sapiens,ELF1,tf,SK-N-SH,Neuroblastoma cell,Brain,1,ELF1
52153|FAIRE,8.88774471463627e-07,Homo sapiens,FAIRE,other,None,Macrophage,None,1,FAIRE
67748|GATA2,1.0054323006936094e-06,Homo sapiens,GATA2,tf,LNCaP,Epithelium,Prostate,1,GATA2
36356|POLR2B,1.0219655335874656e-06,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1,POLR2B
43305|CDK6,1.0910815887443803e-06,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
1741|FOS,1.1149135070720462e-06,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1,FOS
41288|STAT1,1.2279507471957274e-06,Homo sapiens,STAT1,tf,None,Monocyte,Blood,1,STAT1
74292|MLLT1,1.4890500376618654e-06,Homo sapiens,MLLT1,not sure,HeLa,None,None,0,MLLT1
48086|AR,1.5979552782652284e-06,Homo sapiens,AR,tf,HEK293,Epithelium,Embryonic Kidney,1,AR
48994|AFF4,1.8213195697169837e-06,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
64866|ZFX,2.1089929089779247e-06,Homo sapiens,ZFX,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZFX
42217|STAT3,2.2300246150797065e-06,Homo sapiens,STAT3,tf,SU-DHL2,B Lymphocyte,None,1,STAT3
37936|ETS1,2.4608314730945047e-06,Homo sapiens,ETS1,tf,None,Endothelial Cell,Umbilical Vein,1,ETS1
69268|ERG,2.567818262078081e-06,Homo sapiens,ERG,other,VCaP,Epithelium,Prostate,1,ERG
34997|FOXM1,2.8592359448964544e-06,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1,FOXM1
46219|GABPA,3.282392356029895e-06,Homo sapiens,GABPA,tf,HeLa-S3,Epithelium,Cervix,1,GABPA
47601|KLF5,3.3579526849680796e-06,Homo sapiens,KLF5,tf,KATO III,None,Stomach,1,KLF5
58805|MYB,3.913046559056443e-06,Homo sapiens,MYB,tf,None,Th1,None,1,MYB
76495|BRPF3,4.285665580028297e-06,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1,BRPF3
36140|TP63,4.407620537827395e-06,Homo sapiens,TP63,predicted transcription factor,None,Keratinocyte,None,1,TP63
64317|ETV4,4.9256879873227355e-06,Homo sapiens,ETV4,tf,HepG2,Epithelium,Liver,1,ETV4
50434|ELK3,4.9802828576694935e-06,Homo sapiens,ELK3,tf,None,Endothelial Cell,Umbilical Vein,1,ELK3
35308|TCF12,5.4770597785469555e-06,Homo sapiens,TCF12,tf,Kasumi-1,Myeloblast,Blood,1,TCF12
46129|EBF1,5.514506623394144e-06,Homo sapiens,EBF1,tf,GM12878,B Lymphocyte,Blood,1,EBF1
52681|FOXA2,5.679342410691568e-06,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1,FOXA2
55730|GATA1,5.844537583565845e-06,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1,GATA1
46306|THAP1,6.0424590971885905e-06,Homo sapiens,THAP1,tf,K562,Erythroblast,Bone Marrow,1,THAP1
46257|REST,6.116743107353884e-06,Homo sapiens,REST,tf,HepG2,Epithelium,Liver,1,REST
56961|GTF2B,6.3492628916139715e-06,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
50112|MAFB,6.637296502576273e-06,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
69874|RELA,7.13321484108187e-06,Homo sapiens,RELA,tf,None,Th1,None,1,RELA
49669|PROX1,7.21127464631266e-06,Homo sapiens,PROX1,tf,SW480,None,Colon,1,PROX1
53594|MED1,7.400735588414253e-06,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1,MED1
46126|EGR1,7.853726780249204e-06,Homo sapiens,EGR1,tf,GM12878,B Lymphocyte,Blood,1,EGR1
33150|GATA3,8.539210855140755e-06,Homo sapiens,GATA3,tf,MCF-7,Epithelium,Breast,1,GATA3
46221|TAF1,8.566697456802164e-06,Homo sapiens,TAF1,tf,HeLa-S3,Epithelium,Cervix,1,TAF1
74838|JMJD6,8.59990786211684e-06,Homo sapiens,JMJD6,cr,None,3565 cells,None,1,JMJD6
45861|CEBPB,9.051552703254195e-06,Homo sapiens,CEBPB,tf,IMR90,Fibroblast,Lung,1,CEBPB
38654|NFATC1,9.540718794054381e-06,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1,NFATC1
32784|ATF3,9.752787877681524e-06,Homo sapiens,ATF3,predicted transcription factor,None,Glioblastoma Multiforme Stem Like,None,1,ATF3
8770|CHD1,1.0637624097253884e-05,Homo sapiens,CHD1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,CHD1
9509|TFAP2C,1.115251428046582e-05,Homo sapiens,TFAP2C,predicted transcription factor,MDA-MB-453,Epithelium,Mammary Gland,1,TFAP2C
