,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
69456|TP53,1.1155187884526185e-11,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
69457|TP53,8.966830611356613e-10,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
41377|PR,1.5095590888414279e-09,Homo sapiens,PR,predicted transcription factor,None,Endothelial Cell,Umbilical Vein,0
50393|TAL1,1.5095590888414279e-09,Homo sapiens,TAL1,tf,None,Hematopoietic stem and progenitor cell,Cord blood,0
49882|FLI1,1.5095590888414279e-09,Homo sapiens,FLI1,tf,A673,Polygonal,Muscle,0
34565|SPI1,2.30274616042081e-09,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,None,0
52090|TP53,4.843604295423631e-09,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
34929|SPI1,3.388050412445054e-08,Homo sapiens,SPI1,predicted transcription factor,None,Monocyte,None,1
52091|TP53,3.63626814214868e-08,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
56668|HOXB13,3.7088378868066485e-08,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1
52092|TP53,3.9106297478053165e-08,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
56667|HOXB13,4.987305951553722e-08,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1
68051|NFKB1,5.7775716266750266e-08,Homo sapiens,NFKB1,tf,L1236,Hodgkin Lymphoma Cell,None,1
46052|NR3C1,5.8713206574356747e-08,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,0
55739|SPI1,7.863328493895594e-08,Homo sapiens,SPI1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1
2121|RUNX1,8.675767743104856e-08,Homo sapiens,RUNX1,tf,K562,Erythroblast,Bone Marrow,1
47329|FOXA1,8.675988338868734e-08,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1
49977|BRD4,9.153281232965327e-08,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1
55895|T,1.0140234696365269e-07,Homo sapiens,T,tf,None,Fibroblast,None,1
44433|TAL1,1.236797611547935e-07,Homo sapiens,TAL1,tf,None,None,Cord blood,1
68974|ESR1,1.3968145673448618e-07,Homo sapiens,ESR1,tf,T47D,None,Breast,1
37623|MYH11,1.447021951150873e-07,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1
73446|RUNX1,1.5456410795700037e-07,Homo sapiens,RUNX1,tf,THP-1,AML cell line,None,1
64802|BCL3,1.579599177015112e-07,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1
68823|SPI1,1.62493198840874e-07,Homo sapiens,SPI1,predicted transcription factor,K562,Leukemia Cell,None,1
68711|BRD4,1.6497250260316676e-07,Homo sapiens,BRD4,cr,IMR90,None,None,1
70108|FOXA1,1.672137652231065e-07,Homo sapiens,FOXA1,tf,LNCaP,Epithelium,Prostate,1
46272|SPI1,1.7586665673752222e-07,Homo sapiens,SPI1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1
71748|SOX4,1.9161240771836674e-07,Homo sapiens,SOX4,tf,None,Fibroblast,Fetal Lung,1
67731|FOXA1,2.2488906009643372e-07,Homo sapiens,FOXA1,tf,LNCaP,Epithelium,Prostate,1
74571|MAZ,2.997900407364362e-07,Homo sapiens,MAZ,tf,T778,None,None,1
71214|FOXA1,3.3864714982234645e-07,Homo sapiens,FOXA1,tf,LNCaP,Epithelium,Prostate,1
55738|SPI1,3.401578235751046e-07,Homo sapiens,SPI1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1
45895|CCNT2,3.5028537181958086e-07,Homo sapiens,CCNT2,tf,K562,Erythroblast,Bone Marrow,1
47328|FOXA1,3.5526978248157093e-07,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1
50367|SPI1,3.623071384017962e-07,Homo sapiens,SPI1,predicted transcription factor,None,Monocyte,None,1
45866|MXI1,4.153142704743651e-07,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1
42637|CREBBP,4.227106972232164e-07,Homo sapiens,CREBBP,cr,HEK293,Epithelium,Embryonic Kidney,1
46119|SPI1,4.657433383403742e-07,Homo sapiens,SPI1,predicted transcription factor,GM12878,B Lymphocyte,Blood,1
50163|TBP,4.862455537102406e-07,Homo sapiens,TBP,tf,K562,Erythroblast,Bone Marrow,1
