,0,TF
MS00060|HSF4,4.147218783554974e-09,HSF4
MS00100|MYBL1,1.2099863232157481e-07,MYBL1
MS00016|ETV2,3.481243452494928e-07,ETV2
MS00103|MYBL2,4.0965056203481474e-07,MYBL2
M00082|RUNX1,6.814364776698071e-07,RUNX1
UP00391|HOXA3,6.833375790238149e-07,HOXA3
MA0081|SPIB,8.091430307845755e-07,SPIB
MS00472|HMBOX1,1.1751189326365457e-06,HMBOX1
MS00589|PDX1,1.662826111487764e-06,PDX1
UP00166|BARHL1,2.548953144477168e-06,BARHL1
UP00254|POU2F1,5.092302023320525e-06,POU2F1
MC00359|TP53,6.088128898090895e-06,TP53
MS00626|VSX1,7.126339931484011e-06,VSX1
MS00148|POU4F1,9.721588405269896e-06,POU4F1
UP00140|Hoxd1,1.049626048913498e-05,Hoxd1
UP00081|Mybl1,1.0797896920161712e-05,Mybl1
MC00411|BATF,1.2032342639920932e-05,BATF
UP00092|MYB,1.2734237307659267e-05,MYB
MS00311|Creb3l2,1.5987379439399823e-05,Creb3l2
UP00418|Etv6,1.6725196374167863e-05,Etv6
UP00113|HOXC4,1.816708854016373e-05,HOXC4
M01656|Trp63,1.870786718886052e-05,Trp63
MS00140|POU3F2,2.664384800594733e-05,POU3F2
MS00406|Alx1,2.978059807709042e-05,Alx1
MC00368|Hsf1,3.204879093957436e-05,Hsf1
UP00000|SMAD3,3.822798014599571e-05,SMAD3
M00648|MAF,4.362963248367128e-05,MAF
MS00149|POU4F2,4.6564939541136064e-05,POU4F2
UP00161|Hmbox1,4.879742094996157e-05,Hmbox1
UP00048|RARA,5.027758026261439e-05,RARA
MS00579|TFCP2,5.898309342575127e-05,TFCP2
M00792|SMAD1,6.116486565625298e-05,SMAD1
MS00430|DLX4,7.089060631805066e-05,DLX4
UP00242|HOXC8,7.315532189603655e-05,HOXC8
MS00611|Rhox11,7.594197296605352e-05,Rhox11
MS00621|VAX2,8.781216642204768e-05,VAX2
MC00113|SP1,8.950230620777845e-05,SP1
UP00189|HOXA5,0.00011274528037985215,HOXA5
MS00294|ATF7,0.00011445417636305697,ATF7
MS00638|ESRRG,0.0001254397932191659,ESRRG
MC00129|Fli1,0.00014462806691421657,Fli1
UP00252|HOXC5,0.0001448451846854429,HOXC5
MS00532|Irx3,0.00014808765923214224,Irx3
UP00224|PAX6,0.00014995270940304107,PAX6
UP00132|Evx2,0.0001535481307239056,Evx2
UP00248|Pax7,0.00015543648095928068,Pax7
MS00022|Elf5,0.00016470682055956946,Elf5
MS00652|NR2E1,0.00016727601222083844,NR2E1
MS00459|GBX1,0.00017821316560820633,GBX1
UP00215|Vax1,0.0001848083161953814,Vax1
MS00023|Elk3,0.00018857760261479652,Elk3
MS00613|SHOX2,0.00019116935424373267,SHOX2
MS00525|Hoxd9,0.00020464545821141314,Hoxd9
MC00206|ELK1,0.0002210338082803675,ELK1
MS00514|Hoxa11,0.00023132252181538062,Hoxa11
MC00355|SRF,0.00023347362028322975,SRF
MS00563|Meox2,0.00023493741601547012,Meox2
MS00851|ETS1,0.00023765432852732713,ETS1
UP00150|IRX6,0.00027401725083433,IRX6
MS00534|CENPB,0.00027892627437747824,CENPB
MS00174|RUNX2,0.00028529711172552445,RUNX2
UP00196|HOXA4,0.0002904641260921939,HOXA4
M01334|Nkx1-1,0.0002972896166914038,Nkx1-1
MS00327|MAFG,0.00031065474414236356,MAFG
M01480|Obox5,0.0003122754306222735,Obox5
MS00531|ISX,0.00035132760452738493,ISX
MS00620|VAX1,0.0003565945623675851,VAX1
MC00508|Batf,0.0003584623853367848,Batf
MC00457|ELF1,0.00037770337897025395,ELF1
UP00018|Irf4,0.00038347185288787185,Irf4
MS00619|Uncx,0.0003857681730156343,Uncx
MS00059|HSF2,0.00038732260209373235,HSF2
M00750|HMGA1,0.00038991650186891256,HMGA1
UP00249|NKX2-5,0.0003995090870510882,NKX2-5
UP00085|Sfpi1,0.0004195021582734025,Sfpi1
MS00320|JDP2,0.00043627636866571713,JDP2
UP00260|Hoxc6,0.00044812788672246514,Hoxc6
MC00191|Nfya,0.0004728109210173813,Nfya
MS00614|SHOX,0.0004861757830084122,SHOX
MC00289|HSF1,0.0004937152135030245,HSF1
UP00184|Lhx8,0.0005003868554798657,Lhx8
UP00236|IRX2,0.0005011099798408167,IRX2
M00159|CEBPA,0.0005032128719472627,CEBPA
MS00848|ERG,0.0005109304238522393,ERG
MS00221|TEAD3,0.0005164581066255942,TEAD3
UP00145|BARHL2,0.0005226467885749688,BARHL2
MS00615|Shox2,0.0005316704670317947,Shox2
MC00154|Jund,0.0005395585163610466,Jund
MS00443|EMX2,0.0005483178054243619,EMX2
UP00126|DLX2,0.0005596924391602689,DLX2
MS00025|FEV,0.0005700910793038058,FEV
MS00313|Creb5,0.0005920723554508005,Creb5
MS00401|ZNF306,0.0006034757879371396,ZNF306
MS00018|ETV4,0.0006046871041058307,ETV4
MS00129|POU1F1,0.0006135494782158663,POU1F1
MS00541|LHX9,0.0006178293659862777,LHX9
MS00155|POU6F2,0.000687357737158448,POU6F2
MC00364|NFYA,0.0006926101749869263,NFYA
MS00838|ELF5,0.0007012707705993537,ELF5
MS00073|IRF9,0.0007037222696599473,IRF9
MS00844|ELK3,0.0007143153145879711,ELK3
M00961|VDR,0.0007190470789932304,VDR
MS00373|FOXL1,0.0007360342541769886,FOXL1
UP00086|IRF3,0.0007633344209075527,IRF3
MC00160|ETV3,0.0007810111373815981,ETV3
MS00121|PAX4,0.0007910491245090364,PAX4
MS00439|Dlx1,0.0008155409929462222,Dlx1
MC00456|JUND,0.0008339773829146806,JUND
MS00429|DLX3,0.0008419377292360516,DLX3
MS00027|FLI1,0.0008842085278743029,FLI1
MS00183|GMEB2,0.0008853201489216797,GMEB2
UP00009|Nr2f2,0.0008948862331216097,Nr2f2
UP00031|Zbtb3,0.0009156586292042078,Zbtb3
M01734|NFATC4,0.000933064684679872,NFATC4
MC00227|IRF4,0.0009824106133491358,IRF4
MC00293|Gfi1b,0.0009957750684054976,Gfi1b
MS00556|GRHL1,0.0010360991490250685,GRHL1
MS00513|HOXD8,0.0010474484672776318,HOXD8
UP00055|HBP1,0.0010514218007266459,HBP1
UP00206|Hoxb7,0.0010910092327417757,Hoxb7
MS00480|HOXA10,0.0011457993848541285,HOXA10
MC00506|Spi1,0.0012157371055045148,Spi1
UP00182|HOXA6,0.0012461209350036948,HOXA6
MS00729|ZNF282,0.0012772901662356235,ZNF282
M01248|NR0B1,0.001294566800794409,NR0B1
MC00142|PPARG,0.0013239413874175333,PPARG
MS00446|EN1,0.001341869763063163,EN1
UP00164|HOXA7,0.001362157533607408,HOXA7
M01723|SATB1,0.0015206405387817345,SATB1
MS00595|PITX1,0.0015229809667468618,PITX1
MS00489|HOXB13,0.0015330123071193753,HOXB13
MS00485|HOXA13,0.0015378766595237929,HOXA13
MS00551|MEOX1,0.0015734874863755496,MEOX1
UP00020|ATF1,0.0016080950358274063,ATF1
MS00460|GBX2,0.0016437085775974991,GBX2
MC00408|Myb,0.001653145299470817,Myb
MC00207|ELK4,0.0016694109787625832,ELK4
MS00360|FOXG1,0.0016911013389159539,FOXG1
MC00349|Jun,0.0017049939886957112,Jun
MS00124|KLF13,0.0017296515896666124,KLF13
MS00732|CPEB1,0.0017375263869413278,CPEB1
UP00037|Zfp105,0.0017683254527376647,Zfp105
MS00062|HSFY2,0.001774308438245741,HSFY2
UP00121|Hoxd10,0.001789128391750918,Hoxd10
MS00617|UNCX,0.00179449250587722,UNCX
MC00231|MEF2C,0.0018152076837421747,MEF2C
MS00055|HOMEZ,0.00182976575863813,HOMEZ
MS00139|POU3F1,0.0018583043725047342,POU3F1
M00326|PAX1,0.0019240792800572673,PAX1
M01252|E2F6,0.0019476479684758668,E2F6
MS00604|Prrx2,0.0020231673590083822,Prrx2
MS00293|ATF4,0.0020322822117889577,ATF4
M00736|E2F1::TFDP1,0.0021031087538833774,E2F1::TFDP1
MC00351|FOSL1,0.0021492955449696023,FOSL1
UP00152|Arx,0.002158166752887426,Arx
MS00539|LHX6,0.0022174146634286844,LHX6
MS00547|Lhx4,0.002327832289370113,Lhx4
MS00220|TEAD1,0.002400562140204518,TEAD1
MS00143|POU3F3,0.002404012460009844,POU3F3
MS00599|PRRX1,0.002492873197085248,PRRX1
MC00329|Srf,0.0025235609384023287,Srf
MS00147|POU3F4,0.0025294184289898587,POU3F4
MA0145|Tcfcp2l1,0.0026342462446620383,Tcfcp2l1
M01425|HNF1B,0.002641082948292918,HNF1B
M00465|POU6F1,0.002720108216533357,POU6F1
MS00432|DLX6,0.002774389007478541,DLX6
MS00079|HINFP1,0.0027772042851161908,HINFP1
M01694|Yy2,0.002777517058726141,Yy2
UP00011|IRF6,0.002861755736115405,IRF6
MC00117|GATA6,0.002870552488227971,GATA6
M01326|GSX2,0.002956155105683331,GSX2
MS00778|EHF,0.0029970634555019633,EHF
MS00137|POU2F3,0.0030139670861263615,POU2F3
UP00170|Isl2,0.0030888300963896366,Isl2
MC00146|Smad2/3,0.003314615357732541,Smad2/3
MS00757|SOX21,0.003325560097439535,SOX21
UP00138|Bsx,0.003328880689183324,Bsx
UP00144|Hoxb4,0.00336980536682392,Hoxb4
UP00211|Pou3f3,0.0033943996323687543,Pou3f3
MS00517|Hoxc10,0.0034483860304683808,Hoxc10
MS00555|MIXL1,0.0035771276742059023,MIXL1
UP00129|Pou3f1,0.0036161176422099704,Pou3f1
MC00144|Rfx1,0.0038100239897465257,Rfx1
MC00330|FOS,0.003941343496180851,FOS
M00416|ALX1,0.003943463230979212,ALX1
UP00214|HOXB5,0.003975661685947943,HOXB5
M00327|PAX3,0.0039795220054131015,PAX3
MS00585|OTX2,0.003997019898417693,OTX2
MC00262|ARNT,0.0040197336909647925,ARNT
MS00561|MSX2,0.004045218298500552,MSX2
M00478|CDC5L,0.004093216698258469,CDC5L
UP00012|Bbx,0.004118900346717285,Bbx
MS00727|ZBTB49,0.0041236625989675086,ZBTB49
UP00213|HOXA9,0.00414123659063461,HOXA9
MS00739|E2F8,0.004149145678060899,E2F8
MC00367|GABPA,0.004341031929462426,GABPA
MS00072|IRF8,0.004343587021464529,IRF8
MS00603|PRRX2,0.004371470649696299,PRRX2
M01435|Rhox6,0.004374375037183624,Rhox6
M01306|ZNF217,0.004422280347524208,ZNF217
M00644|UBP1,0.004443087434510336,UBP1
MS00836|HOXD12,0.004449401621461209,HOXD12
MS00543|LMX1A,0.004450618643535838,LMX1A
M01002|DEAF1,0.0046039224092447725,DEAF1
UP00065|Zfp161,0.0046172048603698975,Zfp161
M01127|ISL1,0.004625566408731696,ISL1
MS00628|Vsx1,0.004960419261542573,Vsx1
M00737|E2F1::TFDP2,0.005043053753691063,E2F1::TFDP2
MC00465|NR3C1,0.0051016011595875575,NR3C1
MS00627|VSX2,0.005165209808799427,VSX2
UP00262|Lhx1,0.005270365558666221,Lhx1
M00999|AIRE,0.005279550432359862,AIRE
MC00141|Stat1,0.005538827357709823,Stat1
MC00477|ZNF711,0.0055645639797719665,ZNF711
M01243|MTF1,0.005576383893448597,MTF1
MS00605|RAXL1,0.005586708536791637,RAXL1
MC00518|Tfcp2,0.005638057535935723,Tfcp2
MS00422|Barhl1,0.005687768964949932,Barhl1
MS00229|TFAP2B,0.005709639935197497,TFAP2B
MS00780|SOX9,0.005744311744909353,SOX9
M00490|BACH2,0.005806821971541569,BACH2
M01122|ZNF219,0.0058109907249846455,ZNF219
MC00327|Gata1,0.006026459704839921,Gata1
MS00505|HOXC13,0.006057639219279801,HOXC13
MS00431|DLX5,0.006064678782198118,DLX5
MC00342|YY1,0.006066097213240136,YY1
UP00001|E2F2,0.006124792423942902,E2F2
M01783|SP2,0.006182607203167987,SP2
MC00386|BCL6,0.006569683139137174,BCL6
M01300|HMGA2,0.006628939773179947,HMGA2
MS00324|Jdp2,0.006629137670227049,Jdp2
M00139|AHR,0.0067406787723839805,AHR
MC00121|Cebpb,0.006995966806606027,Cebpb
MS00578|NOTO,0.007050078000904065,NOTO
MC00186|Nr1d2,0.007074603332915296,Nr1d2
