,0,TF
MS00048|GCM1,1.0469610056280367e-18,GCM1
UP00330|XBP1,6.522373469638916e-17,XBP1
MS00534|CENPB,9.883995954007501e-16,CENPB
MC00257|Pax5,1.2631143573796947e-15,Pax5
M01177|SREBF2,2.1435920319938876e-15,SREBF2
M00468|KLF12,4.514553393898274e-15,KLF12
UP00003|E2F3,1.0768775980754358e-14,E2F3
MS00118|PAX2,1.6745505553007445e-14,PAX2
MC00532|Mycn,1.7383577089529784e-14,Mycn
MS00815|E2F1,2.3583931466224697e-14,E2F1
MS00247|BHLHB2,2.4570635541187613e-14,BHLHB2
UP00084|Gmeb1,3.4165351529691067e-14,Gmeb1
MS00173|RUNX2,4.4488415234999597e-14,RUNX2
MS00258|HEY1,4.494712565731342e-14,HEY1
MC00252|Rara,4.6348757256898804e-14,Rara
MC00394|MYC,4.992274153082981e-14,MYC
MC00523|E2F4,5.825589374174227e-14,E2F4
MC00262|ARNT,7.935341423188194e-14,ARNT
MC00473|ATF3,8.551182887357384e-14,ATF3
MC00319|EGR2,1.2243690454205267e-13,EGR2
MC00254|E2F6,1.6215993547442429e-13,E2F6
MC00502|HMGN1,1.6997666072305276e-13,HMGN1
MC00158|E2f4,1.8387683421227646e-13,E2f4
M00961|VDR,2.2672976305430736e-13,VDR
MC00461|Max,2.313213673118921e-13,Max
MC00407|Myc,2.3563157711407354e-13,Myc
MC00510|E2f3,2.5934755994970423e-13,E2f3
M01742|Zscan10,2.9264844631516037e-13,Zscan10
M00341|GABPB1,3.167287697417392e-13,GABPB1
MS00227|TFAP2A,3.223660587846317e-13,TFAP2A
MS00240|Tcfap2a,3.2269907090723533e-13,Tcfap2a
MS00260|HEY2,3.4357715120173415e-13,HEY2
UP00087|Tcfap2c,3.665975958642516e-13,Tcfap2c
MS00255|HES5,3.706350972710602e-13,HES5
UP00065|Zfp161,3.9691447105396905e-13,Zfp161
MC00140|Stat3,4.0339214998029033e-13,Stat3
M01009|HES1,4.298428206462842e-13,HES1
MS00423|ZNF524,4.498806186437644e-13,ZNF524
M00373|PAX4,4.944035971049433e-13,PAX4
MS00146|KLF16,5.39590664966432e-13,KLF16
M00717|PAX8,5.425002643066251e-13,PAX8
M00733|SMAD4,5.650602080044777e-13,SMAD4
MS00567|EGR3,7.013707490258978e-13,EGR3
MC00144|Rfx1,7.850137055949663e-13,Rfx1
MC00125|Rest,8.317237992839555e-13,Rest
UP00031|Zbtb3,8.372784990682712e-13,Zbtb3
