,0,TF
MC00109|Klf4,1.958148748952271e-17,Klf4
MC00110|Klf1,2.531608353407175e-15,Klf1
MS00212|SP1,4.275807390962675e-14,SP1
M01104|Ovol2,5.584187019041016e-14,Ovol2
UP00087|Tcfap2c,1.974955723306625e-13,Tcfap2c
MS00235|SP4,3.693257866531654e-13,SP4
MC00430|Egr2,5.433134774793163e-13,Egr2
M00373|PAX4,6.881499609563362e-13,PAX4
UP00093|Klf7,1.3004523626900285e-12,Klf7
M01714|KLF15,1.430453118632296e-12,KLF15
MC00356|Tbx21,1.4488533179778953e-12,Tbx21
MC00530|TFAP2A,1.7756222034722323e-12,TFAP2A
MC00359|TP53,2.9396086836849423e-12,TP53
MS00445|ZNF740,3.076059826370549e-12,ZNF740
M00648|MAF,3.2125364190385266e-12,MAF
MC00319|EGR2,3.688240830996286e-12,EGR2
M00665|SP3,4.054253103631137e-12,SP3
MS00678|EGR4,4.420558226658395e-12,EGR4
M01175|ZBTB7B,4.48392109727156e-12,ZBTB7B
MC00320|EGR1,5.598039965295435e-12,EGR1
MS00050|GCM2,5.920674364635163e-12,GCM2
MA0163|PLAG1,8.547918216398595e-12,PLAG1
MS00118|PAX2,8.718221855853087e-12,PAX2
UP00412|Etv5,1.027062635663805e-11,Etv5
M00327|PAX3,1.0514753845949549e-11,PAX3
M01742|Zscan10,1.1308550002677922e-11,Zscan10
MC00332|PAX5,1.1343511975106033e-11,PAX5
UP00088|PLAGL1,1.1576115213165623e-11,PLAGL1
MS00512|Zfp740,1.4739490898897642e-11,Zfp740
UP00021|Zfp281,1.5917187792489485e-11,Zfp281
MC00328|Zfx,1.6364667567043737e-11,Zfx
MS00641|Esrra,2.0604144968628245e-11,Esrra
M00646|HNF1B,2.2115067024534713e-11,HNF1B
M00736|E2F1::TFDP1,2.443522353900229e-11,E2F1::TFDP1
UP00423|Gm5454,3.0117535169373373e-11,Gm5454
MS00386|FOXO6,3.157145411182173e-11,FOXO6
M00961|VDR,3.3449158133120906e-11,VDR
M01009|HES1,3.420705380521051e-11,HES1
M00737|E2F1::TFDP2,3.485531212215937e-11,E2F1::TFDP2
MS00146|KLF16,3.747012910366191e-11,KLF16
M00491|PATZ1,3.7697456010483695e-11,PATZ1
MS00240|Tcfap2a,4.0089573078012276e-11,Tcfap2a
M00179|ATF2,4.160575710999841e-11,ATF2
UP00038|Spdef,4.6163490981809146e-11,Spdef
MC00252|Rara,4.83642735008198e-11,Rara
M01744|ZFP42,4.876822950588824e-11,ZFP42
M00644|UBP1,4.904908512111748e-11,UBP1
MS00638|ESRRG,5.1882649873690126e-11,ESRRG
M00483|ATF6,5.241153471496869e-11,ATF6
MC00509|NR2C2,5.84856583770883e-11,NR2C2
UP00095|Zfp691,7.419822076113272e-11,Zfp691
MC00376|ZBTB7A,7.436023278515098e-11,ZBTB7A
UP00010|Tcfap2b,9.209747644343271e-11,Tcfap2b
MS00567|EGR3,9.60159895202374e-11,EGR3
M00649|MAZ,1.0055641717415575e-10,MAZ
MC00299|BRCA1,1.0549774367358039e-10,BRCA1
M01105|ZNF350,1.0552202760867355e-10,ZNF350
MC00391|ZNF143,1.196716395859526e-10,ZNF143
UP00028|Tcfap2e,1.4198176487833015e-10,Tcfap2e
MS00019|ETV5,1.7634332391542498e-10,ETV5
