Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
XBP1,UP00330;3.76E-08,MS00342;1.91E-02,,,
Zfx,MC00328;1.44E-07,,,,
ZNF306,MS00401;1.53E-07,,,,
ZNF219,M01122;1.96E-07,,,,
Tcfap2a,MS00241;1.96E-07,MS00239;9.46E-07,MS00240;1.14E-05,,
TEAD2,M00695;2.54E-07,,,,
HES5,MS00255;2.56E-07,,,,
GCM2,MS00050;2.72E-07,,,,
VDR,MC00412;2.75E-07,M00444;1.88E-05,M00961;2.00E-04,,
ZNF711,MC00477;3.00E-07,,,,
KLF15,M01714;3.45E-07,,,,
HINFP1,MS00079;4.06E-07,MS00090;7.80E-06,,,
GLIS2,MS00035;4.21E-07,,,,
NHLH1,MS00274;4.39E-07,,,,
Egr3,MS00789;4.86E-07,,,,
SREBF2,M01177;5.22E-07,MS00281;5.09E-02,,,
HES7,MS00256;5.31E-07,,,,
SP2,M01783;6.46E-07,,,,
HES1,M01009;7.71E-07,,,,
PLAGL1,UP00088;8.62E-07,,,,
E2F3,UP00003;8.77E-07,MS00734;2.15E-03,,,
FLI1,MS00027;9.52E-07,MC00398;2.82E-04,,,
DEAF1,M01002;9.86E-07,,,,
Gm5454,UP00423;1.06E-06,,,,
EGR3,MS00567;1.07E-06,,,,
Etv5,UP00412;1.21E-06,,,,
E2F6,MC00254;1.28E-06,M01252;1.76E-02,,,
ZFP42,M01744;1.47E-06,,,,
Egr2,MC00430;1.53E-06,,,,
E2F2,UP00001;1.68E-06,MS00712;2.24E-02,,,
ELK4,MC00207;1.82E-06,,,,
Spdef,UP00038;1.83E-06,,,,
E2f3,MC00510;1.89E-06,,,,
ERG,MS00848;1.91E-06,MC00168;1.66E-05,,,
MYC,MC00394;2.34E-06,,,,
Elk3,MS00023;2.44E-06,,,,
KLF12,M00468;2.50E-06,,,,
Rara,MC00252;2.62E-06,MS00698;7.69E-02,,,
CENPB,MS00534;2.82E-06,,,,
MAX,MC00124;2.90E-06,,,,
WT1,M01118;2.93E-06,,,,
NR2C2,MS00651;2.96E-06,MC00509;7.84E-06,,,
GABPB1,M00341;2.98E-06,,,,
FEV,MS00025;3.06E-06,,,,
Etv6,UP00418;3.11E-06,,,,
Tbx3,MC00221;3.17E-06,,,,
TFAP2A,MS00227;3.20E-06,MC00530;8.77E-06,,,
Ctcf,MC00187;3.52E-06,,,,
Ovol2,M01104;3.62E-06,,,,
Nfic,MC00475;3.65E-06,,,,
ELF2,UP00404;3.80E-06,,,,
TFAP2B,MS00228;4.09E-06,MS00230;8.82E-06,MS00229;2.51E-04,,
BRCA1,MC00299;4.20E-06,,,,
GLIS3,MS00046;4.29E-06,,,,
NFIB,MS00114;4.40E-06,,,,
MAZ,M00649;4.41E-06,,,,
PAX5,MA0014;5.03E-06,MC00332;9.01E-06,M00143;1.86E-04,,
ZNF143,MC00391;5.03E-06,,,,
ELK3,MS00844;5.03E-06,,,,
EGR2,MC00319;5.23E-06,,,,
PAX4,M00373;5.29E-06,M00378;2.03E-04,MS00121;5.32E-01,,
Klf7,UP00093;5.55E-06,,,,
TP53,MC00359;5.92E-06,,,,
