,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
52434|WDR5,7.982293641462266e-30,Homo sapiens,WDR5,cr,HEK293,Epithelium,Embryonic Kidney,0,WDR5
50380|EZH2,8.382406722407674e-23,Homo sapiens,EZH2,cr,None,Proerythroblast,Fetal Liver,1,EZH2
58334|MED1,1.4483857258852643e-17,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1,MED1
55823|BRD4,8.306298647749412e-17,Homo sapiens,BRD4,cr,TC-797,None,None,0,BRD4
69456|TP53,6.746426570716478e-15,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
45635|KAT2B,9.723450467523459e-15,Homo sapiens,KAT2B,predicted chromatin regulator,GM12878,B Lymphocyte,Blood,1,KAT2B
50378|EZH1,1.4521089224971765e-13,Homo sapiens,EZH1,cr,None,Proerythroblast,Fetal Liver,1,EZH1
75165|KLF10,9.619611498083396e-13,Homo sapiens,KLF10,tf,A549,Epithelium,Lung,1,KLF10
46373|CTCF,2.180848244769117e-12,Homo sapiens,CTCF,tf,T47D,Epithelium,Mammary Gland,1,CTCF
71925|GTF2B,2.8445594108313237e-12,Homo sapiens,GTF2B,tf,K562,None,Haematopoietic and lymphoid,1,GTF2B
45947|NELFE,4.338958599303489e-12,Homo sapiens,NELFE,not sure,K562,Erythroblast,Bone Marrow,1,NELFE
72343|MYC,5.489273916638166e-12,Homo sapiens,MYC,tf,U87,Glioblastoma cell,None,1,MYC
65176|ZNF22,1.7861336321785445e-11,Homo sapiens,ZNF22,,HEK293,Epithelium,Embryonic Kidney,1,ZNF22
54255|NR3C2,2.4719557152684344e-11,Homo sapiens,NR3C2,tf,None,None,Kidney,1,NR3C2
45868|CHD1,4.1228530634316855e-11,Homo sapiens,CHD1,predicted chromatin regulator,IMR90,Fibroblast,Lung,1,CHD1
49000|AFF4,1.723912366747774e-10,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
50112|MAFB,3.111368616335279e-10,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
45867|MAZ,3.292917514333876e-10,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1,MAZ
49267|BMI1,4.5714936395976515e-10,Homo sapiens,BMI1,cr,293T-Rex,None,None,1,BMI1
67762|RUNX1,4.811096077734393e-10,Homo sapiens,RUNX1,tf,None,Hematopoietic stem and progenitor cell,Bone Marrow,0,RUNX1
44692|LANA,4.811096077734393e-10,Homo sapiens,LANA,other,iSLK-219,Epithelium,Kidney,0,LANA
37767|TALE,4.811096077734393e-10,Homo sapiens,TALE,other,K562,Erythroblast,Bone Marrow,0,TALE
49266|SCML2,1.004384195195012e-09,Homo sapiens,SCML2,tf,293T-Rex,None,None,1,SCML2
43194|FOXM1,3.271294176385296e-09,Homo sapiens,FOXM1,tf,HeLa,Epithelium,Cervix,1,FOXM1
38850|NFE2L2,3.881954818600979e-09,Homo sapiens,NFE2L2,tf,LoVo,None,Colon,1,NFE2L2
49004|ELL2,4.61661525495622e-09,Homo sapiens,ELL2,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,ELL2
38589|E2F7,5.103290930506359e-09,Homo sapiens,E2F7,tf,IMR90,Fibroblast,Lung,1,E2F7
53637|STAT5B,6.3516614387150214e-09,Homo sapiens,STAT5B,tf,None,T Lymphocyte,Blood,0,STAT5B
74650|DRAP1,9.760010261020812e-09,Homo sapiens,DRAP1,tf,GM12878,B Lymphocyte,Blood,1,DRAP1
62504|SMC3,1.244865792915863e-08,Homo sapiens,SMC3,predicted chromatin regulator,IMR90,Fibroblast,Lung,1,SMC3
64318|ETV4,1.3724005559054735e-08,Homo sapiens,ETV4,tf,HepG2,Epithelium,Liver,1,ETV4
