,0,TF
52434|WDR5,3.1151389103565707e-30,WDR5
69456|TP53,5.1867723942407684e-27,TP53
50380|EZH2,2.8740733661016837e-25,EZH2
46373|CTCF,2.598279746309153e-21,CTCF
58334|MED1,1.4722828833535816e-20,MED1
45867|MAZ,2.1925871388494044e-20,MAZ
49266|SCML2,1.5258486504172815e-18,SCML2
50378|EZH1,1.800398091579806e-17,EZH1
49267|BMI1,3.0590573508577886e-17,BMI1
45868|CHD1,3.3209081231420194e-17,CHD1
74650|DRAP1,5.1181535224507646e-17,DRAP1
45635|KAT2B,1.8469460335273114e-16,KAT2B
45947|NELFE,3.9172169608916253e-16,NELFE
50112|MAFB,5.31857616097896e-16,MAFB
71925|GTF2B,8.574470951394723e-16,GTF2B
49980|BRD4,1.4692445270994093e-15,BRD4
75165|KLF10,2.7100995707843546e-15,KLF10
65084|SP2,9.349116802986517e-15,SP2
62504|SMC3,9.356318758931804e-15,SMC3
50412|KLF11,1.1156049656240563e-14,KLF11
64318|ETV4,4.495706516934124e-14,ETV4
45919|ZMIZ1,5.469608866281188e-14,ZMIZ1
49004|ELL2,5.654977089088675e-14,ELL2
65176|ZNF22,1.2097714439958109e-13,ZNF22
72343|MYC,1.3422049152568174e-13,MYC
44095|RUNX1,1.418062426833233e-13,RUNX1
54255|NR3C2,2.4419712812521403e-13,NR3C2
63822|GTF2E2,2.8890284986660025e-13,GTF2E2
49000|AFF4,3.1181306015940765e-13,AFF4
45866|MXI1,8.25906588909344e-13,MXI1
1214|ELK4,9.573698411205183e-13,ELK4
52495|TCF21,1.0702742387998241e-12,TCF21
45888|JUN,1.2639847825395079e-12,JUN
53637|STAT5B,1.3936086407043783e-12,STAT5B
43194|FOXM1,1.5060134903514565e-12,FOXM1
69246|SIX2,1.7047308680744427e-12,SIX2
63975|GATA4,1.798781035227671e-12,GATA4
45684|TBP,2.0948764412708874e-12,TBP
64298|NFE2L2,2.130906271591288e-12,NFE2L2
74668|BATF,3.3880165016505843e-12,BATF
36356|POLR2B,5.0428889592147475e-12,POLR2B
45969|IRF1,5.833752339544299e-12,IRF1
43451|NELFA,6.142517893225839e-12,NELFA
64425|KLF16,6.755985854420154e-12,KLF16
68228|NR3C1,7.348370238260395e-12,NR3C1
64177|TAF7,7.41850813513063e-12,TAF7
46190|SP1,1.088799883455728e-11,SP1
45730|RFX5,1.1798676053015454e-11,RFX5
45878|GTF2F1,1.3408405425910933e-11,GTF2F1
46084|RAD21,1.3811445078279133e-11,RAD21
55666|PAF1,2.111214465699073e-11,PAF1
49243|ETS1,2.583964726874311e-11,ETS1
4542|SMARCA4,2.5984504785480266e-11,SMARCA4
1226|TRRAP,2.6149594630036676e-11,TRRAP
46171|USF1,3.456790182472553e-11,USF1
64798|CREM,3.772066427510718e-11,CREM
63407|POLR2AphosphoS5,4.008573959794266e-11,POLR2AphosphoS5
38589|E2F7,4.0376421089563436e-11,E2F7
9319|SMC1A,4.065919716630068e-11,SMC1A
64912|BCL3,4.151038464529186e-11,BCL3
45884|GATA1,5.263680236562501e-11,GATA1
53596|RELA,5.545725151317795e-11,RELA
36075|MYOD1,9.671558215541604e-11,MYOD1
41412|ERCC2,9.988066642998281e-11,ERCC2
45775|STAT1,1.113240676476362e-10,STAT1
76100|ESR1,1.1459702256740229e-10,ESR1
74843|JMJD6,1.2515158765571558e-10,JMJD6
46204|YY1,1.4727320463276312e-10,YY1
2748|CREBBP,1.6191173625531602e-10,CREBBP
46330|REST,1.8221835451749832e-10,REST
46191|JUND,1.8838593190041315e-10,JUND
42220|STAT3,2.1113944257478995e-10,STAT3
74655|USF2,2.1234786440223214e-10,USF2
56051|CREB1,2.3898400539883065e-10,CREB1
45790|HNF4A,2.5906454431986947e-10,HNF4A
45789|CEBPB,3.0380002814986534e-10,CEBPB
1314|PHF8,3.820906235282131e-10,PHF8
47283|KDM5B,4.1130563349424213e-10,KDM5B
41411|ERCC3,4.339798454892083e-10,ERCC3
46169|EGR1,5.243469470334004e-10,EGR1
5569|POLR2M,5.637150442820597e-10,POLR2M
33446|CDK9,5.660535204403346e-10,CDK9
43234|CHRM2,7.775533717535768e-10,CHRM2
70731|FOXK1,7.861234365319688e-10,FOXK1
45632|BHLHE40,8.578922019521875e-10,BHLHE40
59345|EBF1,8.870040292198828e-10,EBF1
