,0,TF
MC00477|ZNF711,1.0186306217975955e-10,ZNF711
UP00330|XBP1,9.472843651135016e-10,XBP1
MS00114|NFIB,1.1571216393772373e-09,NFIB
M01733|MZF1,1.7049148133837783e-09,MZF1
MC00328|Zfx,3.2131072161765312e-09,Zfx
MS00401|ZNF306,4.76153762422869e-09,ZNF306
M01122|ZNF219,6.433975529768668e-09,ZNF219
MS00256|HES7,7.93041920108936e-09,HES7
M01783|SP2,8.004311653679089e-09,SP2
MC00130|Pparg,9.463913731678645e-09,Pparg
M00695|TEAD2,1.1193237489765934e-08,TEAD2
MS00079|HINFP1,1.2906186998217846e-08,HINFP1
M00468|KLF12,1.3256273929874039e-08,KLF12
M01177|SREBF2,1.6464533380668695e-08,SREBF2
UP00003|E2F3,1.838219985545112e-08,E2F3
MS00035|GLIS2,1.862972374256884e-08,GLIS2
MC00475|Nfic,2.0025109265091607e-08,Nfic
MS00241|Tcfap2a,2.051860327324342e-08,Tcfap2a
MS00255|HES5,2.1122807847867776e-08,HES5
MS00789|Egr3,3.281287945312892e-08,Egr3
M01714|KLF15,3.435032048008837e-08,KLF15
M00706|GTF2I,3.5173073904722416e-08,GTF2I
MC00510|E2f3,3.727157039022591e-08,E2f3
UP00038|Spdef,4.4457660338358624e-08,Spdef
MS00274|NHLH1,5.112323894993226e-08,NHLH1
M01744|ZFP42,5.4057328231609127e-08,ZFP42
MC00187|Ctcf,5.579694646542584e-08,Ctcf
UP00001|E2F2,6.067274430121265e-08,E2F2
M01002|DEAF1,6.660458762059213e-08,DEAF1
MC00465|NR3C1,7.123207186466584e-08,NR3C1
MC00254|E2F6,7.570415869581584e-08,E2F6
MS00567|EGR3,8.57544135056607e-08,EGR3
MS00050|GCM2,8.691412539427051e-08,GCM2
MS00651|NR2C2,8.817814889853684e-08,NR2C2
M00341|GABPB1,1.0051156456794276e-07,GABPB1
MC00412|VDR,1.0708212379975534e-07,VDR
M00649|MAZ,1.2748641797692774e-07,MAZ
UP00088|PLAGL1,1.318634042163772e-07,PLAGL1
MS00848|ERG,1.3556550010831621e-07,ERG
MS00534|CENPB,1.3928080925880084e-07,CENPB
UP00412|Etv5,1.4749958835619494e-07,Etv5
MC00432|HNF4A,1.5438072156617049e-07,HNF4A
MS00027|FLI1,1.5552298080470959e-07,FLI1
M00665|SP3,1.5644770008700375e-07,SP3
UP00423|Gm5454,1.5788611184564558e-07,Gm5454
MS00092|PKNOX2,1.8089046925918145e-07,PKNOX2
UP00418|Etv6,1.812626661769441e-07,Etv6
MS00025|FEV,1.8625603711778626e-07,FEV
MS00182|GMEB2,1.9324991389220785e-07,GMEB2
MS00160|PROX1,2.004546850894046e-07,PROX1
MC00207|ELK4,2.1096387590525546e-07,ELK4
MC00430|Egr2,2.385826966293919e-07,Egr2
UP00190|NKX2-3,2.783080048209812e-07,NKX2-3
M01009|HES1,2.953391056067924e-07,HES1
M01104|Ovol2,2.9725397081798347e-07,Ovol2
MC00359|TP53,2.982208595055381e-07,TP53
UP00404|ELF2,3.171477814106299e-07,ELF2
UP00009|Nr2f2,3.209743139152785e-07,Nr2f2
M01207|ETS2,3.5818146304347456e-07,ETS2
MC00299|BRCA1,4.0059639539043166e-07,BRCA1
MC00178|Nkx2-5,4.682038270664456e-07,Nkx2-5
MS00338|NRL,4.78540826065634e-07,NRL
UP00021|Zfp281,5.026681190189665e-07,Zfp281
MC00457|ELF1,5.889347798266369e-07,ELF1
MC00257|Pax5,5.967960852534022e-07,Pax5
MS00423|ZNF524,6.071398229292453e-07,ZNF524
MS00662|NR3C2,6.223059689390148e-07,NR3C2
MC00252|Rara,6.543247300686162e-07,Rara
MA0014|PAX5,6.977454654684257e-07,PAX5
MS00285|TCF4,7.238037222626273e-07,TCF4
M00678|ETV7,7.385305828149397e-07,ETV7
MS00023|Elk3,7.571336827201774e-07,Elk3
MC00128|CTCF,7.605212553859806e-07,CTCF
MC00344|Hnf4a,7.685961492329597e-07,Hnf4a
MA0081|SPIB,7.908045348028483e-07,SPIB
MC00391|ZNF143,8.026696585058657e-07,ZNF143
MC00377|Trp53,8.091301933080573e-07,Trp53
MS00288|TFE3,8.311548504255485e-07,TFE3
MA0145|Tcfcp2l1,8.62466972534411e-07,Tcfcp2l1
MS00346|ZIC3,8.730471366521248e-07,ZIC3
MS00227|TFAP2A,9.437480685943344e-07,TFAP2A
M01742|Zscan10,1.0249719964541767e-06,Zscan10
MS00171|Rfx2,1.0257764140077493e-06,Rfx2
UP00093|Klf7,1.0745995300361165e-06,Klf7
MS00228|TFAP2B,1.1259111906045325e-06,TFAP2B
MS00125|PAX6,1.2120339345590873e-06,PAX6
MS00312|ZBTB7B,1.2376294990847569e-06,ZBTB7B
MS00678|EGR4,1.2764712779290192e-06,EGR4
MC00221|Tbx3,1.2828652410532617e-06,Tbx3
MC00376|ZBTB7A,1.3049874431507965e-06,ZBTB7A
MC00289|HSF1,1.344970512300926e-06,HSF1
M01118|WT1,1.3534091353347134e-06,WT1
M00072|TFCP2,1.430242627741846e-06,TFCP2
M00749|SREBF1,1.4865765880903567e-06,SREBF1
M00373|PAX4,1.5465646180763839e-06,PAX4
UP00035|HIC1,1.5576537305971525e-06,HIC1
MS00067|IRF5,1.5809545532687796e-06,IRF5
MC00394|MYC,1.5965506925066252e-06,MYC
MS00094|TGIF1,1.6045359961416504e-06,TGIF1
M00518|PPARG::RXRA,1.6243940287714357e-06,PPARG::RXRA
UP00413|Elf4,1.7529628829078118e-06,Elf4
MC00511|Rxrg,1.7694680022652134e-06,Rxrg
MC00124|MAX,1.8252147244805395e-06,MAX
MC00319|EGR2,1.8949230697901462e-06,EGR2
MS00047|GCM1,1.9022526311317456e-06,GCM1
MC00183|Snai1,2.113406629030129e-06,Snai1
M00139|AHR,2.161068943464195e-06,AHR
MS00046|GLIS3,2.2086675867168813e-06,GLIS3
MS00726|PRDM4,2.4861916779924183e-06,PRDM4
MC00113|SP1,2.678897040870686e-06,SP1
MS00085|MEIS3,2.8239782185064325e-06,MEIS3
MS00390|ZNF238,3.0088033504748348e-06,ZNF238
MS00844|ELK3,3.0119829376799095e-06,ELK3
M00733|SMAD4,3.089092403554777e-06,SMAD4
MC00132|TP73,3.229592665205661e-06,TP73
MS00115|NFIX,3.43656744620471e-06,NFIX
MC00418|ZBTB33,3.4477438328989106e-06,ZBTB33
MS00096|TGIF2,3.484984972458679e-06,TGIF2
MS00057|HIC2,3.6132890530317233e-06,HIC2
MS00111|NFKB2,3.7056249947993467e-06,NFKB2
MC00364|NFYA,3.72787965348588e-06,NFYA
MS00021|ETV6,3.920408337533081e-06,ETV6
UP00087|Tcfap2c,3.9412235418699895e-06,Tcfap2c
MA0073|RREB1,4.00946142052654e-06,RREB1
MC00467|RXRA,4.016533797718893e-06,RXRA
MS00834|ELF4,4.058124317712031e-06,ELF4
UP00102|ZIC1,4.059195500506952e-06,ZIC1
UP00028|Tcfap2e,4.117774396350147e-06,Tcfap2e
MS00808|TFEC,4.239958980047152e-06,TFEC
MC00320|EGR1,4.292080673554042e-06,EGR1
MC00468|AR,4.411576951618499e-06,AR
M01109|ZNF589,4.457815411024707e-06,ZNF589
M00433|Hmx3,4.53309395672194e-06,Hmx3
MS00197|TBX1,4.562501346917253e-06,TBX1
MC00206|ELK1,5.4800604820552425e-06,ELK1
MC00192|ZNF263,5.658953426492733e-06,ZNF263
MA0101|REL,5.72562203205553e-06,REL
