,coefficients,cell_line,cell_type,tissue
62199,0.8715687712367852,BJ,Fibroblast,Skin
47175,0.47792845967938713,,Cortex,Brain
47179,-0.30415984008506575,,Cortex,Brain
47250,-0.2507796091606622,,Cortex,Brain
62069,0.24314117764443552,IMR90,Fibroblast,Lung
1821,-0.2263644412648018,IMR90,Fibroblast,Lung
1822,0.2121147217075625,IMR90,Fibroblast,Lung
47181,0.18030861212723936,,Cortex,Brain
47176,0.15509971511385176,,Cortex,Brain
41622,-0.12892909027074126,IMR90,Fibroblast,Lung
49981,0.04626547598320505,90-8TL,Schwann Cell,Brain
47253,0.018938802542440777,,Cortex,Brain
