,0,TF
55513|YAP1,6.336945010236171e-33,YAP1
56535|TEAD1,3.306860099054841e-31,TEAD1
71242|CEBPB,4.455009949386016e-25,CEBPB
65214|GLIS1,7.13491320994997e-24,GLIS1
65151|SP1,8.885525699397804e-24,SP1
54241|FOSL2,6.022337521821134e-22,FOSL2
70810|MYC,2.2225627506574598e-21,MYC
52495|TCF21,2.363256590898661e-21,TCF21
45744|JUN,2.4092964970194778e-21,JUN
48334|SNAI2,2.426538467740917e-21,SNAI2
68711|BRD4,5.255160352315549e-21,BRD4
56670|AR,8.779883544053247e-21,AR
39978|TFAP2C,1.028269472660974e-20,TFAP2C
39365|SMAD3,1.4557191508651048e-20,SMAD3
4495|PPARG,1.655918537332149e-20,PPARG
46351|JUND,7.748944440653026e-20,JUND
65147|EGR2,1.6040825038635736e-19,EGR2
55297|TEAD4,2.7819568339541167e-19,TEAD4
33569|PR,4.7520547749227255e-19,PR
33135|ESR1,8.332846008009364e-19,ESR1
65123|ZFP64,1.027991449012008e-18,ZFP64
2402|TFAP2A,2.368188323254172e-18,TFAP2A
44433|TAL1,2.5298410294658617e-18,TAL1
65062|ZNF467,2.71499257763791e-18,ZNF467
45867|MAZ,3.1671044847730193e-18,MAZ
55393|SPI1,4.164249996259042e-18,SPI1
43165|NR2F2,7.094928868486826e-18,NR2F2
64945|BHLHE40,7.957559945485793e-18,BHLHE40
76849|EBF3,9.368874622945746e-18,EBF3
50412|KLF11,1.1993111810508177e-17,KLF11
76811|NEUROG2,1.802848264275778e-17,NEUROG2
54104|DAXX,2.2784259833701044e-17,DAXX
65146|ZBTB14,5.93047253315579e-17,ZBTB14
45567|CTCF,6.264319892704649e-17,CTCF
49482|ZNF92,7.753724190099123e-17,ZNF92
65186|EGR3,8.388572432614593e-17,EGR3
1740|FOS,1.406193823837892e-16,FOS
45866|MXI1,1.4546176485556638e-16,MXI1
58079|KDM2B,2.8815079282164493e-16,KDM2B
54240|PGR,3.3479873544831066e-16,PGR
65110|SP4,4.2664342380231616e-16,SP4
49484|MED1,6.684553340467799e-16,MED1
46102|ZBTB7A,1.0679010689202723e-15,ZBTB7A
53874|MEF2B,2.695045749241203e-15,MEF2B
37635|ERG,4.147738063800848e-15,ERG
73970|ZNF202,5.1050318438976234e-15,ZNF202
65197|KLF15,5.2104849148066685e-15,KLF15
64862|NR3C1,6.534529635366543e-15,NR3C1
75045|FOSL1,8.878999560564379e-15,FOSL1
32784|ATF3,1.1256163687573187e-14,ATF3
54243|FOXO1,1.319632703577996e-14,FOXO1
46362|TCF12,1.4191353238984359e-14,TCF12
56817|NR2F1,2.395208667418745e-14,NR2F1
45862|RAD21,2.4220914201212277e-14,RAD21
62958|NFE2L2,3.20992232296259e-14,NFE2L2
33197|MAX,5.1521143936370606e-14,MAX
67614|FOXA1,5.825174767997695e-14,FOXA1
65129|ZNF341,8.39733618142995e-14,ZNF341
46343|NFIC,1.0828949234746508e-13,NFIC
65084|SP2,1.1916684821767477e-13,SP2
52302|TP63,1.955797495673414e-13,TP63
53598|RELA,2.126566318084835e-13,RELA
52091|TP53,2.879952644474469e-13,TP53
36077|MYOD1,3.190057827053164e-13,MYOD1
32856|TERC,1.1444336607388671e-12,TERC
42176|MITF,1.1449505918041158e-12,MITF
63552|HES2,1.2298087587627385e-12,HES2
1375|CEBPA,1.2561796261542647e-12,CEBPA
65139|ZBTB42,1.5518709465944472e-12,ZBTB42
49949|KLF9,2.2800445624160584e-12,KLF9
38591|E2F7,3.57553170033436e-12,E2F7
65114|ZNF121,5.963650492626959e-12,ZNF121
65164|ZNF770,7.470350909711703e-12,ZNF770
2748|CREBBP,8.31305591625367e-12,CREBBP
74669|ZMYM3,8.460062355893711e-12,ZMYM3
77098|ZNF534,1.0890190010279949e-11,ZNF534
51591|SRF,1.1644213991703063e-11,SRF
45864|MAFK,1.3644477337382961e-11,MAFK
64556|IKZF2,1.374191832248505e-11,IKZF2
77103|ZNF519,1.3981219956262423e-11,ZNF519
72110|SMARCC1,1.7495684013745956e-11,SMARCC1
65188|KLF1,1.7960176343336167e-11,KLF1
46356|RXRA,1.828365200044649e-11,RXRA
45228|KDM4A,2.5392344373840192e-11,KDM4A
65120|ZBTB26,4.4374642702938054e-11,ZBTB26
6543|TP73,4.801382322005342e-11,TP73
76682|ASXL1,5.3326156720627745e-11,ASXL1
36356|POLR2B,5.7677985547077704e-11,POLR2B
49464|552-SKD,6.513965886698465e-11,552-SKD
48799|ZNF750,9.986098871109089e-11,ZNF750
34675|CHRM2,1.1611915432196304e-10,CHRM2
65108|OSR2,1.189040633848587e-10,OSR2
67498|SMARCA4,1.3413617255996131e-10,SMARCA4
70095|TET2,2.0485128878282092e-10,TET2
63061|DPF2,2.2346773672218083e-10,DPF2
46196|TAF1,2.698930330804682e-10,TAF1
56666|HOXB13,2.7237494741762276e-10,HOXB13
71040|ZNF143,2.767423029147025e-10,ZNF143
67501|GATA3,3.444859117263195e-10,GATA3
1742|GATA2,3.5560272824191674e-10,GATA2
46358|PBX3,4.046639194378921e-10,PBX3
41742|SUMO2,4.741735761973186e-10,SUMO2
37608|MYH11,4.866567781662397e-10,MYH11
74642|TSC22D4,5.250189836708153e-10,TSC22D4
58506|WDR5,5.791489798040552e-10,WDR5
55294|WWTR1,1.08798421486633e-09,WWTR1
58936|NRF1,1.1752673436051324e-09,NRF1
62565|ZNF623,1.7439446516055074e-09,ZNF623
49481|RPE,2.1860168599123556e-09,RPE
63685|ZBTB8A,2.2918286653297093e-09,ZBTB8A
41831|ZBTB17,2.550744086820259e-09,ZBTB17
55895|T,2.78370234022121e-09,T
74052|NKX2-1,3.0881290105896674e-09,NKX2-1
74431|TFAP4,3.327867283016262e-09,TFAP4
72358|RUNX1,3.997510838443037e-09,RUNX1
73183|GRHL2,4.1304878558339986e-09,GRHL2
75838|MYOG,5.038022819260053e-09,MYOG
74545|CBFB,5.254485799809694e-09,CBFB
42947|HNF4A,5.564331081875534e-09,HNF4A
74381|IL1B,5.776330364708982e-09,IL1B
45869|RCOR1,6.400487222480614e-09,RCOR1
43684|KDM4C,8.072812794208932e-09,KDM4C
37185|IRF5,8.430016865790307e-09,IRF5
8820|RBBP5,9.166233824190635e-09,RBBP5
45750|E2F1,9.517810128071602e-09,E2F1
49466|598-SKD,1.0483128541087732e-08,598-SKD
76279|CALU,1.1622946816790364e-08,CALU
55321|FOXA2,1.2663615788326738e-08,FOXA2
63825|GLIS2,1.3665994253898182e-08,GLIS2
70803|TCF7L1,1.3948450773694146e-08,TCF7L1
63844|ZBTB33,1.556572137797487e-08,ZBTB33
63884|BCL3,1.853829138207872e-08,BCL3
65155|ZBTB48,2.0451939016808986e-08,ZBTB48
49036|ERCC6,2.1840774374645056e-08,ERCC6
50899|LHX2,2.280689227430815e-08,LHX2
2405|TRIM24,2.9241283788931322e-08,TRIM24
46239|HNF4G,3.3224328397543776e-08,HNF4G
64314|ZNF664,3.642821234017935e-08,ZNF664
46347|USF1,4.261470655076115e-08,USF1
8823|SUZ12,4.363355444130641e-08,SUZ12
36810|GREB1,6.022083222140507e-08,GREB1
55289|5MC,7.923768746234764e-08,5MC
46002|STAT3,8.213092056291583e-08,STAT3
45400|KDM1A,8.619852996820398e-08,KDM1A
77300|TRIM25,9.64204217480442e-08,TRIM25
73966|ZNF257,1.0902156173409371e-07,ZNF257
55290|5HMC,1.0906076023875812e-07,5HMC
64442|ZSCAN20,1.2359950037074085e-07,ZSCAN20
46350|FOXM1,1.2479097207696014e-07,FOXM1
46333|FOXP2,1.2693353713321997e-07,FOXP2
55779|CTCFL,1.276511338881679e-07,CTCFL
36026|HIRA,1.3214154727518117e-07,HIRA
68052|RELB,1.629127393758843e-07,RELB
64604|FEZF1,1.722134003457496e-07,FEZF1
77148|ZNF282,1.9812618740896016e-07,ZNF282
62701|PRDM1,2.0620143321970893e-07,PRDM1
38831|KLF5,2.1936228420298957e-07,KLF5
47599|GATA6,2.4667606496120483e-07,GATA6
