,0,TF
M00733|SMAD4,5.806815961306583e-11,SMAD4
MC00295|Esr1,1.1652126659563915e-09,Esr1
M00649|MAZ,1.6179440057621438e-09,MAZ
MS00111|NFKB2,2.498212350945417e-09,NFKB2
MA0116|Zfp423,2.740886105124923e-09,Zfp423
MC00192|ZNF263,2.853018425887655e-09,ZNF263
M01714|KLF15,4.498607688135627e-09,KLF15
M01733|MZF1,4.54945515030089e-09,MZF1
MC00335|ESR1,8.554074949353115e-09,ESR1
MA0163|PLAG1,1.2563033125825853e-08,PLAG1
MS00229|TFAP2B,1.3037586074402652e-08,TFAP2B
UP00021|Zfp281,1.3211579941951086e-08,Zfp281
MC00319|EGR2,1.5434394847833705e-08,EGR2
M01175|ZBTB7B,1.7558113586883077e-08,ZBTB7B
MC00358|Ebf1,4.148946803150406e-08,Ebf1
M01122|ZNF219,4.919652581073632e-08,ZNF219
M01109|ZNF589,5.1098973121319227e-08,ZNF589
MC00333|ESR2,6.206805929465118e-08,ESR2
UP00035|HIC1,7.08356813085203e-08,HIC1
M01744|ZFP42,7.897733357563545e-08,ZFP42
MS00246|SP8,8.326147924409426e-08,SP8
MS00240|Tcfap2a,9.373170170480012e-08,Tcfap2a
M00491|PATZ1,1.156529081954284e-07,PATZ1
MC00430|Egr2,1.1605061578748188e-07,Egr2
MA0155|INSM1,1.2197392028366287e-07,INSM1
MC00135|Rela,1.2257820589523402e-07,Rela
UP00088|PLAGL1,1.275529301161983e-07,PLAGL1
MC00376|ZBTB7A,1.4234461297757813e-07,ZBTB7A
MS00392|Foxg1,1.90483780145277e-07,Foxg1
MC00110|Klf1,2.398798280610054e-07,Klf1
M00468|KLF12,2.4818428913657907e-07,KLF12
MS00727|ZBTB49,2.5272702773373337e-07,ZBTB49
MC00468|AR,2.8146939772896696e-07,AR
M00378|PAX4,2.872557125678433e-07,PAX4
MS00146|KLF16,3.187639766659543e-07,KLF16
MS00567|EGR3,3.2846737252444455e-07,EGR3
MS00223|SP3,3.3528795125857254e-07,SP3
MS00512|Zfp740,4.4580280303572974e-07,Zfp740
M00706|GTF2I,4.842200070279244e-07,GTF2I
UP00102|ZIC1,5.091605165104743e-07,ZIC1
UP00006|Zic3,5.591434333017429e-07,Zic3
MS00789|Egr3,5.884422869946553e-07,Egr3
M00647|NR1H3,6.030799158914233e-07,NR1H3
MA0101|REL,6.441236050604061e-07,REL
MC00530|TFAP2A,6.620619822884285e-07,TFAP2A
MC00109|Klf4,6.854912926730169e-07,Klf4
UP00028|Tcfap2e,6.864353958004648e-07,Tcfap2e
MC00373|Mxi1,6.878139006882796e-07,Mxi1
MC00254|E2F6,7.02070334126699e-07,E2F6
