,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
49480|E2F4,5.5210265623006174e-40,Homo sapiens,E2F4,tf,None,Retinal pigment cell,None,1
36812|E2F4,1.6282870488299033e-37,Homo sapiens,E2F4,tf,MCF-7,Epithelium,Breast,1
542|E2F4,1.4167597586174358e-35,Homo sapiens,E2F4,tf,GM06990,B Lymphocyte,Blood,0
3225|E2F4,1.0149994089420942e-32,Homo sapiens,E2F4,tf,None,Adipocyte,Adipose,1
67455|E2F1,2.2623605255800484e-32,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
67458|E2F1,1.2610546943957854e-31,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
77534|TFDP1,2.6233478871383877e-31,Homo sapiens,TFDP1,tf,U266B1,None,None,1
36807|E2F4,2.671697378584901e-31,Homo sapiens,E2F4,tf,MCF-7,Epithelium,Breast,1
67459|E2F1,1.6839272960922857e-30,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
67454|E2F1,1.6270188172881333e-29,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
45617|E2F4,4.78081545176429e-28,Homo sapiens,E2F4,tf,GM12878,B Lymphocyte,Blood,1
67457|E2F1,7.541914688128005e-28,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
1880|RBL2,9.186848020219447e-28,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1
70860|E2F1,1.5478945976334217e-27,Homo sapiens,E2F1,tf,hTERT-RPE1,Epithelium,None,1
44340|E2F1,1.28251941380093e-26,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
1874|RBL2,1.304199439022879e-26,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1
1870|RB1,8.448704132245811e-25,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1
70962|E2F1,1.1948238593155254e-24,Homo sapiens,E2F1,tf,Raji,B Lymphocyte,Blood,1
62550|TFDP1,1.903487133759805e-24,Homo sapiens,TFDP1,tf,K562,Erythroblast,Bone Marrow,1
70857|E2F1,2.095478392788937e-24,Homo sapiens,E2F1,tf,U2OS,osteosarcoma,None,1
1878|RBL2,1.093014099201047e-23,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1
45752|E2F4,1.544932465104516e-23,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1
1872|RB1,1.697490644171331e-23,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1
67456|E2F1,2.8008401904870496e-23,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
1876|RBL2,7.568522311519378e-23,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,0
44332|E2F1,8.43274138222179e-23,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
2282|E2F1,1.0792117426404717e-22,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
77535|TFDP1,3.5879148953146187e-22,Homo sapiens,TFDP1,tf,MM1.S,B Lymphocyte,Blood,1
43572|RNF2,5.048781558188333e-22,Homo sapiens,RNF2,predicted transcription factor,None,Fibroblast,Foreskin,1
49417|RB1,9.378455839295428e-22,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1
45754|E2F1,1.4938393119771389e-21,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
1212|E2F1,1.6465180396975019e-21,Homo sapiens,E2F1,tf,HeLa,Epithelium,Cervix,1
