,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
49480|E2F4,8.272130561555972e-40,Homo sapiens,E2F4,tf,None,Retinal pigment cell,None,1,E2F4
67455|E2F1,9.396015498577252e-36,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1,E2F1
77534|TFDP1,3.974150789950148e-33,Homo sapiens,TFDP1,tf,U266B1,None,None,1,TFDP1
1874|RBL2,2.9614351393586576e-32,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
1872|RB1,9.507229953719286e-28,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1,RB1
43572|RNF2,2.0379911223687216e-25,Homo sapiens,RNF2,predicted transcription factor,None,Fibroblast,Foreskin,1,RNF2
72913|HDAC2,6.884626436021345e-22,Homo sapiens,HDAC2,cr,None,Cardiomyocyte,None,1,HDAC2
8658|HDAC1,4.5862980677382007e-20,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1,HDAC1
8482|KAT7,1.6737078467570442e-19,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1,KAT7
58506|WDR5,6.37646475206476e-19,Homo sapiens,WDR5,cr,BE2-C,Neuroblast,Brain,1,WDR5
41572|ING2,7.860190871000535e-19,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
38591|E2F7,2.2807985369921047e-18,Homo sapiens,E2F7,tf,IMR90,Fibroblast,Lung,1,E2F7
43684|KDM4C,2.919715909050468e-18,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
73714|AFF1,2.919715909050468e-18,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
71069|MBD3,3.6589559191335114e-18,Homo sapiens,MBD3,cr,HeLa,Epithelium,Cervix,1,MBD3
41574|BRD1,3.7346815927850605e-18,Homo sapiens,BRD1,cr,RKO,Epithelium,Colon,1,BRD1
63655|SIN3A,4.081100853707788e-18,Homo sapiens,SIN3A,tf,MCF-7,Epithelium,Breast,1,SIN3A
48824|MBD2,3.3489089121823006e-17,Homo sapiens,MBD2,cr,MCF-7,Epithelium,Breast,1,MBD2
45776|E2F6,9.983148125197111e-17,Homo sapiens,E2F6,tf,HeLa-S3,Epithelium,Cervix,1,E2F6
70093|TET2,1.0867033133537965e-16,Homo sapiens,TET2,cr,293T,None,None,1,TET2
58841|XRN2,1.4191196349347228e-16,Homo sapiens,XRN2,not sure,HEK293,Epithelium,Embryonic Kidney,1,XRN2
59170|SETD1A,1.7129167774713534e-16,Homo sapiens,SETD1A,predicted chromatin regulator,SEM,Pre-B Lymphocyte,None,1,SETD1A
53673|NIPBL,1.9623343665196352e-16,Homo sapiens,NIPBL,not sure,None,Embryonic Stem Cell,None,1,NIPBL
73716|KMT2A,2.1901803404983754e-16,Homo sapiens,KMT2A,not sure,SEM,B Lymphocyte,None,1,KMT2A
53346|CDK9,2.475765729090667e-16,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
50877|SPI1,2.6067158511999887e-16,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1,SPI1
45239|PHF8,4.24527026021548e-16,Homo sapiens,PHF8,cr,H1,Embryonic Stem Cell,Embryo,1,PHF8
8800|SAP30,1.05943985422752e-15,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
50163|TBP,1.8183656385654107e-15,Homo sapiens,TBP,tf,K562,Erythroblast,Bone Marrow,1,TBP
67532|BRD4,2.7784948410222555e-15,Homo sapiens,BRD4,cr,COLO-741,None,None,1,BRD4
74665|NRF1,3.560852885773643e-15,Homo sapiens,NRF1,tf,K562,Erythroblast,Bone Marrow,1,NRF1
36230|TTF2,4.130468749561248e-15,Homo sapiens,TTF2,tf,HEK293,Epithelium,Embryonic Kidney,1,TTF2
38183|MYC,4.448006046194191e-15,Homo sapiens,MYC,tf,MCF-7,Epithelium,Breast,1,MYC
46221|TAF1,6.5929534330898105e-15,Homo sapiens,TAF1,tf,HeLa-S3,Epithelium,Cervix,1,TAF1
35517|BCL6,7.271783106425475e-15,Homo sapiens,BCL6,predicted transcription factor,OCI-Ly1,B cell lymphoma,Bone Marrow,1,BCL6
72408|PARP1,8.369599515955663e-15,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
8816|KDM4A,9.748124991688507e-15,Homo sapiens,KDM4A,cr,H1,Embryonic Stem Cell,Embryo,1,KDM4A
