,0,TF
UP00001|E2F2,4.1815124921955254e-32,E2F2
MC00523|E2F4,6.340735877323045e-30,E2F4
MC00191|Nfya,9.933708847779124e-29,Nfya
M00736|E2F1::TFDP1,2.0720106847449965e-28,E2F1::TFDP1
MC00510|E2f3,1.1153737292676575e-27,E2f3
M00737|E2F1::TFDP2,6.246914131603799e-27,E2F1::TFDP2
UP00003|E2F3,7.694865428882788e-27,E2F3
UP00330|XBP1,1.0909123008508348e-26,XBP1
UP00084|Gmeb1,1.0855416378290977e-25,Gmeb1
MC00299|BRCA1,2.5941801250785453e-25,BRCA1
UP00065|Zfp161,3.306704473382638e-25,Zfp161
MS00534|CENPB,1.6631113196608102e-24,CENPB
MS00739|E2F8,1.713696187333043e-24,E2F8
MC00221|Tbx3,2.610284769247256e-24,Tbx3
MC00509|NR2C2,2.6535360672975732e-24,NR2C2
M00373|PAX4,3.881736284147663e-24,PAX4
M00695|TEAD2,9.241033685944354e-24,TEAD2
MC00418|ZBTB33,1.04286556929739e-23,ZBTB33
M01002|DEAF1,1.1490659441767014e-23,DEAF1
MS00815|E2F1,1.6841506908040035e-23,E2F1
M00332|FOXN1,1.760599951031202e-23,FOXN1
MC00113|SP1,2.054040153803817e-23,SP1
MS00174|RUNX2,5.152428930529462e-23,RUNX2
UP00423|Gm5454,6.302699865117007e-23,Gm5454
MC00207|ELK4,6.617717137319553e-23,ELK4
MC00158|E2f4,8.265379536739711e-23,E2f4
UP00412|Etv5,2.335047542254024e-22,Etv5
M00717|PAX8,9.401277929175446e-22,PAX8
MS00019|ETV5,1.0222734989872242e-21,ETV5
MC00144|Rfx1,3.752081943551312e-21,Rfx1
M01177|SREBF2,4.5948787516181216e-21,SREBF2
MS00079|HINFP1,9.701178477524895e-21,HINFP1
MC00254|E2F6,1.2591782117316869e-20,E2F6
MC00364|NFYA,1.6214165987007588e-20,NFYA
MS00301|ZBTB7A,2.6839222983107935e-20,ZBTB7A
MC00332|PAX5,2.7165505160858015e-20,PAX5
MC00391|ZNF143,4.9654312387972634e-20,ZNF143
M00486|PAX2,4.98799835889407e-20,PAX2
MC00427|ETV1,5.667325466016736e-20,ETV1
M01118|WT1,1.4059534300335375e-19,WT1
UP00038|Spdef,2.769041055005797e-19,Spdef
M01783|SP2,2.8476216851867613e-19,SP2
M01742|Zscan10,4.046979974798397e-19,Zscan10
MS00323|ZBTB7C,5.19238071370983e-19,ZBTB7C
M01243|MTF1,6.99161003838606e-19,MTF1
M01009|HES1,1.0456144827588066e-18,HES1
UP00094|Zfp128,1.2589323947021783e-18,Zfp128
MC00160|ETV3,1.2793507995351004e-18,ETV3
MC00333|ESR2,5.348852792251754e-18,ESR2
UP00006|Zic3,7.563887392598066e-18,Zic3
MC00457|ELF1,8.103297388548065e-18,ELF1
MC00502|HMGN1,9.972812122438696e-18,HMGN1
MS00334|ZIC1,1.10221774530695e-17,ZIC1
MS00357|ZIC4,1.1274407459797164e-17,ZIC4
MS00567|EGR3,1.451999940698597e-17,EGR3
M00341|GABPB1,1.7319205919933665e-17,GABPB1
MS00240|Tcfap2a,1.891118044813011e-17,Tcfap2a
M00327|PAX3,3.32934087016491e-17,PAX3
MS00035|GLIS2,4.780339446417248e-17,GLIS2
MS00346|ZIC3,5.0448011875383916e-17,ZIC3
MS00678|EGR4,6.011564287641887e-17,EGR4
MS00183|GMEB2,6.360324144248905e-17,GMEB2
MC00328|Zfx,7.611968998137844e-17,Zfx
M01104|Ovol2,8.01604097062532e-17,Ovol2
MC00367|GABPA,1.1051697860796246e-16,GABPA
UP00413|Elf4,1.1962010830939317e-16,Elf4
UP00057|ZIC2,1.4201280541162383e-16,ZIC2
UP00404|ELF2,1.7281069918262023e-16,ELF2
MS00756|E2F7,2.1769847242074997e-16,E2F7
UP00088|PLAGL1,3.324373381173762e-16,PLAGL1
MA0131|HINFP,9.274452997732387e-16,HINFP
M00139|AHR,1.0480387795531866e-15,AHR
MS00789|Egr3,1.2015472422606498e-15,Egr3
