,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
49480|E2F4,5.216126593716116e-44,Homo sapiens,E2F4,tf,None,Retinal pigment cell,None,1
542|E2F4,1.303458199450726e-41,Homo sapiens,E2F4,tf,GM06990,B Lymphocyte,Blood,0
44332|E2F1,9.797277196254112e-40,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
67454|E2F1,3.11247873063555e-39,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
3225|E2F4,5.406117330112674e-39,Homo sapiens,E2F4,tf,None,Adipocyte,Adipose,1
67457|E2F1,7.28527331584716e-39,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
36812|E2F4,7.863759918491478e-39,Homo sapiens,E2F4,tf,MCF-7,Epithelium,Breast,1
67455|E2F1,4.415095579938149e-38,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
67459|E2F1,2.2770513774119985e-37,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
36807|E2F4,2.3995661669624436e-37,Homo sapiens,E2F4,tf,MCF-7,Epithelium,Breast,1
44340|E2F1,3.3594909437433433e-37,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
45617|E2F4,7.2384749751392405e-37,Homo sapiens,E2F4,tf,GM12878,B Lymphocyte,Blood,1
67458|E2F1,5.855240704422541e-36,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
62550|TFDP1,3.530565652949974e-34,Homo sapiens,TFDP1,tf,K562,Erythroblast,Bone Marrow,1
44333|E2F1,5.044752324070376e-34,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
1874|RBL2,2.8041445147476194e-33,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1
67456|E2F1,4.430162908744524e-33,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
77534|TFDP1,5.1701528100301254e-33,Homo sapiens,TFDP1,tf,U266B1,None,None,1
70962|E2F1,1.1401009879161477e-32,Homo sapiens,E2F1,tf,Raji,B Lymphocyte,Blood,1
1880|RBL2,2.0751952362063667e-32,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1
49417|RB1,7.831449203756537e-32,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1
45752|E2F4,9.495146277831705e-32,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1
44328|E2F1,1.7725391986970183e-31,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
44339|E2F1,3.9119588958064818e-31,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
70860|E2F1,6.083754906274938e-31,Homo sapiens,E2F1,tf,hTERT-RPE1,Epithelium,None,1
62551|TFDP1,6.9671425376957445e-31,Homo sapiens,TFDP1,tf,K562,Erythroblast,Bone Marrow,1
70953|E2F1,7.4554532370644616e-31,Homo sapiens,E2F1,tf,Raji,B Lymphocyte,Blood,1
44336|E2F1,4.146496501597976e-30,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
44329|E2F1,9.538373575408493e-30,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
45754|E2F1,1.3029030886792423e-29,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
70857|E2F1,6.983182610601865e-29,Homo sapiens,E2F1,tf,U2OS,osteosarcoma,None,1
1878|RBL2,8.663868358965107e-29,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1
1876|RBL2,2.500181864889745e-28,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,0
41481|E2F1,4.329420786248148e-28,Homo sapiens,E2F1,tf,OCI-Ly1,B cell lymphoma,Bone Marrow,1
44321|E2F1,7.104361438102723e-28,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
77535|TFDP1,1.621511531035849e-27,Homo sapiens,TFDP1,tf,MM1.S,B Lymphocyte,Blood,1
1212|E2F1,2.9667805794360138e-27,Homo sapiens,E2F1,tf,HeLa,Epithelium,Cervix,1
44325|E2F1,5.37748684485191e-27,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
44337|E2F1,7.369516481646398e-27,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
56252|E2F1,2.54556275741005e-26,Homo sapiens,E2F1,tf,None,Epithelium,Mammary Gland,1
44317|E2F1,2.709066337553954e-26,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
2282|E2F1,3.106322812557216e-26,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
44324|E2F1,4.479882901926071e-26,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
75924|E2F1,5.039266245171923e-26,Homo sapiens,E2F1,tf,MM1.S,Multiple myeloma cell,None,1
44313|E2F1,1.202058107527234e-25,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
38731|TFDP1,1.6535879001287597e-25,Homo sapiens,TFDP1,tf,LoVo,None,Colon,1
44316|E2F1,3.1724050051599392e-24,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
45750|E2F1,3.573647340145394e-24,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
8658|HDAC1,5.0141720178910046e-24,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1
43572|RNF2,1.2233183778043726e-23,Homo sapiens,RNF2,predicted transcription factor,None,Fibroblast,Foreskin,1
73719|BRD4,4.5022705765235006e-23,Homo sapiens,BRD4,cr,SEM,B Lymphocyte,None,1
8657|HDAC1,4.9402875008984416e-23,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1
38585|TAF3,5.483626774768048e-23,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1
43684|KDM4C,1.0470330665387082e-22,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1
1870|RB1,1.2585667915975003e-22,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1
70812|SP1,2.740547731932066e-22,Homo sapiens,SP1,predicted chromatin regulator,HCT-116,Colon cancer cell,Colon,1
45991|E2F1,3.2325891547663575e-22,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
49416|RB1,4.468309576635207e-22,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1
44320|E2F1,5.119141951248543e-22,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
2280|E2F1,6.134849204755733e-22,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
72913|HDAC2,9.469648763719594e-22,Homo sapiens,HDAC2,cr,None,Cardiomyocyte,None,1
49877|WDR5,1.0478039285988464e-21,Homo sapiens,WDR5,cr,A673,Polygonal,Muscle,1
74432|TFAP4,1.1657781597663695e-21,Homo sapiens,TFAP4,,SNU175,Colorectal cancer cell line,None,1
70804|TCF7L1,1.1789361579503825e-21,Homo sapiens,TCF7L1,tf,HCT-116,Colon cancer cell,Colon,1
63739|E2F4,1.1789361579503825e-21,Homo sapiens,E2F4,tf,MCF-7,Epithelium,Breast,1
