,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
41574|BRD1,1.7536117113379073e-06,Homo sapiens,BRD1,cr,RKO,Epithelium,Colon,1
52091|TP53,2.5802617246507574e-06,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
52092|TP53,1.2662451073046992e-05,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
8482|KAT7,1.7698203941957284e-05,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1
1743|GATA2,2.1168308802893254e-05,Homo sapiens,GATA2,tf,None,Endothelial Cell,Umbilical Vein,1
55730|GATA1,8.79772190076479e-05,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1
50409|PPARG,0.00016582483365152313,Homo sapiens,PPARG,tf,hMADS-3,Adipocyte,Adipose,1
65125|PRDM6,0.000342577765330628,Homo sapiens,PRDM6,,HEK293,Epithelium,Embryonic Kidney,1
67502|GATA3,0.00034390530409958653,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1
45852|GATA2,0.0003574462169182216,Homo sapiens,GATA2,tf,None,Endothelial Cell,Umbilical Vein,1
67519|GATA3,0.00042311942928041635,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1
1336|RELA,0.000492365516245592,Homo sapiens,RELA,tf,HeLa,Epithelium,Cervix,1
35473|FOXA1,0.0004979606277827916,Homo sapiens,FOXA1,tf,NCI-H3122,None,Lung,1
53596|RELA,0.0006322765746228097,Homo sapiens,RELA,tf,None,Adipocyte,None,1
53598|RELA,0.0007113162648964091,Homo sapiens,RELA,tf,None,Adipocyte,None,1
1742|GATA2,0.0007218124994817558,Homo sapiens,GATA2,tf,None,Endothelial Cell,Umbilical Vein,1
59165|KMT2A,0.0009235464544237729,Homo sapiens,KMT2A,not sure,SEM,Pre-B Lymphocyte,None,1
67518|GATA3,0.0009301971178227099,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1
56901|PBX3,0.0009402556434135201,Homo sapiens,PBX3,tf,SMMC-7721,None,Liver,1
54127|CEBPB,0.0009956087333258994,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1
33137|FOXA1,0.001135252646469125,Homo sapiens,FOXA1,tf,MCF-7,Epithelium,Breast,1
54126|CEBPB,0.0011392644572253308,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1
47432|GATA6,0.0011636092916803027,Homo sapiens,GATA6,tf,LS174T,Epithelium,Colon,1
76496|BRPF3,0.001333818287263646,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1
59375|ESR1,0.0014051313663119886,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
56256|AR,0.0014051313663119886,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1
55729|GATA1,0.001454589822359112,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1
71168|AR,0.0015108254267809777,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1
33571|PR,0.0015907074818252002,Homo sapiens,PR,predicted transcription factor,AB32,Epithelium,Mammary Gland,1
1740|FOS,0.001601644449520928,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1
76494|BRPF3,0.0017148440468231,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1
50690|MED1,0.0018352809597142804,Homo sapiens,MED1,predicted transcription factor,hMADS-3,Adipocyte,Adipose,1
74147|GATA3,0.0018855723297810567,Homo sapiens,GATA3,tf,MCF-7,None,Breast,1
37094|AR,0.0019176371606686418,Homo sapiens,AR,tf,VCaP,Epithelium,Prostate,1
53986|ESR1,0.0019241092718235064,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
65106|ZNF384,0.001930601222278234,Homo sapiens,ZNF384,tf,HEK293,Epithelium,Embryonic Kidney,1
