,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
41574|BRD1,1.7536117113379071e-06,Homo sapiens,BRD1,cr,RKO,Epithelium,Colon,1,BRD1
52091|TP53,2.5802617246507574e-06,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
8482|KAT7,1.7698203941957284e-05,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1,KAT7
1743|GATA2,2.116830880289325e-05,Homo sapiens,GATA2,tf,None,Endothelial Cell,Umbilical Vein,1,GATA2
55730|GATA1,8.79772190076479e-05,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1,GATA1
50409|PPARG,0.00016582483365152313,Homo sapiens,PPARG,tf,hMADS-3,Adipocyte,Adipose,1,PPARG
65125|PRDM6,0.00034257776533062797,Homo sapiens,PRDM6,,HEK293,Epithelium,Embryonic Kidney,1,PRDM6
67502|GATA3,0.00034390530409958653,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1,GATA3
1336|RELA,0.000492365516245592,Homo sapiens,RELA,tf,HeLa,Epithelium,Cervix,1,RELA
35473|FOXA1,0.0004979606277827916,Homo sapiens,FOXA1,tf,NCI-H3122,None,Lung,1,FOXA1
59165|KMT2A,0.0009235464544237726,Homo sapiens,KMT2A,not sure,SEM,Pre-B Lymphocyte,None,1,KMT2A
56901|PBX3,0.0009402556434135199,Homo sapiens,PBX3,tf,SMMC-7721,None,Liver,1,PBX3
54127|CEBPB,0.0009956087333258994,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1,CEBPB
47432|GATA6,0.0011636092916803027,Homo sapiens,GATA6,tf,LS174T,Epithelium,Colon,1,GATA6
76496|BRPF3,0.001333818287263646,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1,BRPF3
59375|ESR1,0.0014051313663119886,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1,ESR1
56256|AR,0.0014051313663119886,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1,AR
33571|PR,0.0015907074818252002,Homo sapiens,PR,predicted transcription factor,AB32,Epithelium,Mammary Gland,1,PR
1740|FOS,0.001601644449520928,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1,FOS
50690|MED1,0.0018352809597142804,Homo sapiens,MED1,predicted transcription factor,hMADS-3,Adipocyte,Adipose,1,MED1
65106|ZNF384,0.001930601222278234,Homo sapiens,ZNF384,tf,HEK293,Epithelium,Embryonic Kidney,1,ZNF384
70815|SP1,0.002185249386373204,Homo sapiens,SP1,predicted chromatin regulator,HCT-116,Colon cancer cell,Colon,1,SP1
