,0,TF
MS00301|ZBTB7A,1.0158834422722356e-07,ZBTB7A
UP00095|Zfp691,3.4216526500655776e-07,Zfp691
UP00003|E2F3,3.800892602209357e-07,E2F3
UP00001|E2F2,4.3542895252146306e-07,E2F2
MC00182|E2F1,7.326388872791253e-07,E2F1
MS00567|EGR3,1.789184922026334e-06,EGR3
MC00158|E2f4,1.9218325583744636e-06,E2f4
MC00257|Pax5,2.1196849280145666e-06,Pax5
M01714|KLF15,2.2491262647152064e-06,KLF15
MS00843|GLI2,2.8168127526759644e-06,GLI2
MS00183|GMEB2,4.181202795492652e-06,GMEB2
M00491|PATZ1,4.339907619362337e-06,PATZ1
MS00173|RUNX2,6.133743851286982e-06,RUNX2
MC00132|TP73,7.027558310661783e-06,TP73
UP00010|Tcfap2b,8.356079974787134e-06,Tcfap2b
UP00086|IRF3,1.0083408837610516e-05,IRF3
UP00021|Zfp281,1.014528638046694e-05,Zfp281
M01742|Zscan10,1.1475048119474162e-05,Zscan10
MS00336|NFE2,1.222178585930042e-05,NFE2
MS00335|Mafb,1.346126311863179e-05,Mafb
M00717|PAX8,1.4706460007856923e-05,PAX8
M00378|PAX4,1.802867923503397e-05,PAX4
MS00146|KLF16,1.873907587798728e-05,KLF16
MS00228|TFAP2B,1.8995104934822726e-05,TFAP2B
MS00235|SP4,1.9858644178347395e-05,SP4
UP00330|XBP1,2.0237935907245454e-05,XBP1
MS00789|Egr3,2.2654772641255087e-05,Egr3
MA0073|RREB1,2.2841925686738356e-05,RREB1
UP00018|Irf4,2.3340904132510508e-05,Irf4
UP00065|Zfp161,2.41033104248439e-05,Zfp161
MS00678|EGR4,2.5441627150966995e-05,EGR4
MS00533|LBX2,2.5746879412861848e-05,LBX2
MS00110|NFKB1,2.7979886273189177e-05,NFKB1
MS00534|CENPB,2.853375257023086e-05,CENPB
MS00323|ZBTB7C,2.8826736970349484e-05,ZBTB7C
MC00254|E2F6,2.9112168815802197e-05,E2F6
M01002|DEAF1,3.0014298306738507e-05,DEAF1
M00490|BACH2,3.286581884803454e-05,BACH2
MS00124|KLF13,3.3183446684045096e-05,KLF13
M00665|SP3,3.391156384246893e-05,SP3
MS00114|NFIB,3.41643351194178e-05,NFIB
MS00100|MYBL1,4.110571520027065e-05,MYBL1
MC00134|Ppara,4.815943449852257e-05,Ppara
M00327|PAX3,4.86823989546618e-05,PAX3
MC00348|STAT1,4.888694979522948e-05,STAT1
UP00195|SIX3,5.018883987135778e-05,SIX3
MS00239|Tcfap2a,5.901027066101616e-05,Tcfap2a
MC00530|TFAP2A,5.9975035006304924e-05,TFAP2A
MC00510|E2f3,6.240788901544293e-05,E2f3
MA0163|PLAG1,6.521551212775284e-05,PLAG1
M01104|Ovol2,6.853052652749967e-05,Ovol2
MC00320|EGR1,7.136599053719836e-05,EGR1
UP00084|Gmeb1,7.336369689820534e-05,Gmeb1
M00143|PAX5,8.221844383474794e-05,PAX5
M00139|AHR,8.544085462862326e-05,AHR
MC00130|Pparg,8.572649028197515e-05,Pparg
MS00260|HEY2,8.936906044111212e-05,HEY2
MS00125|PAX6,9.743140124195169e-05,PAX6
MS00169|RFX5,0.00010192174409463019,RFX5
MC00430|Egr2,0.00010504182929824485,Egr2
MS00103|MYBL2,0.00010800511445225951,MYBL2
MC00319|EGR2,0.00011157856380616389,EGR2
M00733|SMAD4,0.0001175610769900582,SMAD4
MS00135|KLF14,0.00011929615940519028,KLF14
MS00312|ZBTB7B,0.0001227937088509989,ZBTB7B
