,coefficients,cell_line,cell_type,tissue
40836,-1.942982081392368,,Keratinocyte,Foreskin
45048,1.915164338216091,NHEK,Keratinocyte,Skin
44614,1.2531229193878022,,Fibroblast,
44941,1.1328727168127766,,Endothelial Cell,Umbilical Vein
45028,-0.6507702933686513,M059J,Glial Cell,Brain
40784,-0.6168403502032508,H1,Embryonic Stem Cell,Embryo
44966,0.5023455743949109,,Embryonic Fibroblast,Foreskin
40826,-0.31902088329757233,,,Psoas Muscle
45047,0.3030562943982974,NHEK,Keratinocyte,Skin
40696,0.24533431977627893,WI-38,Fibroblast,Embryonic Lung
45023,-0.14538814261451422,LHCN-M2,Myoblast,Skeletal Muscle
