,0,TF
MC00523|E2F4,8.28086922138958e-10,E2F4
M00449|ZIC2,3.126214360428898e-09,ZIC2
M00717|PAX8,3.991603625370972e-09,PAX8
MS00048|GCM1,4.1184439400163305e-09,GCM1
MS00207|TBX21,4.233853596018756e-09,TBX21
UP00038|Spdef,4.570096683310892e-09,Spdef
MS00211|TBX2,4.772896287246961e-09,TBX2
MC00328|Zfx,5.760460000428134e-09,Zfx
MS00778|EHF,7.617239220751927e-09,EHF
M01744|ZFP42,8.07851394477924e-09,ZFP42
MS00117|PAX1,1.2536363434612698e-08,PAX1
M00514|ATF4,1.3141526172627812e-08,ATF4
M01243|MTF1,1.4763467967239957e-08,MTF1
MA0145|Tcfcp2l1,2.279892877963629e-08,Tcfcp2l1
MS00024|GLIS1,2.6368620586005184e-08,GLIS1
M01067|GFI1,2.8893321691264027e-08,GFI1
MC00518|Tfcp2,3.056057113416611e-08,Tfcp2
MC00344|Hnf4a,3.3307985737042756e-08,Hnf4a
M01742|Zscan10,3.342067720984052e-08,Zscan10
MC00337|Ikzf3,4.039379360568687e-08,Ikzf3
MS00335|Mafb,4.5773175179573376e-08,Mafb
MC00304|FOXH1,5.2032733684738984e-08,FOXH1
MS00727|ZBTB49,5.4384410256678416e-08,ZBTB49
MS00398|Foxk1,5.963574174221544e-08,Foxk1
M00222|TCF3,6.04725187460483e-08,TCF3
MC00408|Myb,7.634305932195332e-08,Myb
MS00035|GLIS2,7.943736704168049e-08,GLIS2
UP00413|Elf4,8.341213971297987e-08,Elf4
MS00789|Egr3,8.575637057728241e-08,Egr3
MS00334|ZIC1,9.86826449194371e-08,ZIC1
MS00812|ELF3,1.0506934697583852e-07,ELF3
MS00019|ETV5,1.0517433976995149e-07,ETV5
M00143|PAX5,1.0715380731940188e-07,PAX5
MS00401|ZNF306,1.1161939702566322e-07,ZNF306
MS00567|EGR3,1.2157078519210131e-07,EGR3
MS00512|Zfp740,1.3003268491180466e-07,Zfp740
M01596|GLI3,1.7137579456833947e-07,GLI3
M01122|ZNF219,1.7993829807030138e-07,ZNF219
UP00052|Osr2,2.2293905599316016e-07,Osr2
MS00357|ZIC4,2.3055452559922503e-07,ZIC4
MS00103|MYBL2,2.4089331362898325e-07,MYBL2
UP00021|Zfp281,2.426895522138176e-07,Zfp281
MS00566|NKX2-3,2.6767769075110505e-07,NKX2-3
M01592|TFCP2L1,2.892854238522436e-07,TFCP2L1
M00737|E2F1::TFDP2,3.0742437746631613e-07,E2F1::TFDP2
MC00252|Rara,3.4253953131829364e-07,Rara
MC00342|YY1,3.4381906124966365e-07,YY1
M00695|TEAD2,3.5117988837437206e-07,TEAD2
MS00311|Creb3l2,3.568280799213409e-07,Creb3l2
MC00158|E2f4,3.7646682547998457e-07,E2f4
MS00726|PRDM4,3.836720436913975e-07,PRDM4
M00490|BACH2,3.900489140397181e-07,BACH2
MS00188|MGA,3.9693923094821343e-07,MGA
M00694|E4F1,4.03063044958049e-07,E4F1
M01037|GLI1,4.1173138349665595e-07,GLI1
MC00160|ETV3,4.326684829924423e-07,ETV3
MC00140|Stat3,4.663989830589069e-07,Stat3
MS00523|Zic3,4.691894713625934e-07,Zic3
MS00361|FOXG1,4.7047025162249294e-07,FOXG1
MS00383|FOXO4,4.963416994414685e-07,FOXO4
M00139|AHR,5.011697508264097e-07,AHR
M01714|KLF15,5.028525229703979e-07,KLF15
MS00678|EGR4,5.149412482388905e-07,EGR4
UP00088|PLAGL1,5.640244788571007e-07,PLAGL1
