,0,TF
MS00024|GLIS1,9.49282611158198e-13,GLIS1
MS00046|GLIS3,1.337086380136365e-12,GLIS3
MC00386|BCL6,2.9649614858727556e-12,BCL6
M00665|SP3,3.2666552657689376e-12,SP3
MC00125|Rest,1.4187636662192777e-11,Rest
MC00278|ETS1,1.4210553798018566e-11,ETS1
M01714|KLF15,1.819031843059425e-11,KLF15
M00695|TEAD2,3.742868069120253e-11,TEAD2
MC00252|Rara,6.401809010846196e-11,Rara
MS00235|SP4,9.831269834114896e-11,SP4
M00736|E2F1::TFDP1,1.1001418583129453e-10,E2F1::TFDP1
MS00445|ZNF740,2.2732389444348558e-10,ZNF740
MC00530|TFAP2A,3.147329567453197e-10,TFAP2A
MS00512|Zfp740,4.1638878043737453e-10,Zfp740
M00491|PATZ1,4.2457759292756457e-10,PATZ1
MS00567|EGR3,5.248282950625369e-10,EGR3
M01104|Ovol2,7.233816314437143e-10,Ovol2
MS00035|GLIS2,8.209298557450207e-10,GLIS2
MS00212|SP1,8.517051981270351e-10,SP1
MC00376|ZBTB7A,8.810619743747886e-10,ZBTB7A
MC00144|Rfx1,9.086935341305509e-10,Rfx1
M01118|WT1,1.3524683200562964e-09,WT1
MC00257|Pax5,1.7702263035123942e-09,Pax5
MC00158|E2f4,2.5301678868376716e-09,E2f4
M00518|PPARG::RXRA,2.6768830622402867e-09,PPARG::RXRA
MC00319|EGR2,2.7840711136559775e-09,EGR2
MS00146|KLF16,2.8664470294330586e-09,KLF16
UP00021|Zfp281,3.3801845042239337e-09,Zfp281
MC00427|ETV1,4.008367018377547e-09,ETV1
MS00678|EGR4,5.6895945898088005e-09,EGR4
MC00320|EGR1,6.039705946271709e-09,EGR1
MS00789|Egr3,6.935594521676827e-09,Egr3
MC00430|Egr2,9.180026288062915e-09,Egr2
M01175|ZBTB7B,9.453707029045707e-09,ZBTB7B
MC00182|E2F1,9.830531370959328e-09,E2F1
MC00109|Klf4,1.1621268946867648e-08,Klf4
M01177|SREBF2,1.252138976935292e-08,SREBF2
MS00843|GLI2,1.3135558172364489e-08,GLI2
M01122|ZNF219,1.3698287032345222e-08,ZNF219
MC00110|Klf1,1.489448805172501e-08,Klf1
MC00328|Zfx,1.6393693455493733e-08,Zfx
MS00090|HINFP1,2.0224762420425294e-08,HINFP1
MC00134|Ppara,2.0449483464210615e-08,Ppara
MC00187|Ctcf,2.092841176977114e-08,Ctcf
M00378|PAX4,2.2753657934127174e-08,PAX4
MS00346|ZIC3,2.9654710385156036e-08,ZIC3
M00143|PAX5,3.273803951036302e-08,PAX5
MC00510|E2f3,3.4008564408221167e-08,E2f3
MS00239|Tcfap2a,5.075597127213269e-08,Tcfap2a
MS00171|Rfx2,5.930468382492166e-08,Rfx2
UP00102|ZIC1,7.01408870870894e-08,ZIC1
MS00246|SP8,7.709650969421059e-08,SP8
MC00160|ETV3,8.516483847787423e-08,ETV3
UP00412|Etv5,9.153888947632366e-08,Etv5
MC00334|SIX5,1.0285665052027758e-07,SIX5
M00179|ATF2,1.1159358080679593e-07,ATF2
MC00142|PPARG,1.2951785663674515e-07,PPARG
UP00095|Zfp691,2.028042558409769e-07,Zfp691
MA0116|Zfp423,2.040303596851772e-07,Zfp423
MC00299|BRCA1,2.0611254278896828e-07,BRCA1
MC00367|GABPA,2.490388593358715e-07,GABPA
MC00374|TFAP2C,3.0096215120009315e-07,TFAP2C
UP00093|Klf7,3.019501985604085e-07,Klf7
MC00448|Nr1h2,3.2738420575351873e-07,Nr1h2
MC00418|ZBTB33,3.382191628170157e-07,ZBTB33
UP00006|Zic3,3.5366498350533475e-07,Zic3
M01009|HES1,3.554195668563317e-07,HES1
M00644|UBP1,3.6031732766409604e-07,UBP1
MS00357|ZIC4,3.6637078347242426e-07,ZIC4
MS00135|KLF14,4.0990140211179584e-07,KLF14
M01002|DEAF1,4.2905920949545053e-07,DEAF1
M00733|SMAD4,4.624251751144286e-07,SMAD4
MC00502|HMGN1,4.737018230421548e-07,HMGN1
UP00010|Tcfap2b,4.7410332187073353e-07,Tcfap2b
MA0163|PLAG1,5.124910668711696e-07,PLAG1
MC00457|ELF1,5.307543983064478e-07,ELF1
MS00118|PAX2,5.432800729190815e-07,PAX2
MC00221|Tbx3,6.025805833099722e-07,Tbx3
MA0073|RREB1,6.414742984052165e-07,RREB1
MC00254|E2F6,6.80807915648439e-07,E2F6
MC00509|NR2C2,6.865646322522864e-07,NR2C2
MS00834|ELF4,7.173002387590525e-07,ELF4
MS00229|TFAP2B,8.031205111011664e-07,TFAP2B
MS00326|MAFF,9.51558926345878e-07,MAFF
MS00162|RFX2,1.001877636014324e-06,RFX2
MC00391|ZNF143,1.0334999681734415e-06,ZNF143
UP00423|Gm5454,1.1911503838916977e-06,Gm5454
MS00101|Hic1,1.2420275160108691e-06,Hic1
M00514|ATF4,1.3479229256202472e-06,ATF4
M00139|AHR,1.4104796819364025e-06,AHR
MS00111|NFKB2,1.5608686620393152e-06,NFKB2
MS00124|KLF13,1.597730829028248e-06,KLF13
UP00024|Glis2,1.6594367503748818e-06,Glis2
MC00518|Tfcp2,1.8252396692581097e-06,Tfcp2
UP00088|PLAGL1,1.8365737489734846e-06,PLAGL1
MA0145|Tcfcp2l1,2.023651153017765e-06,Tcfcp2l1
MS00021|ETV6,2.093190757258207e-06,ETV6
MC00468|AR,2.218686449858464e-06,AR
UP00028|Tcfap2e,2.391039115230279e-06,Tcfap2e
UP00057|ZIC2,2.446833730551237e-06,ZIC2
M00341|GABPB1,2.5168929492765157e-06,GABPB1
UP00065|Zfp161,2.526537904546239e-06,Zfp161
MS00182|GMEB2,2.827966816085606e-06,GMEB2
MC00140|Stat3,3.3162720780412963e-06,Stat3
MS00534|CENPB,3.5009474473615845e-06,CENPB
MC00333|ESR2,3.5118299809943226e-06,ESR2
M01105|ZNF350,3.515918145669019e-06,ZNF350
M00649|MAZ,3.548578368209134e-06,MAZ
UP00056|RFX4,4.6238145692596574e-06,RFX4
UP00330|XBP1,4.691114169106547e-06,XBP1
MS00157|Klf12,4.704774812013074e-06,Klf12
UP00084|Gmeb1,4.963686195681631e-06,Gmeb1
UP00038|Spdef,5.109496334270595e-06,Spdef
MS00331|MAFK,5.544207685112629e-06,MAFK
M00332|FOXN1,5.866123773983283e-06,FOXN1
MS00685|RORA,6.05623339551008e-06,RORA
M00444|VDR,6.558290488373847e-06,VDR
M00632|GATA4,7.4363703113496095e-06,GATA4
MC00477|ZNF711,8.135786803238902e-06,ZNF711
UP00087|Tcfap2c,8.352554444637165e-06,Tcfap2c
M01742|Zscan10,8.557001219033673e-06,Zscan10
M01592|TFCP2L1,9.028268986600935e-06,TFCP2L1
UP00066|HNF4A,1.154229966147287e-05,HNF4A
M01783|SP2,1.1726773929542422e-05,SP2
M00500|STAT6,1.1731717086847274e-05,STAT6
MA0131|HINFP,1.236865969996224e-05,HINFP
M00694|E4F1,1.2640713340584612e-05,E4F1
MC00473|ATF3,1.3296253870823253e-05,ATF3
MA0155|INSM1,1.3972028054539306e-05,INSM1
MC00523|E2F4,1.5639393946684092e-05,E2F4
UP00001|E2F2,1.5934402295604913e-05,E2F2
MS00684|RARG,1.7062937290900977e-05,RARG
MS00050|GCM2,1.7419037396345393e-05,GCM2
MC00170|PGR,2.160556291316831e-05,PGR
MC00203|RFX3,2.16711585323709e-05,RFX3
UP00418|Etv6,2.2783537577632683e-05,Etv6
MC00342|YY1,2.2972930342064996e-05,YY1
MC00512|Esrrb,2.402804689620146e-05,Esrrb
MS00333|Mafb,2.4427745995518385e-05,Mafb
MS00694|RXRG,2.5860658849943027e-05,RXRG
M00648|MAF,3.356558243713353e-05,MAF
UP00003|E2F3,3.569007818059146e-05,E2F3
MC00168|ERG,4.006364193778739e-05,ERG
M00717|PAX8,4.0388591758641654e-05,PAX8
MC00439|TP63,4.061460533565467e-05,TP63
MS00308|CREB3,4.099664313522175e-05,CREB3
UP00031|Zbtb3,4.33931338470581e-05,Zbtb3
MC00305|Sox6,4.4087266642951506e-05,Sox6
MC00348|STAT1,4.445013017134893e-05,STAT1
M00468|KLF12,4.7035482940730476e-05,KLF12
MS00662|NR3C2,5.4498930640646854e-05,NR3C2
MS00048|GCM1,5.829677575177101e-05,GCM1
MS00304|CREB3L1,5.966775765437765e-05,CREB3L1
MC00130|Pparg,6.262109354035161e-05,Pparg
MS00256|HES7,6.40762746755377e-05,HES7
MS00207|TBX21,6.668893576585732e-05,TBX21
MS00778|EHF,8.143162843570846e-05,EHF
MS00338|NRL,8.203561676181595e-05,NRL
M00115|CNTN2::CREB1,8.307064898236354e-05,CNTN2::CREB1
UP00011|IRF6,8.435236832509786e-05,IRF6
M01037|GLI1,8.573559344770159e-05,GLI1
UP00035|HIC1,8.590911884079198e-05,HIC1
MS00040|SPIC,8.896313776439315e-05,SPIC
M01067|GFI1,8.988649915538905e-05,GFI1
MS00285|TCF4,9.050064017703239e-05,TCF4
M00647|NR1H3,9.34047407274746e-05,NR1H3
MS00019|ETV5,9.690513456580963e-05,ETV5
M00749|SREBF1,0.00010416768105875558,SREBF1
MC00281|PBX3,0.00011064718489913786,PBX3
MC00414|Atoh1,0.00011094850572122507,Atoh1
MS00247|BHLHB2,0.00011338467759236759,BHLHB2
M00490|BACH2,0.00011756818258926175,BACH2
MS00392|Foxg1,0.00011834066932595022,Foxg1
MS00401|ZNF306,0.00012302213897159804,ZNF306
MS00022|Elf5,0.00012571396290070942,Elf5
MS00727|ZBTB49,0.00013038567227009157,ZBTB49
MS00267|MNT,0.00014101372040914217,MNT
MC00192|ZNF263,0.00014466105717997533,ZNF263
M01744|ZFP42,0.0001451133126679922,ZFP42
MS00729|ZNF282,0.00014910122197392907,ZNF282
MS00248|BHLHB3,0.00015150532125397735,BHLHB3
MC00163|Creb1,0.00016182339472157388,Creb1
MC00224|EPAS1,0.00016195664113092913,EPAS1
MC00128|CTCF,0.00017287637928800205,CTCF
MS00264|MESP1,0.00017486734860638767,MESP1
M01288|NEUROD1,0.00017536065882031512,NEUROD1
MC00453|STAT5A,0.00018383960220178048,STAT5A
M01132|SF1,0.0001932806109291494,SF1
MC00385|Ets1,0.00020190982949248076,Ets1
MS00668|Nr2e1,0.00020403325232235483,Nr2e1
M00979|PAX6,0.0002043958421318463,PAX6
MS00327|MAFG,0.0002066405601858983,MAFG
MS00252|Bhlhb2,0.00020893554019262947,Bhlhb2
UP00404|ELF2,0.00020935150040473973,ELF2
MS00323|ZBTB7C,0.00021058397772177266,ZBTB7C
M00467|ZNF423,0.0002172207709882327,ZNF423
M00294|Foxf1a,0.00021847848310200057,Foxf1a
M01241|GTF2IRD1,0.00024495756788642914,GTF2IRD1
M00737|E2F1::TFDP2,0.0002633235659577628,E2F1::TFDP2
MC00183|Snai1,0.0002642115064466404,Snai1
M00483|ATF6,0.0002645041074688181,ATF6
MC00458|TAL1,0.0002809633718676218,TAL1
MC00372|Yy1,0.00028777827009220564,Yy1
UP00000|SMAD3,0.00031056115831987896,SMAD3
M00327|PAX3,0.00032716313366859003,PAX3
MS00289|TFEB,0.0003279637907305094,TFEB
MS00128|PAX9,0.00033219359533618475,PAX9
MS00299|CEBPD,0.00043171888884722346,CEBPD
UP00081|Mybl1,0.000442787025903782,Mybl1
M01733|MZF1,0.00047915174100418784,MZF1
M01069|GZF1,0.0004886193017917197,GZF1
MS00065|IRF4,0.0005035277107940105,IRF4
MS00018|ETV4,0.0005165263323095164,ETV4
MC00355|SRF,0.0005258426147235066,SRF
MC00476|Rarg,0.0005375757919633272,Rarg
