,0,TF
MS00183|GMEB2,4.715373051788268e-13,GMEB2
M00717|PAX8,1.9282372113180638e-12,PAX8
MS00815|E2F1,2.5998277402031145e-12,E2F1
MC00523|E2F4,3.4328001631264687e-12,E2F4
M00695|TEAD2,4.317084134399756e-12,TEAD2
UP00330|XBP1,5.674355047199701e-12,XBP1
MC00158|E2f4,7.31532590534903e-12,E2f4
MC00408|Myb,1.5012418795769177e-11,Myb
M01742|Zscan10,2.7383756355700863e-11,Zscan10
MS00124|KLF13,3.06951417624962e-11,KLF13
MS00567|EGR3,3.919027071367691e-11,EGR3
MS00678|EGR4,8.422179656255001e-11,EGR4
MC00510|E2f3,1.169710099230253e-10,E2f3
M00327|PAX3,2.403782390050225e-10,PAX3
UP00003|E2F3,3.5263529538286935e-10,E2F3
UP00412|Etv5,3.568223710467788e-10,Etv5
MS00534|CENPB,4.096855082227283e-10,CENPB
MC00262|ARNT,8.673218281307075e-10,ARNT
UP00404|ELF2,9.126714030404762e-10,ELF2
UP00092|MYB,9.550762791696566e-10,MYB
MA0131|HINFP,1.2901228183734947e-09,HINFP
UP00081|Mybl1,1.3054886157138833e-09,Mybl1
MS00090|HINFP1,1.4645251153622335e-09,HINFP1
MA0014|PAX5,1.8623894912934865e-09,PAX5
UP00065|Zfp161,2.003389798489561e-09,Zfp161
MC00427|ETV1,2.130058652389321e-09,ETV1
MS00308|CREB3,2.161929563981518e-09,CREB3
M00737|E2F1::TFDP2,2.199228818779252e-09,E2F1::TFDP2
MC00140|Stat3,2.4703050639743686e-09,Stat3
MS00023|Elk3,3.0158209548796753e-09,Elk3
M01248|NR0B1,3.655686457257957e-09,NR0B1
MC00364|NFYA,4.013846619058447e-09,NFYA
MS00157|Klf12,4.040311575918294e-09,Klf12
M01002|DEAF1,4.22219396989045e-09,DEAF1
MC00376|ZBTB7A,4.268670210408672e-09,ZBTB7A
MS00117|PAX1,4.770237095230956e-09,PAX1
MC00191|Nfya,4.791967282726946e-09,Nfya
MS00843|GLI2,5.025077358782076e-09,GLI2
MC00221|Tbx3,5.53353470210301e-09,Tbx3
MS00626|VSX1,6.507571987405411e-09,VSX1
MC00316|HIF1A,7.326885937616745e-09,HIF1A
MC00509|NR2C2,7.463615649130864e-09,NR2C2
UP00057|ZIC2,7.810668792460972e-09,ZIC2
M01241|GTF2IRD1,8.807236262924848e-09,GTF2IRD1
MC00252|Rara,9.284411020553603e-09,Rara
MS00025|FEV,9.892820237345549e-09,FEV
MC00113|SP1,1.066022507499879e-08,SP1
MS00100|MYBL1,1.2443308899744888e-08,MYBL1
MC00391|ZNF143,1.424830906855624e-08,ZNF143
MS00174|RUNX2,1.5197720609026448e-08,RUNX2
MC00207|ELK4,1.5571584615176986e-08,ELK4
MS00135|KLF14,1.717406502172044e-08,KLF14
M00736|E2F1::TFDP1,1.958553727758231e-08,E2F1::TFDP1
MC00299|BRCA1,2.0743791467145413e-08,BRCA1
MS00789|Egr3,2.3463866529837887e-08,Egr3
UP00000|SMAD3,3.003655418037117e-08,SMAD3
UP00001|E2F2,3.1452177562204e-08,E2F2
M01334|Nkx1-1,3.6046593791722084e-08,Nkx1-1
UP00184|Lhx8,3.6121286960035713e-08,Lhx8
UP00413|Elf4,3.8412961715391e-08,Elf4
UP00088|PLAGL1,4.581172493459747e-08,PLAGL1
MS00268|YY2,5.0259459291302443e-08,YY2
MC00278|ETS1,5.618701490697075e-08,ETS1
M00373|PAX4,5.6920058450667064e-08,PAX4
MC00418|ZBTB33,5.896611512474541e-08,ZBTB33
UP00084|Gmeb1,7.115113062100923e-08,Gmeb1
M01783|SP2,7.243150609539923e-08,SP2
UP00006|Zic3,7.355220539521628e-08,Zic3
MS00235|SP4,8.727449486733746e-08,SP4
MS00160|PROX1,9.828719096498538e-08,PROX1
MS00207|TBX21,1.1804144217135846e-07,TBX21
M00332|FOXN1,1.1806767627178202e-07,FOXN1
MC00183|Snai1,1.200861772333171e-07,Snai1
