,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
67455|E2F1,1.670356287564445e-55,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1,E2F1
45752|E2F4,2.229088628254052e-52,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1,E2F4
77534|TFDP1,2.959383384698949e-45,Homo sapiens,TFDP1,tf,U266B1,None,None,1,TFDP1
1874|RBL2,5.233899644135871e-41,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
2684|PHF8,4.264143573616151e-34,Homo sapiens,PHF8,cr,SH-SY5Y,None,Bone Marrow,1,PHF8
55465|NELFA,1.5638929840173074e-31,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
56961|GTF2B,3.446150801591001e-31,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
36234|XRN2,8.913580834946402e-31,Homo sapiens,XRN2,not sure,HEK293,Epithelium,Embryonic Kidney,1,XRN2
49416|RB1,3.0238382594043683e-30,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1,RB1
9216|POLR2B,1.2319979396338153e-29,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1,POLR2B
51103|CHD8,1.8495277591959302e-29,Homo sapiens,CHD8,cr,None,Neural Stem Cell,None,1,CHD8
43305|CDK6,4.509969514571058e-28,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
73713|AFF1,9.88205944689864e-28,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
36230|TTF2,1.2535428904029727e-27,Homo sapiens,TTF2,tf,HEK293,Epithelium,Embryonic Kidney,1,TTF2
5968|MYC,1.3533960920928508e-27,Homo sapiens,MYC,tf,BL-41,B Lymphocyte,Blood,0,MYC
45776|E2F6,2.7525422699937497e-27,Homo sapiens,E2F6,tf,HeLa-S3,Epithelium,Cervix,1,E2F6
52436|WDR5,7.765902762540498e-27,Homo sapiens,WDR5,cr,HEK293,Epithelium,Embryonic Kidney,1,WDR5
43066|BRD4,1.2285106823257356e-26,Homo sapiens,BRD4,cr,HEK293T,Epithelium,Embryonic Kidney,1,BRD4
38585|TAF3,3.2046592680420114e-26,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
8658|HDAC1,6.633964368684632e-26,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1,HDAC1
46162|TAF1,6.817311479905347e-26,Homo sapiens,TAF1,tf,GM12892,Lymphoblastoid,Blood,1,TAF1
52092|TP53,7.904440797764973e-26,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
75942|KDM1A,2.1957669095854717e-25,Homo sapiens,KDM1A,cr,PC-3M-luc,None,Prostate,1,KDM1A
53076|RBP2,3.7062520963824626e-25,Homo sapiens,RBP2,other,U937,None,Pleura,1,RBP2
41572|ING2,8.183569075437748e-25,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
32814|MAX,8.62436914628971e-25,Homo sapiens,MAX,tf,P493-6,B cell lymphoma,None,1,MAX
48999|AFF4,1.0250168769147204e-24,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
48824|MBD2,1.5243662612657358e-24,Homo sapiens,MBD2,cr,MCF-7,Epithelium,Breast,1,MBD2
43105|RBPJ,1.8334257174494016e-24,Homo sapiens,RBPJ,tf,CUTLL1,T Lymphocyte,Blood,1,RBPJ
51750|FOXP1,1.842211545772462e-24,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
73696|LEO1,2.1981486660990114e-24,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1,LEO1
43104|NOTCH1,2.4989740005170496e-24,Homo sapiens,NOTCH1,both predicted transcription factor and chromatin regulator,CUTLL1,T Lymphocyte,Blood,1,NOTCH1
74347|NEUROD1,4.122428686035955e-24,Homo sapiens,NEUROD1,tf,D-341,None,None,1,NEUROD1
46329|SIN3A,5.0441863084241686e-24,Homo sapiens,SIN3A,tf,PANC-1,None,Pancreas,1,SIN3A
43081|CDK9,5.6487100804783934e-24,Homo sapiens,CDK9,tf,HEK293T,Epithelium,Embryonic Kidney,1,CDK9
50876|SPI1,6.957521177386768e-24,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1,SPI1
34392|MECP2,8.319386183148195e-24,Homo sapiens,MECP2,cr,IMR90,Fibroblast,Lung,1,MECP2
46278|ETS1,1.6074221880867164e-23,Homo sapiens,ETS1,tf,K562,Erythroblast,Bone Marrow,1,ETS1
56353|CDK8,1.8674931487330355e-23,Homo sapiens,CDK8,tf,MOLM-14,Myeloid Cell,None,1,CDK8
72913|HDAC2,2.80985326475542e-23,Homo sapiens,HDAC2,cr,None,Cardiomyocyte,None,1,HDAC2
72407|PARP1,2.9653100940273e-23,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
53324|NELFE,3.101481325310051e-23,Homo sapiens,NELFE,not sure,HeLa,Epithelium,Cervix,1,NELFE
38724|GMEB2,3.337915450606045e-23,Homo sapiens,GMEB2,tf,LoVo,None,Colon,1,GMEB2
68635|KMT2D,3.73717631336552e-23,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
70731|FOXK1,4.4834524325842474e-23,Homo sapiens,FOXK1,tf,HEK293,HEK 293 Cell Line,None,1,FOXK1
74838|JMJD6,9.08410366455552e-23,Homo sapiens,JMJD6,cr,None,3565 cells,None,1,JMJD6
39460|FOXM1,1.0741075237061408e-22,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1,FOXM1
50892|RELA,1.3087601618996394e-22,Homo sapiens,RELA,tf,None,None,None,1,RELA
36226|DCP1A,1.7801925361085356e-22,Homo sapiens,DCP1A,tf,HEK293,Epithelium,Embryonic Kidney,1,DCP1A
64039|HBP1,6.410902364513501e-22,Homo sapiens,HBP1,tf,HepG2,Epithelium,Liver,1,HBP1
49481|RPE,6.826967224815969e-22,Homo sapiens,RPE,other,None,Retinal pigment cell,None,1,RPE
74202|BRD2,1.0642103952275363e-21,Homo sapiens,BRD2,predicted chromatin regulator,None,None,Pontine,1,BRD2
43110|MED1,1.2705986472463984e-21,Homo sapiens,MED1,predicted transcription factor,CUTLL1,T Lymphocyte,Blood,1,MED1
64107|KDM4B,1.5059916989818466e-21,Homo sapiens,KDM4B,cr,K562,Erythroblast,Bone Marrow,1,KDM4B
5195|YY1,2.2123926220617776e-21,Homo sapiens,YY1,tf,None,T Lymphocyte,Blood,1,YY1
8800|SAP30,2.2234067964855564e-21,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
42212|STAT3,2.3263715277888863e-21,Homo sapiens,STAT3,tf,OCI-Ly10,B Lymphocyte,Bone Marrow,1,STAT3
73984|CD34,2.575390655885291e-21,Homo sapiens,CD34,other,None,None,Thymus,1,CD34
1219|GATAD1,3.1943522655748773e-21,Homo sapiens,GATAD1,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,GATAD1
52170|PRDM11,4.670436497384951e-21,Homo sapiens,PRDM11,tf,U-2932,B Lymphocyte,None,1,PRDM11
76682|ASXL1,5.231542362104682e-21,Homo sapiens,ASXL1,tf,HEK293,None,None,1,ASXL1
49021|CPSF3L,5.262735382907387e-21,Homo sapiens,CPSF3L,other,HeLa,Epithelium,Cervix,1,CPSF3L
46136|GABPA,8.330044200226633e-21,Homo sapiens,GABPA,tf,GM12878,B Lymphocyte,Blood,1,GABPA
53323|INTS3,8.482891645012654e-21,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
49494|CDK7,1.0082680225408662e-20,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1,CDK7
46195|TAF7,1.9373281067573206e-20,Homo sapiens,TAF7,predicted transcription factor,H1,Embryonic Stem Cell,Embryo,1,TAF7
76520|BPTF,2.184884079494143e-20,Homo sapiens,BPTF,tf,None,Erythroid Cell,None,1,BPTF
3038|CREBBP,2.3056990469875686e-20,Homo sapiens,CREBBP,cr,None,T Lymphocyte,Blood,1,CREBBP
8794|RBBP5,4.149498370907851e-20,Homo sapiens,RBBP5,cr,K562,Erythroblast,Bone Marrow,1,RBBP5
55664|PAF1,4.171897211446816e-20,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
59170|SETD1A,4.2916362073447183e-20,Homo sapiens,SETD1A,predicted chromatin regulator,SEM,Pre-B Lymphocyte,None,1,SETD1A
43050|BRD3,5.413504387965592e-20,Homo sapiens,BRD3,predicted chromatin regulator,MM1.S,B Lymphocyte,Blood,1,BRD3
5570|POLR2M,5.904828190480809e-20,Homo sapiens,POLR2M,tf,HeLa,Epithelium,Cervix,1,POLR2M
76673|ZMYND8,7.224085668932576e-20,Homo sapiens,ZMYND8,cr,DU145,Epithelium,Prostate,1,ZMYND8
3273|GATA1,8.32204516819185e-20,Homo sapiens,GATA1,tf,None,Proerythroblast,Bone Marrow,1,GATA1
69203|TRIM24,8.443538731199466e-20,Homo sapiens,TRIM24,both predicted transcription factor and chromatin regulator,LNCaP,Epithelium,Prostate,0,TRIM24
56048|CREB1,8.688264659994881e-20,Homo sapiens,CREB1,tf,HepG2,Epithelium,Liver,1,CREB1
37621|CBFB,8.781178012327617e-20,Homo sapiens,CBFB,predicted transcription factor,U937,None,Pleura,1,CBFB
53325|SUPT5H,1.131632981118004e-19,Homo sapiens,SUPT5H,tf,HeLa,Epithelium,Cervix,1,SUPT5H
46306|THAP1,1.4091726098764364e-19,Homo sapiens,THAP1,tf,K562,Erythroblast,Bone Marrow,1,THAP1
70095|TET2,1.7664844683817788e-19,Homo sapiens,TET2,cr,293T,None,None,1,TET2
41574|BRD1,1.8037234039451202e-19,Homo sapiens,BRD1,cr,RKO,Epithelium,Colon,1,BRD1
58809|MAF,1.8214004288395506e-19,Homo sapiens,MAF,tf,None,Th2,None,1,MAF
43400|XBP1,2.5699467679683264e-19,Homo sapiens,XBP1,tf,T47D,Epithelium,Mammary Gland,1,XBP1
43684|KDM4C,2.833660470476398e-19,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
63884|BCL3,3.247496679728601e-19,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
46307|PML,3.376018397957353e-19,Homo sapiens,PML,tf,MCF-7,Epithelium,Breast,1,PML
45767|HCFC1,4.349417300045232e-19,Homo sapiens,HCFC1,tf,HeLa-S3,Epithelium,Cervix,1,HCFC1
46140|TCF7L1,4.901194889369936e-19,Homo sapiens,TCF7L1,tf,GM12878,B Lymphocyte,Blood,1,TCF7L1
42712|E2F3,7.420789845922064e-19,Homo sapiens,E2F3,tf,LoVo,None,Colon,1,E2F3
63097|SMAD5,9.106569202535343e-19,Homo sapiens,SMAD5,tf,GM12878,B Lymphocyte,Blood,1,SMAD5
8482|KAT7,1.1294528604388675e-18,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1,KAT7
55344|SUMO2,1.1684663143798195e-18,Homo sapiens,SUMO2,other,K562,Erythroblast,Bone Marrow,1,SUMO2
