,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
67455|E2F1,0.00000000000000000000000000000000000000000000000000000050110688626933353428130727510814266542902432347120655907693163211064479318727380157179057838790346777302200189631772675492995179469111383461481170389413350165669320943177452286140325928308761614131137,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
67458|E2F1,0.0000000000000000000000000000000000000000000000000000013326443670243372664654826409265818659466601929788565627900600900243109600254748519266872276479877204504747015292889889288503166565696745598023959771395474171993191779012103587113275284875163281874339,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
45752|E2F4,0.00000000000000000000000000000000000000000000000000066872658847621559221178524150181165087542122369406680519531589343574943926663790098528942162082079353268757019354587427956674323033962080990361975302189455121024206982400424752309819481280737704368283,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1
67454|E2F1,0.0000000000000000000000000000000000000000000000001271206842419672977399754702264706856286953018628810779798956307235749068028347902697118837394786239239604813086129573159384862012105511099299593438944962584532435528322113302153491640006912990512278,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
67457|E2F1,0.0000000000000000000000000000000000000000000000016758891763171587166767269206880098560893031064615849426538140177936316308239703163892539600123405358321523877247990134265405208915434615115520092332790721849201699653016277375947312085494550013625816,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
3225|E2F4,0.0000000000000000000000000000000000000000000000018245367707288983916793124629462599599484090290498695894270891275038301843025963639762683927998023473173749844201317696215183866546622969199322846105965034385403284788029370777978872898538109056747449,Homo sapiens,E2F4,tf,None,Adipocyte,Adipose,1
67459|E2F1,0.000000000000000000000000000000000000000000000032561375204570787185864271939623993514146204296459882859199299540784775646446500774842518456789414453883819989559723248219179083915878464929100766672509109248485000080467274743915615452652778957741966,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
49480|E2F4,0.00000000000000000000000000000000000000000000038229315131200521732989633351165488493278610051292127306500670420469454189788960130293531183889313685888984445854706652217812868301250068259504680736369160809692662101373589439345587312106633162392991,Homo sapiens,E2F4,tf,None,Retinal pigment cell,None,1
67456|E2F1,0.00000000000000000000000000000000000000000000085047881842512148618041593516341315025088407509069916428072429897426952971824894560896229977460704028424029934814070111175019844838078488640362857037484564147732330758123118901085488193343578800585012,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
77534|TFDP1,0.0000000000000000000000000000000000000000000088781501540968467136946012687743734148197221091373419235405020736128598605916173403426265130974691494934568324559007523060796099264938526824285764310254824238351468037551382428475485352732209868969411,Homo sapiens,TFDP1,tf,U266B1,None,None,1
