,0,TF
M00736|E2F1::TFDP1,3.2599360531901693e-31,E2F1::TFDP1
MS00815|E2F1,7.779019535205344e-29,E2F1
UP00423|Gm5454,7.475965435425773e-28,Gm5454
MC00427|ETV1,1.706327973590852e-26,ETV1
UP00003|E2F3,3.3480216514617665e-26,E2F3
MS00090|HINFP1,1.711964742545969e-25,HINFP1
MC00158|E2f4,3.540230996436423e-25,E2f4
UP00412|Etv5,1.4517132235109483e-24,Etv5
UP00094|Zfp128,3.0969544655719554e-24,Zfp128
UP00001|E2F2,6.921783454046192e-24,E2F2
M01002|DEAF1,9.128787743307503e-24,DEAF1
MC00509|NR2C2,1.0169135536055089e-23,NR2C2
UP00084|Gmeb1,1.1140409103580449e-23,Gmeb1
MC00257|Pax5,5.504484238722379e-23,Pax5
MC00252|Rara,1.6227796087942628e-22,Rara
MC00386|BCL6,3.0860542091061663e-22,BCL6
M00717|PAX8,4.348211227332877e-22,PAX8
M01177|SREBF2,4.764025535585072e-22,SREBF2
UP00065|Zfp161,1.2900897232392405e-21,Zfp161
MC00254|E2F6,1.6103801528145648e-21,E2F6
MC00523|E2F4,2.1576810003397058e-21,E2F4
MS00228|TFAP2B,2.3203229362560508e-21,TFAP2B
M00737|E2F1::TFDP2,2.3914673772134413e-21,E2F1::TFDP2
M00373|PAX4,2.725187196997831e-21,PAX4
MS00097|MYBL1,3.4884200405320366e-21,MYBL1
MC00332|PAX5,4.272215665770495e-21,PAX5
MC00502|HMGN1,4.8628223361340735e-21,HMGN1
MS00534|CENPB,5.091694134371479e-21,CENPB
MS00173|RUNX2,5.229506667223977e-21,RUNX2
MS00258|HEY1,5.549272560029067e-21,HEY1
M00327|PAX3,6.628923988272366e-21,PAX3
M00105|CUX1,8.826087932099283e-21,CUX1
UP00330|XBP1,9.747795590697622e-21,XBP1
MS00212|SP1,1.7945155891815443e-20,SP1
MC00144|Rfx1,2.120652590417899e-20,Rfx1
MC00125|Rest,4.427019279741609e-20,Rest
M00139|AHR,6.494958397127968e-20,AHR
MC00207|ELK4,8.594236392015508e-20,ELK4
MS00235|SP4,9.06074132134373e-20,SP4
UP00038|Spdef,9.184413684804647e-20,Spdef
M01742|Zscan10,1.0274721438059686e-19,Zscan10
MS00346|ZIC3,1.0915969957976912e-19,ZIC3
M00695|TEAD2,1.245433437582047e-19,TEAD2
MC00510|E2f3,1.2984878513542116e-19,E2f3
MS00117|PAX1,1.3965127875137908e-19,PAX1
M00341|GABPB1,1.4626501606971933e-19,GABPB1
MC00160|ETV3,1.6747438612338983e-19,ETV3
UP00010|Tcfap2b,1.8416428049882052e-19,Tcfap2b
UP00418|Etv6,2.633974557672002e-19,Etv6
UP00081|Mybl1,2.7843439403847407e-19,Mybl1
UP00006|Zic3,3.4617932771595736e-19,Zic3
M00961|VDR,3.840387219300287e-19,VDR
MC00203|RFX3,4.26377533141715e-19,RFX3
UP00011|IRF6,4.624671647362877e-19,IRF6
MS00239|Tcfap2a,5.234746839095902e-19,Tcfap2a
MC00328|Zfx,5.773615744272178e-19,Zfx
MS00019|ETV5,9.248327631132072e-19,ETV5
MS00027|FLI1,1.0492152598097094e-18,FLI1
MS00678|EGR4,1.0771870714326306e-18,EGR4
MC00262|ARNT,1.1024067632720562e-18,ARNT
MA0131|HINFP,1.1798323882041085e-18,HINFP
MS00357|ZIC4,1.8047436841445827e-18,ZIC4
MS00268|YY2,1.9747446434917424e-18,YY2
MS00118|PAX2,2.1960250758671305e-18,PAX2
M01248|NR0B1,2.5164163616744413e-18,NR0B1
MS00223|SP3,2.6183458428159676e-18,SP3
MC00221|Tbx3,2.651068856533676e-18,Tbx3
MS00128|PAX9,3.111838726697886e-18,PAX9
UP00057|ZIC2,3.749062486218696e-18,ZIC2
MS00260|HEY2,4.136251886486222e-18,HEY2
UP00018|Irf4,5.1420505020039725e-18,Irf4
MS00789|Egr3,5.662068336105142e-18,Egr3
MC00418|ZBTB33,7.44601948533801e-18,ZBTB33
M00179|ATF2,8.612014926686451e-18,ATF2
MS00301|ZBTB7A,1.1678712445034906e-17,ZBTB7A
MS00843|GLI2,1.20505532670123e-17,GLI2
MS00227|TFAP2A,1.610748560393523e-17,TFAP2A
M00514|ATF4,1.867209713778923e-17,ATF4
UP00087|Tcfap2c,2.1734018469042993e-17,Tcfap2c
UP00404|ELF2,2.2120418561105103e-17,ELF2
MS00183|GMEB2,2.331270580210696e-17,GMEB2
MC00299|BRCA1,2.4563723186629506e-17,BRCA1
MC00391|ZNF143,3.1602164549473e-17,ZNF143
M01243|MTF1,3.256302620837598e-17,MTF1
UP00031|Zbtb3,5.089140711509854e-17,Zbtb3
MC00333|ESR2,5.749995314721197e-17,ESR2
UP00093|Klf7,5.868779521382086e-17,Klf7
M01118|WT1,7.122869886061871e-17,WT1
MC00316|HIF1A,7.96143680744511e-17,HIF1A
MS00567|EGR3,8.095061937509772e-17,EGR3
MC00206|ELK1,9.268705560584211e-17,ELK1
MS00246|SP8,9.48855571213947e-17,SP8
MS00135|KLF14,1.2377535859571703e-16,KLF14
MC00461|Max,1.8329077011345595e-16,Max
UP00102|ZIC1,2.47909824255319e-16,ZIC1
M01783|SP2,2.891463513211042e-16,SP2
M00332|FOXN1,3.4056268521655323e-16,FOXN1
MS00035|GLIS2,4.646920489465887e-16,GLIS2
MS00050|GCM2,5.029739898055135e-16,GCM2
M01009|HES1,5.18198613743671e-16,HES1
MA0145|Tcfcp2l1,5.467405274869086e-16,Tcfcp2l1
MC00320|EGR1,6.911564028691636e-16,EGR1
