,0,TF
M00444|VDR,1.0920891063357996e-09,VDR
M00518|PPARG::RXRA,5.431576325793209e-09,PPARG::RXRA
UP00031|Zbtb3,4.410376106584384e-08,Zbtb3
MC00355|SRF,4.646307055245576e-08,SRF
UP00021|Zfp281,5.446760850697999e-08,Zfp281
MA0155|INSM1,6.032345687684831e-08,INSM1
MC00142|PPARG,5.963719713261186e-07,PPARG
UP00000|SMAD3,6.775113846958487e-07,SMAD3
M00514|ATF4,6.871179041416658e-07,ATF4
M01109|ZNF589,1.2164545960958998e-06,ZNF589
M00378|PAX4,1.489285229133552e-06,PAX4
MS00401|ZNF306,1.950870301608274e-06,ZNF306
MC00374|TFAP2C,2.4450341145751156e-06,TFAP2C
M01104|Ovol2,4.217072674918229e-06,Ovol2
MS00512|Zfp740,4.894239691650004e-06,Zfp740
MS00585|OTX2,5.0847858325663655e-06,OTX2
M00449|ZIC2,6.249153315399419e-06,ZIC2
MS00035|GLIS2,7.5099611945536365e-06,GLIS2
UP00020|ATF1,8.769680005312334e-06,ATF1
MS00445|ZNF740,1.0466313532164066e-05,ZNF740
MA0163|PLAG1,1.1822233036018711e-05,PLAG1
MC00130|Pparg,1.23524961475246e-05,Pparg
MC00430|Egr2,1.3574812819188327e-05,Egr2
M01122|ZNF219,1.3973955093433566e-05,ZNF219
MC00518|Tfcp2,1.4008279422075578e-05,Tfcp2
MC00134|Ppara,1.4497964943268591e-05,Ppara
UP00186|MEIS1,2.377347234563681e-05,MEIS1
M00644|UBP1,2.568101141128119e-05,UBP1
M00717|PAX8,2.997281208821807e-05,PAX8
MC00477|ZNF711,3.3319969862155475e-05,ZNF711
M00491|PATZ1,3.388071025025028e-05,PATZ1
MS00423|ZNF524,3.702469451757372e-05,ZNF524
M00648|MAF,3.842857649297768e-05,MAF
M01714|KLF15,4.0575939705777686e-05,KLF15
MS00146|KLF16,4.818881082912747e-05,KLF16
MC00320|EGR1,5.105240009121817e-05,EGR1
MS00101|Hic1,5.54670040065009e-05,Hic1
M00448|ZIC1,5.824648691489775e-05,ZIC1
MS00313|Creb5,6.196822224063651e-05,Creb5
MC00332|PAX5,8.299314022584406e-05,PAX5
MC00257|Pax5,8.418109011098714e-05,Pax5
M01175|ZBTB7B,8.61325724854224e-05,ZBTB7B
MA0145|Tcfcp2l1,8.764107758081299e-05,Tcfcp2l1
M00326|PAX1,9.385318013347401e-05,PAX1
MS00694|RXRG,9.706034953542352e-05,RXRG
MS00173|RUNX2,9.721422230542318e-05,RUNX2
UP00024|Glis2,9.882982900231802e-05,Glis2
MS00843|GLI2,0.00010070782605784662,GLI2
MC00110|Klf1,0.00011963623725404522,Klf1
MC00278|ETS1,0.00012714120119734784,ETS1
MA0073|RREB1,0.00013097704891466407,RREB1
UP00193|Rhox11,0.00014054632273125895,Rhox11
MC00319|EGR2,0.00014228284178140432,EGR2
M00139|AHR,0.00014552573117665956,AHR
MS00229|TFAP2B,0.00015234265536045796,TFAP2B
MS00100|MYBL1,0.00015489914396228538,MYBL1
MC00140|Stat3,0.00016200287554624275,Stat3
MS00240|Tcfap2a,0.00019016356801358487,Tcfap2a
MC00358|Ebf1,0.00020138676513110787,Ebf1
MS00595|PITX1,0.00022805009576914442,PITX1
M00649|MAZ,0.00024411163349534565,MAZ
M00072|TFCP2,0.000246732889732708,TFCP2
MC00376|ZBTB7A,0.00024849475430799533,ZBTB7A
MS00083|MEIS2,0.0002598854429252547,MEIS2
MS00183|GMEB2,0.00026376216057312556,GMEB2
MS00726|PRDM4,0.00027569217970299236,PRDM4
MC00391|ZNF143,0.00028370246144807315,ZNF143
MC00144|Rfx1,0.0003081505221296273,Rfx1
MS00678|EGR4,0.0003118532584504716,EGR4
MS00567|EGR3,0.0003176864224545304,EGR3
M00495|BACH1,0.0003278871963882807,BACH1
MC00530|TFAP2A,0.0003332159067544971,TFAP2A
MS00223|SP3,0.0003444130876987971,SP3
M01037|GLI1,0.0003681592111120657,GLI1
UP00006|Zic3,0.00041194402828281465,Zic3
UP00093|Klf7,0.00044102647399207987,Klf7
MC00333|ESR2,0.0004428285044933791,ESR2
MC00192|ZNF263,0.0004590043966615317,ZNF263
UP00087|Tcfap2c,0.0004841079926823796,Tcfap2c
MS00086|Meis2,0.000505009463833556,Meis2
MC00330|FOS,0.0005151296116263031,FOS
MS00212|SP1,0.0005517132392688804,SP1
MC00458|TAL1,0.0005794871053726772,TAL1
MC00252|Rara,0.0006049911064940379,Rara
MS00224|TEAD4,0.0006056292609723273,TEAD4
MC00467|RXRA,0.0006106730361283419,RXRA
MC00125|Rest,0.0006307419221969877,Rest
MS00024|GLIS1,0.0006424739506094734,GLIS1
MS00433|DMBX1,0.0006793991777574683,DMBX1
MS00235|SP4,0.0007446724826979529,SP4
UP00010|Tcfap2b,0.0007770743556077283,Tcfap2b
MS00684|RARG,0.0008687588029747817,RARG
MC00386|BCL6,0.0009167875900386756,BCL6
MS00047|GCM1,0.000959589172600806,GCM1
MC00432|HNF4A,0.0009689940816131758,HNF4A
M00490|BACH2,0.0009904544085218437,BACH2
M01480|Obox5,0.0010153626787938327,Obox5
M00468|KLF12,0.0010304638042258276,KLF12
MC00344|Hnf4a,0.0010672548074695076,Hnf4a
UP00028|Tcfap2e,0.0010980336718993452,Tcfap2e
MC00509|NR2C2,0.001120879882504764,NR2C2
M00647|NR1H3,0.001138307369899057,NR1H3
MC00169|Usf2,0.0011667917744518693,Usf2
MC00328|Zfx,0.0011904731338890538,Zfx
MS00211|TBX2,0.0012192652405986135,TBX2
UP00056|RFX4,0.001303593767805693,RFX4
MC00511|Rxrg,0.0013869793715176912,Rxrg
UP00330|XBP1,0.0014163953712218052,XBP1
MS00357|ZIC4,0.0014371281343082188,ZIC4
MS00085|MEIS3,0.0014644201510478885,MEIS3
UP00084|Gmeb1,0.0014740996233912607,Gmeb1
UP00184|Lhx8,0.0015814282173112456,Lhx8
MS00725|MTF1,0.0016244528844503866,MTF1
MS00789|Egr3,0.0016512632298979776,Egr3
MC00418|ZBTB33,0.0017148335778217451,ZBTB33
MS00324|Jdp2,0.0017250747220597291,Jdp2
M01118|WT1,0.0017626614701762354,WT1
MC00109|Klf4,0.0017821792692107275,Klf4
MC00510|E2f3,0.0017944000898147277,E2f3
MS00710|THRB,0.0017974777103191295,THRB
MC00523|E2F4,0.0018249774719852959,E2F4
MS00246|SP8,0.0018618791609788898,SP8
UP00125|PITX2,0.0019729491370157853,PITX2
MC00170|PGR,0.0020132165937197057,PGR
MC00157|Tead4,0.002049054329240925,Tead4
MS00596|PITX3,0.0020916271734417484,PITX3
M01288|NEUROD1,0.002105765603171239,NEUROD1
MS00050|GCM2,0.002147792353801531,GCM2
M00141|IKZF1,0.002233103488723785,IKZF1
MC00316|HIF1A,0.0022611043370269718,HIF1A
MS00255|HES5,0.0023425091953199425,HES5
M01742|Zscan10,0.00239479408023585,Zscan10
MS00075|MEF2B,0.0023986804650286075,MEF2B
MC00475|Nfic,0.0024226986633838865,Nfic
MS00294|ATF7,0.0024341090720996455,ATF7
MS00105|MYBL2,0.0026672401573793986,MYBL2
MS00323|ZBTB7C,0.002768501842915241,ZBTB7C
MS00125|PAX6,0.002835087085019555,PAX6
MS00718|Tp53,0.002860013736824591,Tp53
M00706|GTF2I,0.002863225646223742,GTF2I
MS00118|PAX2,0.002895194281321095,PAX2
MS00079|HINFP1,0.0029593573720618957,HINFP1
MS00346|ZIC3,0.0029902938073098143,ZIC3
MS00128|PAX9,0.0031061819772268623,PAX9
M00964|NR1I2,0.003168876885109647,NR1I2
MS00221|TEAD3,0.0032836964285597754,TEAD3
MS00304|CREB3L1,0.003597042570671942,CREB3L1
M01733|MZF1,0.0036918847448339925,MZF1
MC00371|JUNB,0.0037707470216547085,JUNB
MS00219|TEAD1,0.0038308720591631235,TEAD1
UP00018|Irf4,0.0038519310653176934,Irf4
MS00046|GLIS3,0.0038749217639669747,GLIS3
MC00321|JUN,0.003954376219582189,JUN
MS00320|JDP2,0.004099214054965094,JDP2
