,0,TF
MS00173|RUNX2,5.667875234133776e-17,RUNX2
MS00789|Egr3,2.6507110394109227e-16,Egr3
M01104|Ovol2,4.49029799498576e-16,Ovol2
MA0131|HINFP,2.500045964996459e-15,HINFP
MS00567|EGR3,3.191689118554279e-15,EGR3
MS00534|CENPB,8.2848916236112e-15,CENPB
MS00678|EGR4,8.777068166951241e-15,EGR4
M01009|HES1,1.1461605590032468e-14,HES1
MS00815|E2F1,1.6299963123878208e-14,E2F1
MS00301|ZBTB7A,3.289658303457094e-14,ZBTB7A
MS00846|ERF,4.639540776604199e-14,ERF
MC00510|E2f3,5.320973585355852e-14,E2f3
M01118|WT1,6.76067393280685e-14,WT1
MS00100|MYBL1,1.0934423368045881e-13,MYBL1
MC00160|ETV3,1.9574843926206985e-13,ETV3
MC00158|E2f4,2.0801216122199608e-13,E2f4
MC00203|RFX3,3.072443510474151e-13,RFX3
M00695|TEAD2,4.0482265515318305e-13,TEAD2
MC00299|BRCA1,4.2065472366897196e-13,BRCA1
M00468|KLF12,4.226293157518369e-13,KLF12
M01742|Zscan10,4.2351071228712427e-13,Zscan10
UP00003|E2F3,4.85044230670895e-13,E2F3
MS00035|GLIS2,1.0094309737699528e-12,GLIS2
MC00523|E2F4,1.3042600466189917e-12,E2F4
M00327|PAX3,1.5314313708984236e-12,PAX3
MC00207|ELK4,1.8318761050038343e-12,ELK4
M00143|PAX5,2.1135917037599623e-12,PAX5
MS00146|KLF16,2.7621415591060386e-12,KLF16
UP00001|E2F2,3.20413836085645e-12,E2F2
MC00394|MYC,4.411047767140783e-12,MYC
MS00268|YY2,5.297762551427228e-12,YY2
M00448|ZIC1,5.333637864738479e-12,ZIC1
UP00093|Klf7,5.7010405083611505e-12,Klf7
M00373|PAX4,5.900013422138755e-12,PAX4
MC00221|Tbx3,9.847145162846157e-12,Tbx3
MC00254|E2F6,1.1421821815092541e-11,E2F6
M00518|PPARG::RXRA,1.1669319999919697e-11,PPARG::RXRA
MS00323|ZBTB7C,1.2866191928071659e-11,ZBTB7C
MC00328|Zfx,1.5057178093414825e-11,Zfx
MS00331|MAFK,1.5924031454985842e-11,MAFK
MS00311|Creb3l2,1.7179945895093142e-11,Creb3l2
UP00065|Zfp161,1.740859264633065e-11,Zfp161
MS00240|Tcfap2a,2.2431012248791998e-11,Tcfap2a
M01744|ZFP42,2.3128586217209415e-11,ZFP42
M01783|SP2,3.072202538456196e-11,SP2
MC00320|EGR1,3.1246152873290145e-11,EGR1
M01177|SREBF2,3.194886426680519e-11,SREBF2
MS00090|HINFP1,3.411874744262878e-11,HINFP1
MA0163|PLAG1,3.5130031330110616e-11,PLAG1
M01122|ZNF219,3.673927311548662e-11,ZNF219
MC00319|EGR2,3.790766808873578e-11,EGR2
MS00346|ZIC3,4.090537516016119e-11,ZIC3
UP00031|Zbtb3,4.6080729339658446e-11,Zbtb3
MC00418|ZBTB33,5.4505194773304044e-11,ZBTB33
MC00532|Mycn,5.793714017450166e-11,Mycn
