,0,TF
MA0145|Tcfcp2l1,4.919761713799737e-09,Tcfcp2l1
MS00342|XBP1,9.361334347696759e-09,XBP1
MS00173|RUNX2,6.281364461092816e-07,RUNX2
MS00338|NRL,1.6476081219543823e-06,NRL
MC00257|Pax5,1.8755579576276082e-06,Pax5
MS00124|KLF13,2.2325996803196106e-06,KLF13
M00695|TEAD2,2.4549411986261e-06,TEAD2
MS00239|Tcfap2a,3.1735420486481147e-06,Tcfap2a
UP00084|Gmeb1,3.771910351182112e-06,Gmeb1
MC00328|Zfx,3.845646972016494e-06,Zfx
MS00090|HINFP1,3.8892877635295395e-06,HINFP1
M01248|NR0B1,4.101412260388076e-06,NR0B1
MC00457|ELF1,4.229789711820552e-06,ELF1
MA0155|INSM1,4.296348044821608e-06,INSM1
MS00308|CREB3,4.408435878194459e-06,CREB3
M00694|E4F1,4.87219697011239e-06,E4F1
MC00320|EGR1,5.2275898639947164e-06,EGR1
M00378|PAX4,9.56661272129613e-06,PAX4
MC00388|Tal1,1.0630138658373503e-05,Tal1
MS00567|EGR3,1.1877893746586648e-05,EGR3
MC00192|ZNF263,1.3259917694579519e-05,ZNF263
UP00010|Tcfap2b,1.487686258993992e-05,Tcfap2b
MC00319|EGR2,1.5064198798205418e-05,EGR2
MC00503|SMAD3,1.5251054335434859e-05,SMAD3
MC00223|SMAD2/3,1.5251054335434859e-05,SMAD2/3
MS00326|MAFF,1.7691089667191485e-05,MAFF
MS00157|Klf12,1.896025686814961e-05,Klf12
UP00087|Tcfap2c,2.0350539871709305e-05,Tcfap2c
MS00685|RORA,2.2025145215728233e-05,RORA
UP00184|Lhx8,2.3616834777953237e-05,Lhx8
M00139|AHR,2.588809050925888e-05,AHR
M00514|ATF4,2.689664019670809e-05,ATF4
MC00333|ESR2,2.747203917739619e-05,ESR2
MS00212|SP1,2.8564466038648512e-05,SP1
MC00335|ESR1,3.0349349424870315e-05,ESR1
M00644|UBP1,3.206266949055131e-05,UBP1
MS00789|Egr3,3.3963404707625194e-05,Egr3
MC00134|Ppara,3.530923428602651e-05,Ppara
MC00530|TFAP2A,4.066841755211591e-05,TFAP2A
MC00356|Tbx21,4.285946228150415e-05,Tbx21
MC00191|Nfya,4.305403388863113e-05,Nfya
MC00430|Egr2,4.4413835996441855e-05,Egr2
MC00280|NR4A1,4.6386575701032574e-05,NR4A1
MS00091|PKNOX1,4.743206057937997e-05,PKNOX1
MC00392|SMAD4,5.297868061196037e-05,SMAD4
MS00296|BATF3,5.587162598727585e-05,BATF3
UP00001|E2F2,5.8661994052645726e-05,E2F2
UP00024|Glis2,5.987010855969368e-05,Glis2
MC00187|Ctcf,6.376999270643903e-05,Ctcf
MS00207|TBX21,6.426772333521344e-05,TBX21
MS00290|ZBED1,6.48134774552491e-05,ZBED1
MS00323|ZBTB7C,6.628704465529584e-05,ZBTB7C
M00491|PATZ1,6.683430359479376e-05,PATZ1
UP00003|E2F3,6.799948531494222e-05,E2F3
MC00203|RFX3,7.363797696589455e-05,RFX3
MC00144|Rfx1,7.527439401659206e-05,Rfx1
MS00094|TGIF1,7.69188726575352e-05,TGIF1
M00964|NR1I2,7.846478735027277e-05,NR1I2
M00983|MAF,8.456350932582363e-05,MAF
M00647|NR1H3,8.596361406893588e-05,NR1H3
MS00050|GCM2,8.613258409401713e-05,GCM2
MS00235|SP4,8.619628161474328e-05,SP4
MS00046|GLIS3,8.738545667045332e-05,GLIS3
M01177|SREBF2,8.770443543557746e-05,SREBF2
MS00327|MAFG,8.98095651147362e-05,MAFG
M00085|ZBTB6,9.004770078854459e-05,ZBTB6
UP00093|Klf7,9.436854803987e-05,Klf7
MS00638|ESRRG,9.789665339300918e-05,ESRRG
MS00102|MYBL2,0.00010140321204678877,MYBL2
MA0131|HINFP,0.00010455235393763385,HINFP
MA0067|PAX2,0.00010554001357344011,PAX2
M00706|GTF2I,0.0001127057572359521,GTF2I
M01109|ZNF589,0.00011883314236037495,ZNF589
UP00102|ZIC1,0.00011929389125707632,ZIC1
MC00186|Nr1d2,0.0001336891599039432,Nr1d2
MS00834|ELF4,0.00014281948755692943,ELF4
MS00083|MEIS2,0.00014332671274431028,MEIS2
MC00295|Esr1,0.000148493925301337,Esr1
MS00641|Esrra,0.0001579522687294535,Esrra
UP00081|Mybl1,0.00016030980180836458,Mybl1
UP00028|Tcfap2e,0.00016136977156539498,Tcfap2e
MC00458|TAL1,0.0001632091481482753,TAL1
MC00221|Tbx3,0.00017111066567836313,Tbx3
MC00351|FOSL1,0.00017608758996675612,FOSL1
MS00678|EGR4,0.00017610641447719715,EGR4
MS00035|GLIS2,0.00017936651742020011,GLIS2
MS00343|FOXB1,0.00018916162989493168,FOXB1
MC00376|ZBTB7A,0.0001970979154584294,ZBTB7A
M00665|SP3,0.0001997417445207833,SP3
M01105|ZNF350,0.00022919524856133714,ZNF350
MS00228|TFAP2B,0.00023532699264490687,TFAP2B
MS00848|ERG,0.00023996466156541566,ERG
MC00412|VDR,0.00024602359487826985,VDR
MS00534|CENPB,0.0002491361252321289,CENPB
M00072|TFCP2,0.00026256518843749676,TFCP2
UP00412|Etv5,0.0002647905171377668,Etv5
MC00523|E2F4,0.0002700632321637457,E2F4
MS00357|ZIC4,0.0002800215554064224,ZIC4
UP00088|PLAGL1,0.0002813922975309764,PLAGL1
MC00207|ELK4,0.00029482923718920765,ELK4
MS00246|SP8,0.00030527933982458046,SP8
UP00092|MYB,0.00030714097611464177,MYB
UP00085|Sfpi1,0.00030926434031432453,Sfpi1
MC00372|Yy1,0.00031027317995467314,Yy1
UP00065|Zfp161,0.0003143066827708209,Zfp161
MC00501|FOXP1,0.00032608120678122315,FOXP1
MC00364|NFYA,0.00032960435482168527,NFYA
M01744|ZFP42,0.00034117881206614564,ZFP42
MS00019|ETV5,0.00034523610079131785,ETV5
MC00158|E2f4,0.0003671070245074444,E2f4
MS00170|Rfx2,0.0003839718112544277,Rfx2
MS00815|E2F1,0.0003853679474062941,E2F1
MC00510|E2f3,0.0003891248662794999,E2f3
MS00047|GCM1,0.00039728202118641763,GCM1
MS00362|FOXI1,0.00041027066202346975,FOXI1
MA0073|RREB1,0.00043936495646218227,RREB1
MS00729|ZNF282,0.00046624852583928384,ZNF282
M01118|WT1,0.0004951849809132656,WT1
MC00332|PAX5,0.0005018871625778014,PAX5
MS00057|HIC2,0.0005106002336377473,HIC2
M00678|ETV7,0.0005312714173023764,ETV7
MC00109|Klf4,0.00055108269808262,Klf4
MC00518|Tfcp2,0.0005549255803460841,Tfcp2
MC00206|ELK1,0.0005590505788311592,ELK1
MS00117|PAX1,0.0005745196437643171,PAX1
MC00321|JUN,0.0006005669265278538,JUN
UP00057|ZIC2,0.0006019102828454768,ZIC2
MS00393|Foxg1,0.0006059466074022328,Foxg1
MS00183|GMEB2,0.0006109340515870376,GMEB2
MC00439|TP63,0.0006411795648831554,TP63
M01002|DEAF1,0.0006442702378836701,DEAF1
MC00142|PPARG,0.0006450341805086428,PPARG
MS00018|ETV4,0.0006524953384435875,ETV4
MS00092|PKNOX2,0.0006941319362781289,PKNOX2
MS00095|TGIF2LX,0.0006959746286793185,TGIF2LX
MS00213|TBX2,0.0007208994084832852,TBX2
MC00467|RXRA,0.0007286353436913472,RXRA
UP00066|HNF4A,0.0007381135601674202,HNF4A
MC00110|Klf1,0.0007834000126897713,Klf1
UP00011|IRF6,0.000783788739062663,IRF6
MC00473|ATF3,0.0008252263925615299,ATF3
MS00096|TGIF2,0.0008478422119712349,TGIF2
M00341|GABPB1,0.0008490328660260471,GABPB1
MC00160|ETV3,0.0008648275383450699,ETV3
UP00052|Osr2,0.0008666320836435889,Osr2
MC00358|Ebf1,0.0008890740076329557,Ebf1
M01037|GLI1,0.0008920078396017804,GLI1
