,0,TF
MS00079|HINFP1,1.1693927887209407e-18,HINFP1
UP00330|XBP1,2.0050362453172918e-18,XBP1
MC00333|ESR2,3.5442957511794054e-18,ESR2
M00373|PAX4,1.9232098791818636e-17,PAX4
M01002|DEAF1,3.3096219621352263e-17,DEAF1
M00736|E2F1::TFDP1,4.688050253590786e-17,E2F1::TFDP1
UP00084|Gmeb1,5.2775069964527216e-17,Gmeb1
MC00299|BRCA1,5.700493264775906e-17,BRCA1
MC00418|ZBTB33,8.500573235586185e-17,ZBTB33
MS00173|RUNX2,2.4322538963113313e-16,RUNX2
M00327|PAX3,2.59739749305066e-16,PAX3
MC00158|E2f4,3.1254937819606417e-16,E2f4
M01714|KLF15,3.519804683460573e-16,KLF15
M00665|SP3,5.861741635792194e-16,SP3
UP00102|ZIC1,8.012259349140334e-16,ZIC1
UP00057|ZIC2,8.482199926117907e-16,ZIC2
UP00006|Zic3,9.545683630983294e-16,Zic3
MS00357|ZIC4,9.912256125288957e-16,ZIC4
M00695|TEAD2,1.0539465028835258e-15,TEAD2
M01742|Zscan10,1.1096255704873138e-15,Zscan10
M00139|AHR,1.1184674072902222e-15,AHR
M01118|WT1,2.3089288409827618e-15,WT1
M00143|PAX5,2.4952388900178374e-15,PAX5
MS00534|CENPB,2.8174360982447456e-15,CENPB
M01243|MTF1,3.2148320210078604e-15,MTF1
MC00182|E2F1,3.9996861683884905e-15,E2F1
MC00523|E2F4,5.703593140983747e-15,E2F4
MC00183|Snai1,7.291095315734761e-15,Snai1
MS00228|TFAP2B,1.770004088332544e-14,TFAP2B
MS00312|ZBTB7B,2.0238252879286317e-14,ZBTB7B
MC00254|E2F6,2.031588512863275e-14,E2F6
MC00320|EGR1,2.482450311150742e-14,EGR1
MC00191|Nfya,3.009513973317511e-14,Nfya
MC00510|E2f3,3.8738662382666355e-14,E2f3
MS00183|GMEB2,4.5799829790323356e-14,GMEB2
M00514|ATF4,5.646669623355102e-14,ATF4
MS00301|ZBTB7A,8.321341809520942e-14,ZBTB7A
MS00323|ZBTB7C,1.2150603319287061e-13,ZBTB7C
MC00257|Pax5,1.2411168565390372e-13,Pax5
MA0145|Tcfcp2l1,1.381111832211189e-13,Tcfcp2l1
UP00065|Zfp161,1.5696169011327978e-13,Zfp161
M00717|PAX8,3.0543488826119825e-13,PAX8
M00961|VDR,3.618172712459761e-13,VDR
MS00678|EGR4,4.0529189796245697e-13,EGR4
MS00235|SP4,4.494803202229939e-13,SP4
MC00221|Tbx3,4.646747489077675e-13,Tbx3
MC00113|SP1,4.962970913197357e-13,SP1
MS00135|KLF14,6.001706041890101e-13,KLF14
MS00239|Tcfap2a,6.013057924144766e-13,Tcfap2a
MC00319|EGR2,6.203382040265142e-13,EGR2
UP00001|E2F2,6.522790110674032e-13,E2F2
MS00567|EGR3,9.157223329849108e-13,EGR3
M00332|FOXN1,9.17736157516577e-13,FOXN1
MC00427|ETV1,9.910346174267953e-13,ETV1
MS00727|ZBTB49,1.2427635609909183e-12,ZBTB49
MS00100|MYBL1,1.294536025891138e-12,MYBL1
MC00430|Egr2,1.5666566791887972e-12,Egr2
MS00118|PAX2,2.346490303884582e-12,PAX2
M01122|ZNF219,2.911339492356422e-12,ZNF219
UP00093|Klf7,3.1822486933639352e-12,Klf7
MS00789|Egr3,4.8136080763435265e-12,Egr3
M00644|UBP1,5.1355394577007856e-12,UBP1
MS00346|ZIC3,5.874385251283599e-12,ZIC3
UP00028|Tcfap2e,6.4761108897342924e-12,Tcfap2e
MC00391|ZNF143,7.101789202543338e-12,ZNF143
UP00087|Tcfap2c,7.357865204524765e-12,Tcfap2c
M01105|ZNF350,8.326541212246917e-12,ZNF350
UP00003|E2F3,8.510412570783783e-12,E2F3
MC00518|Tfcp2,9.070762208226762e-12,Tfcp2
MS00843|GLI2,9.726418123419698e-12,GLI2
MC00502|HMGN1,1.3050402038764973e-11,HMGN1
MC00509|NR2C2,1.386866781898859e-11,NR2C2
MS00035|GLIS2,1.614872677026973e-11,GLIS2
UP00088|PLAGL1,1.6166672062592284e-11,PLAGL1
MS00227|TFAP2A,1.777541721469334e-11,TFAP2A
MC00386|BCL6,2.210381877976285e-11,BCL6
M00341|GABPB1,2.4067814343734095e-11,GABPB1
M01177|SREBF2,3.449911186695414e-11,SREBF2
M00518|PPARG::RXRA,4.10272683052399e-11,PPARG::RXRA
MC00468|AR,5.268013477137127e-11,AR
MS00188|MGA,6.199029017256176e-11,MGA
MS00401|ZNF306,6.302877317230141e-11,ZNF306
UP00021|Zfp281,8.128375350417916e-11,Zfp281
MS00246|SP8,8.603518145054695e-11,SP8
M01783|SP2,8.733511292367252e-11,SP2
M00468|KLF12,1.1616632157257468e-10,KLF12
M01009|HES1,1.1717535581370707e-10,HES1
MS00260|HEY2,1.5329060261059735e-10,HEY2
MS00308|CREB3,1.5474858567478436e-10,CREB3
MS00211|TBX2,1.5795224729637878e-10,TBX2
M00647|NR1H3,1.6053216930217856e-10,NR1H3
UP00010|Tcfap2b,1.9234169598637367e-10,Tcfap2b
MC00187|Ctcf,2.0791227702850175e-10,Ctcf
MS00258|HEY1,2.174278525441008e-10,HEY1
