Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Jun,MC00349;7.13E-04,,,,
NEUROD1,M01288;8.26E-04,,,,
JUND,MC00456;1.31E-03,,,,
TEAD3,MS00221;1.74E-03,MS00222;2.63E-03,,,
Tead4,MC00157;2.45E-03,,,,
Myod1,MC00369;5.66E-03,,,,
GTF2I,M00706;6.06E-03,,,,
TEAD4,MS00224;6.77E-03,,,,
Ascl2,MS00243;7.01E-03,,,,
MZF1,M01733;7.35E-03,,,,
ZSCAN4,MS00490;9.81E-03,,,,
HSF2,MS00059;1.20E-02,,,,
Hlf,MS00318;1.32E-02,,,,
Zfp281,UP00021;1.37E-02,,,,
Tcf3,MC00265;1.40E-02,,,,
TEAD1,MS00220;1.46E-02,MS00219;1.91E-02,,,
NFATC1,MC00211;1.60E-02,,,,
THRB,MS00711;1.61E-02,MS00710;2.76E-01,MS00713;4.52E-01,,
HOXD11,MS00507;1.66E-02,MS00506;6.56E-01,,,
EGR1,MC00320;1.79E-02,,,,
BACH1,M00495;1.85E-02,,,,
NHLH1,MS00274;1.94E-02,,,,
Zfp691,UP00095;2.26E-02,,,,
TFCP2,M00072;2.27E-02,MS00579;8.64E-01,,,
Olig2,MC00341;2.34E-02,,,,
JUNB,MC00371;2.35E-02,,,,
MTF1,MS00725;2.60E-02,M01243;3.89E-01,,,
MAF,M00983;2.63E-02,M00648;2.64E-01,,,
PLAG1,MA0163;2.64E-02,,,,
Nfic,MC00475;2.65E-02,,,,
FOSL1,MC00351;2.88E-02,,,,
EGR2,MC00319;2.96E-02,,,,
MYOG,M00712;2.97E-02,,,,
Atoh1,MC00414;3.02E-02,MS00244;4.02E-01,,,
SCRT2,MS00190;3.03E-02,,,,
GLI1,M01037;3.08E-02,,,,
Klf1,MC00110;3.13E-02,,,,
TFCP2L1,M01592;3.36E-02,,,,
Zfp740,MS00512;3.51E-02,,,,
GLI3,M01596;3.52E-02,,,,
Obox2,M01364;3.64E-02,,,,
ZNF263,MC00192;3.76E-02,,,,
SMAD4,MC00392;4.00E-02,M00733;5.54E-02,,,
ZNF740,MS00445;4.13E-02,,,,
