,0,TF
MS00221|TEAD3,6.284432015515091e-05,TEAD3
MC00349|Jun,0.00012294374457443073,Jun
MC00456|JUND,0.00013719762715862859,JUND
M01288|NEUROD1,0.00015084015751507272,NEUROD1
MC00157|Tead4,0.0005978719223971362,Tead4
M01733|MZF1,0.0007176139511917503,MZF1
MS00224|TEAD4,0.0007751830873718422,TEAD4
M00706|GTF2I,0.0009854888641319282,GTF2I
MS00059|HSF2,0.0015697228583180975,HSF2
MS00243|Ascl2,0.0018713010199313926,Ascl2
MC00369|Myod1,0.0021028917111450564,Myod1
UP00021|Zfp281,0.0022003131560863376,Zfp281
MS00711|THRB,0.0032834627752922957,THRB
MS00274|NHLH1,0.003775482553987921,NHLH1
MC00320|EGR1,0.004007718717475716,EGR1
MC00265|Tcf3,0.005289832417030399,Tcf3
MC00371|JUNB,0.005571183652663523,JUNB
MS00220|TEAD1,0.005674013011112468,TEAD1
MS00725|MTF1,0.005852465306839745,MTF1
M00983|MAF,0.006129585544529863,MAF
M00495|BACH1,0.006560092602340058,BACH1
MS00490|ZSCAN4,0.0067949844035699045,ZSCAN4
MC00319|EGR2,0.007065906129601895,EGR2
M00712|MYOG,0.007273247315204933,MYOG
MA0163|PLAG1,0.007619145917990146,PLAG1
UP00095|Zfp691,0.007976801923717483,Zfp691
MC00475|Nfic,0.008151474922038162,Nfic
MS00190|SCRT2,0.008271821123285313,SCRT2
M00072|TFCP2,0.009428337526487127,TFCP2
MS00512|Zfp740,0.009581818351130875,Zfp740
M01037|GLI1,0.00960660957946635,GLI1
M01596|GLI3,0.010388344158445646,GLI3
MC00414|Atoh1,0.010704390964004901,Atoh1
MC00192|ZNF263,0.010802858912071032,ZNF263
MC00211|NFATC1,0.010808965678265628,NFATC1
MS00507|HOXD11,0.010999758160850682,HOXD11
M01364|Obox2,0.011074431075455544,Obox2
MC00110|Klf1,0.01151492831043426,Klf1
MC00351|FOSL1,0.012046620993149421,FOSL1
MS00318|Hlf,0.013391773794163463,Hlf
MC00398|FLI1,0.015840746794954962,FLI1
MS00331|MAFK,0.01629110525010519,MAFK
MC00341|Olig2,0.01630199936616469,Olig2
M00665|SP3,0.017604310334770154,SP3
MC00174|REST,0.01832304058639201,REST
MS00339|TEF,0.019995299020993458,TEF
MS00445|ZNF740,0.02023617532083272,ZNF740
M01592|TFCP2L1,0.020853307911023716,TFCP2L1
MC00321|JUN,0.021229545622773616,JUN
MS00060|HSF4,0.021501713710562823,HSF4
MS00114|NFIB,0.023380022496693773,NFIB
MC00109|Klf4,0.02344094673066532,Klf4
M00649|MAZ,0.02436150736576592,MAZ
M01709|MAFA,0.0248125147698099,MAFA
M00733|SMAD4,0.026514081758950335,SMAD4
MC00430|Egr2,0.026901386372293466,Egr2
MS00327|MAFG,0.027319946920470774,MAFG
MS00336|NFE2,0.028491474072736667,NFE2
MS00837|HOXD12,0.03144707335496078,HOXD12
M01122|ZNF219,0.03162445308578643,ZNF219
MC00503|SMAD3,0.03323101544995506,SMAD3
MC00223|SMAD2/3,0.03323101544995506,SMAD2/3
M01466|Obox3,0.03370278897020897,Obox3
MS00179|SCRT1,0.03392664703664016,SCRT1
MS00468|ZNF75A,0.03520314364308258,ZNF75A
M00749|SREBF1,0.03634956050145474,SREBF1
MA0073|RREB1,0.03636482248658988,RREB1
MS00376|FOXO1,0.03739922742598407,FOXO1
MC00530|TFAP2A,0.039733928604306405,TFAP2A
MS00505|HOXC13,0.044694872926657525,HOXC13
M00491|PATZ1,0.04477831695382849,PATZ1
MS00489|HOXB13,0.045419385429110046,HOXB13
MS00333|Mafb,0.04632298956905076,Mafb
MS00669|Nr2f6,0.04634814846791967,Nr2f6
MC00376|ZBTB7A,0.049438758267569764,ZBTB7A
UP00093|Klf7,0.0495566585231792,Klf7
MC00195|Myf5,0.05006988704962979,Myf5
MS00241|Tcfap2a,0.05008881706181659,Tcfap2a
UP00102|ZIC1,0.05080136906386137,ZIC1
UP00006|Zic3,0.05133707628421687,Zic3
MC00391|ZNF143,0.05357851596524443,ZNF143
MS00346|ZIC3,0.05494876092931384,ZIC3
M00326|PAX1,0.05601726212506761,PAX1
MS00759|SOX21,0.056554437986792654,SOX21
M01714|KLF15,0.05719691824736456,KLF15
UP00057|ZIC2,0.058026379558422825,ZIC2
MS00820|NFIA,0.05961034318096793,NFIA
MS00380|FOXO3,0.061265393532591264,FOXO3
MC00140|Stat3,0.06224566927811193,Stat3
M01175|ZBTB7B,0.06247292063747116,ZBTB7B
MA0155|INSM1,0.06301248201008636,INSM1
MS00261|ID4,0.06355902125047141,ID4
MC00477|ZNF711,0.06427768158593053,ZNF711
M00222|TCF3,0.06452238973854088,TCF3
MS00398|Foxk1,0.06732474953931601,Foxk1
MC00305|Sox6,0.06857313363768017,Sox6
MS00057|HIC2,0.06910329872314463,HIC2
M00490|BACH2,0.07169986874445147,BACH2
M00979|PAX6,0.07496942052345312,PAX6
MS00572|NKX3-1,0.0749853517662777,NKX3-1
MS00803|Sox3,0.0754472989699978,Sox3
MC00520|MEIS1,0.07636837570999586,MEIS1
MC00455|Cdx2,0.076414269125051,Cdx2
MS00511|HOXD13,0.07672978817923982,HOXD13
MS00684|RARG,0.07733866710095595,RARG
M00433|Hmx3,0.07761469485447922,Hmx3
MS00690|ONECUT3,0.07905755743698384,ONECUT3
MS00216|TBX5,0.0798279388922594,TBX5
M00993|TAL1,0.08082500617551151,TAL1
