,0,TF
MC00518|Tfcp2,5.7540657729826615e-08,Tfcp2
UP00095|Zfp691,9.16473833307799e-08,Zfp691
M00712|MYOG,5.214001206289859e-07,MYOG
MS00820|NFIA,8.89597130666495e-07,NFIA
MC00132|TP73,9.84647767615291e-07,TP73
M00294|Foxf1a,1.1812006726538054e-06,Foxf1a
M01592|TFCP2L1,3.2666184368844648e-06,TFCP2L1
MS00348|FOXB1,3.810878199032227e-06,FOXB1
MS00207|TBX21,5.432806727107613e-06,TBX21
MS00223|SP3,6.133078533254865e-06,SP3
MC00439|TP63,6.898889109266477e-06,TP63
MC00272|CEBPB,7.085546778514169e-06,CEBPB
MS00808|TFEC,9.313258993454853e-06,TFEC
MC00430|Egr2,1.5474523540454087e-05,Egr2
UP00021|Zfp281,1.5798492172485208e-05,Zfp281
MC00144|Rfx1,1.5836681340918447e-05,Rfx1
M00644|UBP1,1.8286163017325432e-05,UBP1
MS00512|Zfp740,1.9093851044358553e-05,Zfp740
M00961|VDR,1.949784774339171e-05,VDR
M01122|ZNF219,1.9894206049289907e-05,ZNF219
UP00087|Tcfap2c,2.0971417886106723e-05,Tcfap2c
MC00299|BRCA1,2.1212314779820634e-05,BRCA1
M00792|SMAD1,2.5392141700395907e-05,SMAD1
M01175|ZBTB7B,2.6697251496511786e-05,ZBTB7B
MS00822|NFIX,3.056124375768987e-05,NFIX
MS00228|TFAP2B,3.081711423597527e-05,TFAP2B
M00139|AHR,3.1263006769523624e-05,AHR
MC00140|Stat3,3.1876762805034596e-05,Stat3
MS00445|ZNF740,3.266458759775882e-05,ZNF740
MC00476|Rarg,3.4981198545634356e-05,Rarg
MS00146|KLF16,3.542713923183366e-05,KLF16
MS00346|ZIC3,3.6425082005327426e-05,ZIC3
MA0073|RREB1,3.8770421577210366e-05,RREB1
UP00000|SMAD3,3.942914167010782e-05,SMAD3
MA0145|Tcfcp2l1,4.4011461400338796e-05,Tcfcp2l1
M00490|BACH2,4.5282656583991045e-05,BACH2
UP00045|MAFB,4.880110273662073e-05,MAFB
MS00680|RARG,5.189933776023932e-05,RARG
MS00048|GCM1,5.40759935646987e-05,GCM1
UP00035|HIC1,5.467688596382378e-05,HIC1
MC00158|E2f4,5.5070105629848773e-05,E2f4
M00179|ATF2,5.863762825163515e-05,ATF2
M00649|MAZ,6.0502225071983685e-05,MAZ
MS00239|Tcfap2a,6.149464994147983e-05,Tcfap2a
MA0031|FOXD1,6.181364985669352e-05,FOXD1
MC00293|Gfi1b,6.636799920763277e-05,Gfi1b
MS00559|MSX1,6.965357195021483e-05,MSX1
UP00093|Klf7,7.444863212004499e-05,Klf7
MC00122|Cebpa,7.538985825007627e-05,Cebpa
UP00041|Foxj1,7.959368505024718e-05,Foxj1
MC00109|Klf4,8.243524865454223e-05,Klf4
M01744|ZFP42,8.479123202141415e-05,ZFP42
MC00125|Rest,8.548590318573243e-05,Rest
MC00374|TFAP2C,8.624881578556996e-05,TFAP2C
MC00186|Nr1d2,8.847093355200206e-05,Nr1d2
MC00512|Esrrb,8.992616810058484e-05,Esrrb
