,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm,TF
MS00046|GLIS3,7.825662545757339e-08,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,GLIS family zinc finger 3,Homo Sapiens,E.Coli,169792,GLIS3,,NM_001042413|NM_152629,,,,,,,,,,,,,"[[[0.010, 0.042, 0.685, 0.263], [0.950, 0.010, 0.030, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.952, 0.010, 0.028], [0.010, 0.970, 0.010, 0.010], [0.020, 0.960, 0.010, 0.010], [0.010, 0.893, 0.010, 0.087], [0.910, 0.010, 0.070, 0.010], [0.010, 0.881, 0.035, 0.074], [0.233, 0.018, 0.669, 0.080], [0.808, 0.010, 0.048, 0.134], [0.692, 0.178, 0.013, 0.117], [0.010, 0.025, 0.955, 0.010]]]",GLIS3
MS00024|GLIS1,1.172194581955388e-07,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,GLIS family zinc finger 1,Homo Sapiens,E.Coli,148979,GLIS1,,NM_147193,,,,,,,,,,,,,"[[[0.533, 0.304, 0.016, 0.147], [0.010, 0.010, 0.875, 0.105], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.957, 0.010, 0.023, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.721, 0.010, 0.010, 0.259], [0.398, 0.192, 0.010, 0.400], [0.010, 0.010, 0.970, 0.010], [0.136, 0.486, 0.214, 0.164]]]",GLIS1
M00665|SP3,1.8192550083062642e-07,,Transfac,,4,,P1481859. New TRANSFAC MATRIX entries Book 3 0001 (2002),BetaBetaAlpha-zinc finger Family,,Sp3 transcription factor,Homo Sapiens,,6670,SP3,DKFZp686O1631 SPR2,NM_001017371|NM_001172712|NM_003111,320.0,,,,,,,,,,,,"[[[0.970, 0.010, 0.010, 0.010], [0.010, 0.333, 0.500, 0.157], [0.333, 0.500, 0.010, 0.157], [0.333, 0.647, 0.010, 0.010], [0.010, 0.167, 0.167, 0.656], [0.167, 0.010, 0.167, 0.656], [0.010, 0.333, 0.647, 0.010], [0.010, 0.010, 0.667, 0.313], [0.010, 0.010, 0.970, 0.010], [0.167, 0.333, 0.490, 0.010], [0.490, 0.167, 0.333, 0.010], [0.167, 0.010, 0.813, 0.010], [0.010, 0.167, 0.813, 0.010], [0.010, 0.010, 0.970, 0.010]]]",SP3
MC00386|BCL6,2.544651106495266e-07,,Cistrome,,16,,21911423,BetaBetaAlpha-zinc finger Family,,B-cell CLL/lymphoma 6,Homo Sapiens,Hematopoietic Progenitor,604,BCL6,,NM_001130845|NM_001134738|NM_001706,,,,,,,2433(1/1),-32.4372,(1) denovo|(2) denovo|(3) denovo|(5) denovo|(6) denovo,(1)|(2)|(3)|(5)|(6),,5.0,"[[[0.045, 0.214, 0.065, 0.676], [0.054, 0.232, 0.356, 0.358], [0.139, 0.621, 0.126, 0.114], [0.049, 0.230, 0.028, 0.693], [0.067, 0.038, 0.840, 0.055], [0.057, 0.035, 0.872, 0.035], [0.049, 0.062, 0.851, 0.039], [0.748, 0.042, 0.086, 0.124], [0.335, 0.131, 0.389, 0.145], [0.270, 0.123, 0.131, 0.476], [0.054, 0.144, 0.070, 0.732], [0.040, 0.048, 0.849, 0.064], [0.070, 0.074, 0.101, 0.755], [0.790, 0.049, 0.106, 0.054], [0.060, 0.043, 0.842, 0.054], [0.055, 0.056, 0.075, 0.813]]]",BCL6
MC00278|ETS1,5.691518378814209e-07,,Cistrome,,16,,20019798,Ets Domain Family,,v-ets erythroblastosis virus E26 oncogene homolog 1 (avian),Homo Sapiens,Jurkat,2113,ETS1,,NM_001143820|NM_001162422|NM_005238,,,,,,,696(3/3),-37.5139,(1) denovo|(2) denovo|(4) denovo|(5) denovo|(6) denovo|(15) denovo,(1)|(2)|(4)|(5)|(6)|(15),,6.0,"[[[0.870, 0.061, 0.043, 0.026], [0.026, 0.923, 0.027, 0.024], [0.034, 0.107, 0.042, 0.816], [0.789, 0.084, 0.072, 0.055], [0.032, 0.903, 0.039, 0.026], [0.772, 0.075, 0.113, 0.039], [0.480, 0.117, 0.114, 0.290], [0.107, 0.420, 0.122, 0.351], [0.101, 0.087, 0.048, 0.764], [0.046, 0.875, 0.044, 0.034], [0.019, 0.938, 0.018, 0.026], [0.039, 0.898, 0.032, 0.031], [0.719, 0.029, 0.223, 0.029], [0.115, 0.124, 0.649, 0.112], [0.375, 0.368, 0.214, 0.042], [0.678, 0.045, 0.247, 0.029]]]",ETS1
MC00125|Rest,6.871778139294626e-07,,Cistrome,,16,,22297846,BetaBetaAlpha-zinc finger Family,,RE1-silencing transcription factor,Mus Musculus,V6.5,19712,Rest,,NM_011263,,,,,,,5514(1/1),-59.2755,(1) denovo|(2) denovo|(3) denovo|(4) denovo|(5) denovo|(6) denovo|(7) denovo|(8) denovo|(9) denovo|(10) denovo|(11) denovo|(12) denovo|(13) denovo,(1)|(2)|(3)|(4)|(5)|(6)|(7)|(8)|(9)|(10)|(11)|(12)|(13),,13.0,"[[[0.312, 0.440, 0.027, 0.221], [0.112, 0.077, 0.650, 0.161], [0.021, 0.920, 0.027, 0.031], [0.025, 0.030, 0.027, 0.917], [0.031, 0.139, 0.803, 0.027], [0.047, 0.033, 0.100, 0.820], [0.025, 0.927, 0.021, 0.027], [0.015, 0.931, 0.020, 0.034], [0.465, 0.079, 0.306, 0.151], [0.167, 0.145, 0.119, 0.569], [0.064, 0.030, 0.876, 0.029], [0.017, 0.013, 0.951, 0.019], [0.028, 0.018, 0.015, 0.939], [0.095, 0.185, 0.626, 0.095], [0.024, 0.888, 0.062, 0.025], [0.021, 0.081, 0.019, 0.879], [0.079, 0.029, 0.850, 0.042], [0.728, 0.099, 0.147, 0.026], [0.521, 0.251, 0.099, 0.130]]]",Rest
M01714|KLF15,7.741431324870263e-07,,Transfac,,4,,"P1481883. New matrix entries., Rel20102 Book 0001 (2010)",BetaBetaAlpha-zinc finger Family,,Kruppel-like factor 15,Homo Sapiens,,28999,KLF15,DKFZp779M1320 KKLF,NM_014079,372.0,,,,,,,,,,,,"[[[0.111, 0.111, 0.667, 0.111], [0.600, 0.100, 0.200, 0.100], [0.182, 0.010, 0.636, 0.172], [0.091, 0.273, 0.364, 0.272], [0.273, 0.182, 0.273, 0.272], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.909, 0.071], [0.364, 0.364, 0.091, 0.181], [0.010, 0.091, 0.889, 0.010], [0.091, 0.010, 0.182, 0.717], [0.273, 0.010, 0.364, 0.353], [0.182, 0.182, 0.545, 0.091]]]",KLF15
MS00445|ZNF740,7.974848540426294e-07,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger protein 740,Homo Sapiens,FT293,283337,ZNF740,,NM_001004304,,,,,,,,,,,,,"[[[0.274, 0.462, 0.178, 0.086], [0.078, 0.853, 0.011, 0.058], [0.062, 0.907, 0.010, 0.021], [0.010, 0.965, 0.010, 0.015], [0.010, 0.965, 0.010, 0.015], [0.010, 0.966, 0.010, 0.014], [0.023, 0.950, 0.017, 0.010], [0.045, 0.901, 0.010, 0.044], [0.680, 0.186, 0.036, 0.098], [0.125, 0.618, 0.053, 0.204]]]",ZNF740
M00695|TEAD2,1.0976951311247873e-06,,Transfac,,4,,P1481859. New TRANSFAC MATRIX entries Book 3 0001 (2002),Homeodomain Family,,TEA domain family member 2,Homo Sapiens,,8463,TEAD2,ETF TEF-4 TEF4,NM_003598,300.0,,,,,,,,,,,,"[[[0.010, 0.010, 0.846, 0.134], [0.308, 0.374, 0.308, 0.010], [0.010, 0.010, 0.923, 0.057], [0.010, 0.010, 0.970, 0.010], [0.385, 0.595, 0.010, 0.010], [0.010, 0.154, 0.826, 0.010], [0.010, 0.010, 0.970, 0.010]]]",TEAD2
MC00530|TFAP2A,1.185050206464755e-06,,Cistrome,,16,,21572391,Helix-Loop-Helix Family,,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),Homo Sapiens,MCF-7,7020,TFAP2A,,NM_001032280|NM_001042425|NM_003220,,,,,,,2436(2/2),-43.4953,(1) denovo|(2) AP-2alphaA|(3) TFAP2C|(4) TFAP2A|(5) AP-2alpha|(8) AP-2,(1)|(2)|(3) Helix-Loop-Helix Family|(4) Helix-Loop-Helix Family|(5)|(8),,6.0,"[[[0.159, 0.329, 0.165, 0.347], [0.328, 0.155, 0.214, 0.303], [0.015, 0.229, 0.729, 0.028], [0.016, 0.971, 0.007, 0.005], [0.007, 0.955, 0.004, 0.034], [0.016, 0.371, 0.063, 0.549], [0.035, 0.613, 0.324, 0.029], [0.656, 0.092, 0.229, 0.024], [0.053, 0.010, 0.929, 0.008], [0.008, 0.009, 0.971, 0.011], [0.021, 0.340, 0.622, 0.016], [0.047, 0.735, 0.184, 0.035], [0.520, 0.168, 0.072, 0.239]]]",TFAP2A
