,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm
MC00333|ESR2,5.995100397663622e-12,,Cistrome,,18,,21235772,Hormone-nuclear Receptor Family,,estrogen receptor 2 (ER beta),Homo Sapiens,MCF-7,2100,ESR2,,NM_001040275|NM_001040276|NM_001437,,,,,,,2651(2/4),-34.7023,(1) ESR1|(2) ESR2|(3) ERalpha,(1) Hormone-nuclear Receptor Family|(2) Hormone-nuclear Receptor Family|(3),,3.0,"[[[0.282, 0.234, 0.321, 0.164], [0.260, 0.185, 0.323, 0.232], [0.133, 0.353, 0.318, 0.196], [0.197, 0.461, 0.132, 0.210], [0.268, 0.443, 0.127, 0.162], [0.624, 0.068, 0.200, 0.109], [0.091, 0.016, 0.781, 0.112], [0.076, 0.060, 0.793, 0.071], [0.098, 0.136, 0.189, 0.577], [0.014, 0.757, 0.147, 0.081], [0.754, 0.045, 0.096, 0.104], [0.126, 0.552, 0.179, 0.142], [0.145, 0.557, 0.086, 0.211], [0.156, 0.486, 0.200, 0.159], [0.114, 0.071, 0.017, 0.798], [0.068, 0.047, 0.866, 0.019], [0.480, 0.309, 0.098, 0.112], [0.043, 0.865, 0.025, 0.068], [0.138, 0.711, 0.008, 0.142], [0.070, 0.385, 0.059, 0.486]]]"
MS00079|HINFP1,1.3303344386786835e-11,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,,Homo Sapiens,293T,,HINFP1,,,,,,,,,,,,,,,"[[[0.018, 0.010, 0.962, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.114, 0.866, 0.010], [0.010, 0.299, 0.133, 0.558], [0.073, 0.329, 0.121, 0.477], [0.097, 0.261, 0.632, 0.010], [0.010, 0.699, 0.050, 0.241], [0.724, 0.015, 0.222, 0.039], [0.531, 0.162, 0.297, 0.010], [0.010, 0.819, 0.161, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.970, 0.010, 0.010]]]"
UP00330|XBP1,1.4859682213672402e-11,,UniPROBE,,9,,19158363,Leucine Zipper Family,,X-box binding protein 1,Homo Sapiens,,7494,XBP1,TREB5 XBP2,NM_001079539|NM_005080,378.0,,,,,,,,,,,,"[[[0.166, 0.339, 0.232, 0.263], [0.145, 0.254, 0.208, 0.393], [0.165, 0.472, 0.149, 0.214], [0.185, 0.130, 0.367, 0.318], [0.240, 0.280, 0.232, 0.248], [0.306, 0.182, 0.283, 0.229], [0.069, 0.340, 0.070, 0.521], [0.015, 0.683, 0.019, 0.283], [0.010, 0.030, 0.010, 0.950], [0.010, 0.970, 0.010, 0.010], [0.016, 0.010, 0.964, 0.010], [0.950, 0.010, 0.030, 0.010], [0.283, 0.019, 0.683, 0.015], [0.521, 0.070, 0.340, 0.069], [0.272, 0.129, 0.363, 0.236], [0.420, 0.161, 0.319, 0.100], [0.076, 0.235, 0.121, 0.568], [0.131, 0.129, 0.464, 0.276], [0.264, 0.313, 0.178, 0.245], [0.255, 0.110, 0.450, 0.185]]]"
UP00084|Gmeb1,2.599409048699488e-11,,UniPROBE,,9,,19443739,Sand Domain Family,,glucocorticoid modulatory element binding protein 1,Mus Musculus,,56809,Gmeb1,1110050A04Rik AI256615 AI481278,NM_001122992|NM_020273,183.0,,,,,,,,,,,,"[[[0.167, 0.265, 0.346, 0.222], [0.336, 0.314, 0.153, 0.197], [0.105, 0.232, 0.348, 0.315], [0.131, 0.216, 0.291, 0.362], [0.126, 0.072, 0.405, 0.397], [0.050, 0.039, 0.325, 0.586], [0.695, 0.010, 0.285, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.285, 0.010, 0.695], [0.586, 0.325, 0.039, 0.050], [0.397, 0.405, 0.072, 0.126], [0.207, 0.235, 0.372, 0.186], [0.436, 0.145, 0.181, 0.238], [0.176, 0.260, 0.231, 0.333], [0.272, 0.213, 0.312, 0.203], [0.237, 0.251, 0.267, 0.245]]]"
M00736|E2F1::TFDP1,4.321631543098754e-11,,Transfac,,4,,9372931,Transcription Factor Family,,E2F transcription factor 1|transcription factor Dp-1,Homo Sapiens,,1869|7027,E2F1::TFDP1,,NM_005225|NM_007111|NR_026580,145.0,,,,,,,,,,,,"[[[0.160, 0.120, 0.040, 0.680], [0.080, 0.040, 0.010, 0.870], [0.010, 0.010, 0.010, 0.970], [0.010, 0.660, 0.320, 0.010], [0.010, 0.540, 0.440, 0.010], [0.010, 0.970, 0.010, 0.010], [0.120, 0.010, 0.860, 0.010], [0.010, 0.740, 0.240, 0.010]]]"
M01002|DEAF1,4.4072905000751435e-11,,Transfac,,4,,9773984,Sand Domain Family,,deformed epidermal autoregulatory factor 1 (Drosophila),Homo Sapiens,,10522,DEAF1,NUDR SPN ZMYND5,NM_021008,316.0,,,,,,,,,,,,"[[[0.308, 0.154, 0.462, 0.076], [0.267, 0.400, 0.200, 0.133], [0.333, 0.133, 0.333, 0.201], [0.250, 0.188, 0.375, 0.187], [0.400, 0.150, 0.400, 0.050], [0.143, 0.238, 0.010, 0.609], [0.048, 0.010, 0.048, 0.894], [0.010, 0.970, 0.010, 0.010], [0.010, 0.048, 0.932, 0.010], [0.048, 0.010, 0.905, 0.037], [0.095, 0.095, 0.619, 0.191], [0.333, 0.143, 0.143, 0.381], [0.476, 0.143, 0.286, 0.095], [0.095, 0.048, 0.095, 0.762], [0.010, 0.286, 0.010, 0.694], [0.050, 0.010, 0.100, 0.840], [0.010, 0.714, 0.010, 0.266], [0.010, 0.810, 0.010, 0.170], [0.010, 0.235, 0.745, 0.010], [0.118, 0.059, 0.647, 0.176], [0.294, 0.118, 0.471, 0.117], [0.489, 0.063, 0.438, 0.010], [0.188, 0.125, 0.250, 0.437], [0.071, 0.071, 0.571, 0.287], [0.214, 0.286, 0.143, 0.357]]]"
MC00299|BRCA1,6.838751141149391e-11,,Cistrome,,20,,,Ring finger domain family,,"breast cancer 1, early onset",Homo Sapiens,H1,672,BRCA1,BRCAI BRCC1 BROVCA1 IRIS PNCA4 PSCP RNF53,NM_007294|NM_007295|NM_007296|NM_007297|NM_007298|NM_007299|NM_007300|NM_007302|NM_007303|NM_007304|NM_007305|NR_027676,311.0,,,,,,6761(4/4),-48.7831,(0) denovo (1) denovo (2) denovo (3) BRCA1 (4) denovo (5) ZBTB33 (6) denovo (7) denovo (8) denovo (9) ETS1 (10) denovo (11) denovo (13) denovo (14) denovo (15) ZBTB33 Zbtb33,(0)  (1)  (2)  (3) Ring finger domain family (4)  (5) BetaBetaAlpha-zinc finger Family (zf-C2H2) (6)  (7)  (8)  (9) Ets Domain Family (10)  (11)  (13)  (14)  (15) BetaBetaAlpha-zinc finger Family (zf-C2H2),,15.0,"[[[0.090, 0.474, 0.367, 0.069], [0.609, 0.085, 0.172, 0.135], [0.373, 0.181, 0.398, 0.048], [0.265, 0.260, 0.281, 0.194], [0.054, 0.151, 0.072, 0.723], [0.174, 0.736, 0.072, 0.017], [0.056, 0.124, 0.055, 0.764], [0.020, 0.910, 0.048, 0.021], [0.029, 0.043, 0.897, 0.032], [0.025, 0.895, 0.033, 0.048], [0.025, 0.021, 0.935, 0.018], [0.767, 0.074, 0.107, 0.052], [0.025, 0.069, 0.714, 0.193], [0.680, 0.063, 0.225, 0.032], [0.211, 0.262, 0.311, 0.216], [0.105, 0.388, 0.203, 0.304]]]"
M00373|PAX4,7.040932600627245e-11,,Transfac,,4,,10567553,Homeodomain Family,,paired box 4,Homo Sapiens,,5078,PAX4,KPD MGC129960 MODY9,NM_006193,23.0,,,,,,,,,,,,"[[[0.154, 0.269, 0.308, 0.269], [0.029, 0.114, 0.743, 0.114], [0.143, 0.381, 0.238, 0.238], [0.262, 0.357, 0.371, 0.010], [0.070, 0.070, 0.581, 0.279], [0.010, 0.085, 0.064, 0.841], [0.010, 0.654, 0.326, 0.010], [0.827, 0.023, 0.140, 0.010], [0.256, 0.116, 0.140, 0.488], [0.010, 0.093, 0.791, 0.106], [0.070, 0.698, 0.163, 0.069], [0.070, 0.070, 0.767, 0.093], [0.010, 0.171, 0.171, 0.648], [0.184, 0.132, 0.605, 0.079], [0.250, 0.344, 0.156, 0.250], [0.200, 0.133, 0.400, 0.267], [0.133, 0.467, 0.367, 0.033], [0.323, 0.161, 0.419, 0.097], [0.276, 0.207, 0.276, 0.241], [0.074, 0.481, 0.148, 0.297], [0.240, 0.360, 0.240, 0.160]]]"
MC00418|ZBTB33,8.71296587488596e-11,,Cistrome,,16,,None,BetaBetaAlpha-zinc finger Family,,zinc finger and BTB domain containing 33,Homo Sapiens,K562,10009,ZBTB33,,NM_001184742|NM_006777,,,,,,,6154(7/8),-48.1788,(1) BRCA1|(2) ZBTB33|(3) denovo|(4) denovo|(5) denovo|(6) denovo|(7) denovo|(8) denovo|(9) ETS1|(10) denovo|(11) denovo,(1)|(2) BetaBetaAlpha-zinc finger Family|(3)|(4)|(5)|(6)|(7)|(8)|(9) Ets Domain Family|(10)|(11),,11.0,"[[[0.294, 0.195, 0.384, 0.127], [0.199, 0.301, 0.283, 0.216], [0.037, 0.170, 0.072, 0.721], [0.174, 0.740, 0.066, 0.021], [0.030, 0.125, 0.045, 0.800], [0.013, 0.930, 0.018, 0.038], [0.094, 0.024, 0.861, 0.021], [0.027, 0.881, 0.041, 0.051], [0.025, 0.043, 0.918, 0.014], [0.743, 0.067, 0.116, 0.075], [0.015, 0.076, 0.728, 0.180], [0.686, 0.102, 0.166, 0.046], [0.173, 0.268, 0.231, 0.328], [0.032, 0.428, 0.148, 0.393], [0.164, 0.124, 0.085, 0.627], [0.070, 0.304, 0.555, 0.072]]]"
M01714|KLF15,1.232020140730644e-10,,Transfac,,4,,"P1481883. New matrix entries., Rel20102 Book 0001 (2010)",BetaBetaAlpha-zinc finger Family,,Kruppel-like factor 15,Homo Sapiens,,28999,KLF15,DKFZp779M1320 KKLF,NM_014079,372.0,,,,,,,,,,,,"[[[0.111, 0.111, 0.667, 0.111], [0.600, 0.100, 0.200, 0.100], [0.182, 0.010, 0.636, 0.172], [0.091, 0.273, 0.364, 0.272], [0.273, 0.182, 0.273, 0.272], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.909, 0.071], [0.364, 0.364, 0.091, 0.181], [0.010, 0.091, 0.889, 0.010], [0.091, 0.010, 0.182, 0.717], [0.273, 0.010, 0.364, 0.353], [0.182, 0.182, 0.545, 0.091]]]"
